en_sentence	fa_sentence	translation	variety	county	orthography	translator
he stared helplessly.	عاجزانه خیره شد.	عاجزانه وره زل بزو	Central Mazani	Babol	Farsi	Vol_1	
bring his heart to its final pause.	قلبش را سرانجام از کار باز خواهند داشت .	شه قلب ره آخر از دست دنه	Central Mazani	Babol	Farsi	Vol_1	
I have no more than hinted in awkward speech.	کاری جز اشارتی به زبانی شکسته انجام ندادم.	کاری نصفه نیمه کاره گاانجام ندامه	Central Mazani	Babol	Farsi	Vol_1	
I'm fat, but I'm strong and healthy.	من چاقم و قوی و سالم.	من هیکلیمه و قوی و سالم	Central Mazani	Babol	Farsi	Vol_1	
sometimes keep our very nobles in dependence, as well as habituate them to vile companions	آیا ممکن نیست که گاهی نجباء طراز اول ما را مدیون خود کنند و آنان را به هم نشینی با فرومایگان عادت دهند	آیا بهتر نیه که بعضی وقت ها نجباء طراز اول اماره شه مدیون هاکنن پایین دستی ها ره شه پلی هنیشتن عادت هدن	Central Mazani	Babol	Farsi	Vol_1	
who the devil should know	که چه کسی در فرانسه خواهد دانست	کی ره فرانسه ی دله داینه	Central Mazani	Babol	Farsi	Vol_1	
which fell over the garden like an immenseblack pall.	که از آنجا مانند پوشش سیاه پهناوری بر باغ افتاده بود.	از همونجه مثل اتا گت دپوشین سیاه دستوری باغ دله دکت به	Central Mazani	Babol	Farsi	Vol_1	
he had foolishly drunk all of his water	آبش را یکجا نوشیده بود چقدر احمق بود که همه ذخیره.	وه خله خل به که او همه ره یکسره بخرده	Central Mazani	Babol	Farsi	Vol_1	
a pack of tallow candles	یک دسته شمع از پیه آب شده	اتا دسته شمع از پیه ای که او بیه	Central Mazani	Babol	Farsi	Vol_1	
but now it held the shape of footprints.	ولی حالا به شکل جای پا بودند.	اما اسا لینگ رج ره مونسنه	Central Mazani	Babol	Farsi	Vol_1	
the result would infallibly terminate in the good of the public.	نتیجه آن قطعاً به سود و صلاح جامعه تمام خواهد شد.	ونه آخر سر حتما مردم و جامعه ی سه خار هسسه	Central Mazani	Babol	Farsi	Vol_1	
he smiled,pitying her.	لبخندی زد و به حالش تأسف خورد.	اتا خننه بکرده و ونسسه تاسف یخزده	Central Mazani	Babol	Farsi	Vol_1	
I'll meet you for breakfast in the dining room.	برای صبحانه می بی نمت.	صبحونه بشه ته ره ویممه	Central Mazani	Babol	Farsi	Vol_1	
to see if all the edges were perfect	که کنار تراش او تیز است و حدتی دارد.	ونه تراش ور تیز هسسه و	Central Mazani	Babol	Farsi	Vol_1	
that she had caught a cold with the doors being left open	از سرماخوردگی ناله و فغان کرد و اظهار داشت که به علت باز ماندن درها سرما خورده است.	زکامسّه هی ناله و سر وصدا کرده و بئوته در وا به من سرما بخننه	Central Mazani	Babol	Farsi	Vol_1	
I am not afraid of what any body can do.	دلیلی ندارد نگران کارهای دیگران باشم.	دلیلی ناینه دیگران کارسسه ناراحت بوی	Central Mazani	Babol	Farsi	Vol_1	
the bandit raised his head.	قراول سر بالا کرد	قرقاول شه سر ره بالا هاکرده	Central Mazani	Babol	Farsi	Vol_1	
but he soon sighed	لیکن پس از آن آهی دلسوز کشید	ولی اتا آهی دل رحم بکشیه	Central Mazani	Babol	Farsi	Vol_1	
I made signs, as well as I could, that I had no occasion for such an instrument	من کوشیدم که با ایما و اشاره به او خوب بفهمانم که برای من به کار بردن آن آلت بی مورد است	من با ایما و اشاره وره حالی هاکننه اون تا وسیله ره کار بوردن هیچ فایده ای ناینه	Central Mazani	Babol	Farsi	Vol_1	
except to blow a loud wet raspberry.	فقط آدامس بادکنکی تمشکیش را باد کرد و ترکاند.	فقط آدامس بادکنکی ره وا هاکرده و بترکینسسه	Central Mazani	Babol	Farsi	Vol_1	
but because she will marry	بلکه نفس مزا وجه است با هر که باشد.	وه خانه هر کس همراه دوه	Central Mazani	Babol	Farsi	Vol_1	
yet after a few minutes the bird came back.	ولی پس از دقایقی اندک پرنده بازگشت.	ولی چند دقیقه بعدش چند تا پرنده بمونه	Central Mazani	Babol	Farsi	Vol_1	
however virtuous he may be.	هرچند که دارای فضیلیتی هم باشد.	هر چند که وه خوبی هایی هم داره	Central Mazani	Babol	Farsi	Vol_1	
sent word to the livery stable to release the horse and buggy.	با اکراه موافقت نمود و دستور داد از اسب و درشکه رفع توقیف شود .	با اکراه قبول هاکرده و دستور هدا اسب و درشکه آزاد بوه	Central Mazani	Babol	Farsi	Vol_1	
to sneer at his watery potion.	تا نگاه تمسخرآمیزی به محلول آبکی آن بیندازد	با هارشین مسخره آمیزی محلول آبکی دله ره هارشیه	Central Mazani	Babol	Farsi	Vol_1	
her spirits rose.	روحش شکفت .	ونه روح بشکفته	Central Mazani	Babol	Farsi	Vol_1	
the news stand a marble kiosk with a brass grill.	محل روزنامه فروشی کیوسک مرمری بود با یک شبکه برنجی.	دکه ی روزنامه فروشی اتا کیوسک مرمری به با اتا شبکه برنجی	Central Mazani	Babol	Farsi	Vol_1	
gave a feeble hoot of thanks	با هوهوی ضغیفی از هری تشک رد کرد	باکچک هوهوهاکردن هری جا ممنون دار به	Central Mazani	Babol	Farsi	Vol_1	
hen the rest followed	بقیه هم دنبالش ون رفتند.	بقیه هم ونه دممال بوردنه	Central Mazani	Babol	Farsi	Vol_1	
the circumstances were not.	اما موضوعی تقریباً غیرمترقبه بود.	اما اتا موضوعی یکدفعه ای به	Central Mazani	Babol	Farsi	Vol_1	
if they got me some electricity to run it.	دراینصورت با راه افتادن برق میتونم به کارش بندازم.	وقتی برق راه دکفه بتوممه وره کار دمهدم	Central Mazani	Babol	Farsi	Vol_1	
spoke so many obliging things, that I wondered to find such civilities from a _Yahoo_.	چندان به لطف و مهر با من سخن گفت که متحیر بودم چگونه ممکنست یاهوئی آن همه مؤدب باشد .	اتی مه جا مهربون و خار حرف زو که تعجب هاکننه که چتی وونه یاهوئی اننه وونه مودب باشه	Central Mazani	Babol	Farsi	Vol_1	
making the odour exhale, and scumming off the saliva.	بو را خنثی و بزاق را دفع کند.	به ره بی تاثیر و فلیک ره دفع هاکرده	Central Mazani	Babol	Farsi	Vol_1	
probably this basket with pink ribbon.	احتمالاً این سبد که روبان صورتی دارد.	شاید اینتا سبد که صورتی روبان داینه باشه	Central Mazani	Babol	Farsi	Vol_1	
I was distracted by a sudden fluttering pressure against the outside of my shield.	حواس من با یک فشار از بیرون حفاظم پرت شد.	مه حواس با اتا فشار از بیرون پرت بیه	Central Mazani	Babol	Farsi	Vol_1	
her life was shortened by trouble.	غم و رنج عمرش را کوتاه کرد.	ونه عمر ره غم و ناراحتی کم هاکرده	Central Mazani	Babol	Farsi	Vol_1	
I pushed the plate of food back towards her pizza, I realized wondering how best to begin.	بلا را در جریان گذاشتم ظرف غذا را به طرف او برگرداندم متوجه شدم چیزی که خوردم پیتزا بوده در این فکر بودم که بهتر است چطور شروع کنم.	بلا ره خور هدامه و غذای ظرف ره ونه ور بشتمه و بفهمسمه اونتایی که بخردمه پیتزا به و داشتمه فک کردمه که چی جوری شروع هاکنم بهتره	Central Mazani	Babol	Farsi	Vol_1	
who had kept silent during the life of the deceased elder	عجب آنکه این کشیشان پیر در تمام مدت زندگی زو سیما سکوت کرده	ایان پیر کشیش ها این همه مدت زندگی سیمایسسه ساکت بنه تعجب داشته	Central Mazani	Babol	Farsi	Vol_1	
I got rid of the signs of my work, and dropped the blanket and hid my saw, and pretty soon pap come in.	اره و مره و تری شه و چوب و آثار جرم را قایم کردم و پتو را زدم سر جایش و طولی نکشید با بام وارد شد.	اره مره و چو و جرم اثر ره قائم هاکننه پتو ره ونه سر جا بشتمه که یکدفعه بام دله بمو	Central Mazani	Babol	Farsi	Vol_1	
found myself alone in a vast room, between two and three hundred feet wide, and above two hundred high, lying in a bed twenty yards wide.	خود را یکه و تنها در اطاق فراخی که عرض آن میان هفتاد تا صد گز و طولش بیش از 60 گز بود یافتم غم و اندوه من شدت گرفت.	شخد ره یکه و تنها اتا اطاق دله که ونه عرض بین 70 تا 100 تا کی و ونه طول بیشتر از 60 تا گز به بدیمه و مه غم و ناراحتی ویشتر بیه	Central Mazani	Babol	Farsi	Vol_1	
putting a stink bomb under your desk.	او زیر میز شما چیز بدبو نگذاشته.	وه اتا چی بد به شمه میز بن نشته	Central Mazani	Babol	Farsi	Vol_1	
the outward bound ship would receive the latest whaling intelligence from the cruising ground to which she may be destined, a thing of the utmost importance to her.	در ازاء این تعارف و ادب کشتی تازه رسیده اخرین اطلاعات مربوط به صید وال را درباره میدان گشتی که قصد آن را دارد دریافت خواهد داشت و آن چیزی است که برای آن کشتی اهمیت بسیار دارد.	در ازاء اینتا تعریف وادب وه جدیدی کشتی که برسیه آخرین اخبار صیادی وال که میدون صید دییه ره وره بئوته و اونتا چیزی به که خله اهمیت داشته	Central Mazani	Babol	Farsi	Vol_1	
that is, when placed between jeopardized but divided boats, always to pick up the majority first.	آن روش این است که چون کشتی میان چند قایق از هم جدا و به خطر افتاده گیر کند همواره باید نخست عده بیشتر را نجات دهد.	اونتا راه اینه که کشتی وقتی بوینه چند تا قایق جدا بیننه و گیر دکتنه اونتایی که ویشتر درنه ره نجات هده	Central Mazani	Babol	Farsi	Vol_1	
THOK! and it rose higher than his head and came down and rolled away.	تاک و توپ از سر او هم با لا تر رفت و به زمین افتاد و غلتید و دور شد.	تاک تپ ونه سر جا بالا بورده و زمین سر دکته و بغلطسسه و دیر بییه	Central Mazani	Babol	Farsi	Vol_1	
your grandfather says	جدت اشاره کرد	ونه گت پر ره بئوته	Central Mazani	Babol	Farsi	Vol_1	
in this pursuit watched only the weathercock of imperial favor	در این شکار تنها مراقب جهت وزش نسیم لطف و عنایت تزار بودند	اینتا صید دله فقط تزاره وره نسیم مهربونی و توجه بنه	Central Mazani	Babol	Farsi	Vol_1	
said the other, not sounding sorry at all.	اما از طرز حرف زدنش معلوم بود که چندان متأسف نیست.	اما ونه حرف بزوئن جا معلوم به خله ناراحت نیه	Central Mazani	Babol	Farsi	Vol_1	
but this impossibility only strengthens my argument.	همین عدم امکان مؤید دلیلی است که من برای خود دارم.	همینتا که من نتوممه باعثه که من شسسه دایمه	Central Mazani	Babol	Farsi	Vol_1	
that he should pay her more attention than he had done before.	خود بیش از گذشته به او توجه نشان خواهد داد در این انگیزه نقشی داشت.	همین که بیشتر از قبل توجه کرده اینتا هدفسسه نقش داشته	Central Mazani	Babol	Farsi	Vol_1	
whoever exiles himself seems worthy of veneration to us.	در نظرمان شایان تقدیس است.	امه جلو خله مقدس هسسه	Central Mazani	Babol	Farsi	Vol_1	
your attitude to me.	رفتارتان را نسبت به خودم توجیه کنم.	شمه رفتار ره با خدم توجیه هاکنم	Central Mazani	Babol	Farsi	Vol_1	
over the armies and over the whole region occupied by them.	ارتش و تمام مناطق نظامی روسیه منصوب گشت.	همه جای مناطق نظامی روسیه و ارتش دله منصوب بیه	Central Mazani	Babol	Farsi	Vol_1	
to cheer the hands at the windlass	منظور او تشویق آن عده از عمله کشتی بود	عمله ی کشتیه تشویق هاکردن ویشتر ونه هدف به	Central Mazani	Babol	Farsi	Vol_1	
not talking, each content in the company of the other.	بی آنکه حرفی بزنند از همراهی یکدیگر خشنود بودند.	از همراهی همدیگه بدون این که حرفی بزنن خش حال بنه	Central Mazani	Babol	Farsi	Vol_1	
offered him a sum of money and a safe conduct out of the country for the betrayal of his band.	به ازای خیانت او به گروهش به او پیشنهاد مبلغی پول و نیز خروج بی خطر از کشور را داد.	بخاطر ونه خیانت به کشور وره پیشنهاده اتا کمه پول هدانه و بی خطر از اونجه در بوردن هدانه	Central Mazani	Babol	Farsi	Vol_1	
posters of seven witches and wizards, all wearing bright orange robes	تصاویر متعددی از هفت جادوگر و ساحره با رداهای نارنجی رنگ بود	تصویرهای زیادی از سحر جادوگرها با بالاپوش نارنجی دییه	Central Mazani	Babol	Farsi	Vol_1	
I advanced forward	پس به پیش راندم	پس جلو بوردمه	Central Mazani	Babol	Farsi	Vol_1	
without disturbing your s sensitive conscience.	اجرای آنچه را باید در مورد من اعمال شود برعهده بگیرد.	اونچه که مه وسسه ونه انجام بیره وه برعهده بیره	Central Mazani	Babol	Farsi	Vol_1	
but for one who has a timid conscience	اما برای کسی که خاطر مشوشی دارد	اما اونتا آدمی که پریشون خاطر هسسه	Central Mazani	Babol	Farsi	Vol_1	
I have a strong intention of defending my person	که من کمال مدافعه از خود خواهم کرد	که من شه آخر دفاع ره کممه	Central Mazani	Babol	Farsi	Vol_1	
at least a dozen demons to each of us.	حداقل یک دوجین شیطان برای هر کدام از ما.	هر کدوم از امسسه حداقل ده جین شیطان	Central Mazani	Babol	Farsi	Vol_1	
I should imagine he must have been rather startled.	به گمانم بیشتر حیرت زده شده بود.	فک کممه ویشتر تعجب هاکرده	Central Mazani	Babol	Farsi	Vol_1	
believing he was laying on the giant	بدین جهت به تصور اینکه بر روی دیو خوابیده	بخاطره این که فک کرده دیو سر باخته	Central Mazani	Babol	Farsi	Vol_1	
