en_sentence	fa_sentence	translation	variety	county	orthography	translator
it shall be together.	باید باهم باشد.	باس گەرد یەک بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
of the end of the month	از انتظار اواخر ماه	ئاخر مانگ	Kakavandi	Harsin	Southern Kurdish	MRY	
you don't smell good.	بوی خوشی ازت نمیآد.	بوو خوەشتێ ئەژن نمای	Kakavandi	Harsin	Southern Kurdish	MRY	
I havent any time to talk to you now.	فعلا وقت ندارم با تو حرف بزنم.	هالیم ڤەخت نێرم گەرد تو گەپ بەم.	Kakavandi	Harsin	Southern Kurdish	MRY	
looked out under them.	از زیر آنها نگاه کرد.	ڤە ژێر ئەونە سەێر کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but it doesn't compare with break bone fever.	امّا با تب استخوان شکنی که داشتم قابل مقایسه نیست	بڵەم ڤە گەرد تەو سوخان شکن نماو مقایسە بکەینەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but it will be painful	ولی خیلی درد داره	ڤەلی فرە ژانە مەکەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
then started to climb, fast as he could	به سرعت از سرسره سنگی بالا رفت.	دومار دەس کردێە ڤیرەێ بان چین، ڤە تونا تا جای ک مەتۊنستەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but he respected the law and its need to be upheld.	اما به قانون و حفظش احترام می ذاشت.	بڵەم ئەو ڤە قانوون و پاراستنەێ هورمەتە مەنیای.	Kakavandi	Harsin	Southern Kurdish	MRY	
more by token it was sheep's milk cheese.	نشان به آن نشان که پنیرش هم گوسفندی بود.	نیشان ڤە ئە نیشانە ک پەنێرەی پەنێر کاوڕ بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
so they began looking for him	به جستجوی او پرداختند.	چنێە منیا.	Kakavandi	Harsin	Southern Kurdish	MRY	
so profound was the sensation that	هیجانی که بر اثر آن ایجاد شد آن قدر عمیق بود	ئساسە ئەخکە قۏڵ بی ک	Kakavandi	Harsin	Southern Kurdish	MRY	
from preparing for the future	از اینکه آینده خود را بر بنای مستحکمی و استوار بگذارد.	ڤە ئامادە بین ئەڕا ئایەندە	Kakavandi	Harsin	Southern Kurdish	MRY	
not talking to each other.	فرصت حرف زدن هم نبود	ڤەخت گەپ داینیژ نەوی.	Kakavandi	Harsin	Southern Kurdish	MRY	
I leaned forward, meeting her gaze as if I were staring deeply into her depthless, small brown eyes.	کمی به جلو خم شدم و عمیقاً به چشمان ریز و کم عمق قهوه ای او نگاه کردم.	ڤیرەێ نوا هەول بیم سەێر چەمەلم کرد، بگر ک ڤە قۏڵی چەمەل گوجەر و بوورەێ مات بۊم.	Kakavandi	Harsin	Southern Kurdish	MRY	
so it is evident that he has done a great amount of walking with it.	بنابراین واضح است که کلی با آن راه رفته است.	سە دیارە ک فرە ئەگەرد گام نیاسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
very attentively he took his first lesson.	نخستین درس خود را با دقت و توجه بسیار گوش داد.	ئەو ڤە دقەت یەکمین دەرس وژ گرتێا.	Kakavandi	Harsin	Southern Kurdish	MRY	
to be so painstakingly decorated before being led to the gallows.	پیش از رفتن به پای چوبه دار چنین با رنج آراسته شود.	ڤر ئەژ چین ئەر پا دار ڤە گوڕاڵاو ئاراستەوا بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
that something would happen	که اتفاقی بیفتد	ک چێ بوو	Kakavandi	Harsin	Southern Kurdish	MRY	
at an age where they deserve it	همگی در سن و سال این خواستگاری هستند	ڤە سنەێ ک ئەون شایستەنەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
then looked away	بعد به جای دیگر نگاه کرد.	دومار سەێر دۊر کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
come and sit aside of me	بیا کنارم بنشین	بوورێ بنیشە لانما.	Kakavandi	Harsin	Southern Kurdish	MRY	
it was worth it.	با این همه ارزشش را داشت.	ئەرزش داشتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I have to get back to the studio.	من باید به استودیو برگردم.	م باس بچما ڤە ئستدیو.	Kakavandi	Harsin	Southern Kurdish	MRY	
once more flying	آنان به هوا برخاستند	ئەونە هیزگرتنەر هەواوا.	Kakavandi	Harsin	Southern Kurdish	MRY	
their respective dreams without injury to each other.	افکار و احساسات و رؤیاهای عاشقانه خود را با یکدیگر در میان نهند.	خەیاڵەل ئەون بی ئاسیب ڕەسانن ڤە یەک تری.	Kakavandi	Harsin	Southern Kurdish	MRY	
I set eyes on him	وقتی به او نگاه کردم	هەنێ سێر ئەوم کرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't read him that way, she said.	روت گفت من چنین تصوری از او ندارم	ئەو ڤتەێ م ئەو هانە نمەخوەنم	Kakavandi	Harsin	Southern Kurdish	MRY	
for she had received proposals from nearly all the young men in the neighborhood	زیرا جوانان همسایه همگی به او پیشنهاد ازدواج داده بودند	چۊن کول جوونەل هامسامان وازمنین ئەژن کردۊ.	Kakavandi	Harsin	Southern Kurdish	MRY	
it won't be borne!	قابل تحمل نخواهد بود!	تەئەمل نماو!	Kakavandi	Harsin	Southern Kurdish	MRY	
you ain't well a bit	حالت هیچ خوب نیست.	تو کەمەێ خاس نین	Kakavandi	Harsin	Southern Kurdish	MRY	
I hastened to comply with his friendly suggestion	فوری از این فکر او استقبال	م ڤە زۊا ڤە پێشنهاد دووسی ئەو پێرەڤیم کرد	Kakavandi	Harsin	Southern Kurdish	MRY	
as must appear with particular advantage at that moment to her friend.	طوری که در آن لحظه برای اِما واقعاً جای شکرش باقی بود.	ک باس ئەر ئە گڕە ڤە سوود دووسەی دیار بدرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I don't even dispute it.	حتی بحث نمکنم.	م هەر ڤە سەر ئەڤە چێ نمووشم.	Kakavandi	Harsin	Southern Kurdish	MRY	
his majesty resolving, if possible, to spare your life	اعلی حضرت که بر آن بود تا در صورت امکان بر جان تو ببخشد	جناب جنابان تەسمیم گرتێەسەێ، ئەر ڕێ داشتۊتەێ، گیانت نجات بەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
but the count had not yet decided in his own mind the question of the dowry, nor spoken to his wife about it.	ولی هنوز کنت درباره جهیزیه ورا تصمیم نگرفته و با همسرش در این باب گفتگویی نکرده بود.	بڵەم کنت ڤە لا وژا هالیم دەربارە جیازی تەسمیم نەگرتۊتەێ و ڤە گەرد ژنەیژەێ گەپ نیاویتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
there's time enough!	وقت کافی هست!	بەش چێ ڤەخت هەس.	Kakavandi	Harsin	Southern Kurdish	MRY	
made one think of too many eyes behind the curtains.	آن همه پنجره انگار چندین و چند چشم بودند که از پشت پرده به آدم خیره شده بودند.	هانە کردەێ ک کەسەێ بکەوێ‌ئەر فکر ئێ کول چەم ئەر پشت پەردەکە.	Kakavandi	Harsin	Southern Kurdish	MRY	
it's in that clearing back there.	توی محوطه بی درخت اون پشته.	یە ڤە ئە پاکسازیە پشت ئەڤەسە.	Kakavandi	Harsin	Southern Kurdish	MRY	
what had society said or done	جامعه چه گفته و چه کرده	کوومەڵگا چە ڤتۊتەێ و چە کردۊتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
but the victims had to be gullible.	اما قربانیان باید افراد ساده لوحی باشند.	بڵەم قوربانیەل باس سادە بۏن.	Kakavandi	Harsin	Southern Kurdish	MRY	
because he is satisfied that it is for a certain person's benefit.	که او خاطرجمع است این رفتار برای او مفید واقع خواهد شد.	چۊن ئەو ڕازیە ک ئێ کارە ڤە سوود ئایم دیاریئێکە.	Kakavandi	Harsin	Southern Kurdish	MRY	
in its place was only a wooden shelter	فقط سایبانی چوبی داشت.	ڤە جای وژ تەنیا پەناگا چووئیئێ بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
but only when all goes well with him.	ولی تنها هنگامی که بخت کام لا به ما لبخند میزند.	بڵەم تەنیا هەنێ ک کول چێ خاس ڤە گەر ئەو پێش بچوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
doors that weren't really doors at all	بعضی از درها اصلاً در نبودند	درەلێکەێ دەر نەوین	Kakavandi	Harsin	Southern Kurdish	MRY	
The Adventures of Susi Squirrel	یاهارجام یزوس لریووکسا.	ماجرال سنجاو سوسی.	Kakavandi	Harsin	Southern Kurdish	MRY	
I wish somebody mess	من میخوام با یکی در بی افتم که	م مم ئەرد کەسێ شەڕێ بنما	Kakavandi	Harsin	Southern Kurdish	MRY	
but I was impatiently waiting for your arrival	باکی ندارم اما منتظر تو بودم که آمده	بڵەم ڤە بێ تاقەتی چەمەڕێ هتن تو بیم	Kakavandi	Harsin	Southern Kurdish	MRY	
it did me good!	واقعاً هم برای حالم بسیار خوب است.	ئەرا م خاس بی!	Kakavandi	Harsin	Southern Kurdish	MRY	
but the necessity irritated him	اما از این ارام ناراحت شده بود	بڵەم ئێ زەروورەتە نارات کردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
left her by herself to follow as she had proposed.	میس پراس را به حال خود گذاشت تا طبق قرار به او بپیوندد.	ڤە تەنیا هیشتەێ تا هرە تەرە ک پێشنهاد کردۊتەێ، بکەوتێە شوون.	Kakavandi	Harsin	Southern Kurdish	MRY	
I can never see his face, but I can see his eyes.	هیچ وقت صورتشو نمیتونم ببینم ولی میتونم چشمهاشو ببینم.	هۊچ ڤەخت نمەتۊنم دەمرۊ بۊنمێ ئەمانێ مەتۊنم چەمەل بۊنمێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
with glee that we had only fourteen enemies to deal with.	با یک دنیا خوشنودی و شادمانی با خود حساب کردم که اکنون در برابر خود بیش از چهارده دشمن نداریم.	ڤە خوەشی ک هەر چواردە دوشمەن مان داشت ئەرا یە کەێ معامڵە بکەیمن.	Kakavandi	Harsin	Southern Kurdish	MRY	
there is a sun on the coin fire worshipper, depend upon it.	آخر روی سکه آفتاب هست این حتما آتش پرست است.	ئاخر ئەر مل سکەکە هەور هەس، یە هەتمەن ئاگر پرەسە، ئتماد ئەرن بکەیتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
some of them, as I was afterwards told, were hurt with the falls they got by leaping from my sides upon the ground.	بعدها شنیدم که به چند تن از آنان که از پهلوهای من بر روی زمین جهیده بودند آسیب رسیده بود.	بەزانەێ ئەژن، هەرە تەرە ک دومارکەێ ڤە منان ڤت، ڤە کەتنەلێ ک ڤە پەڕین ڤە لا م ئەێرەێ زەمینان داشت، زەمدارا بۊن.	Kakavandi	Harsin	Southern Kurdish	MRY	
for setting so ill an example to the kingdom	چرا خود را در مملکت مایه عبرت مردم کرده است	ئەرا یە ک نموونەل فرە پێسەێ ئەرا پادشایی مووشن	Kakavandi	Harsin	Southern Kurdish	MRY	
till an answer came from the scared porter, and he disappeared under the gate.	تا عاقبت باربر وحشت زده جوابش را داد و مرد در آن سوی دروازه حیاط از دیده پنهان شد.	تا ئاخرێ جواوێ ڤە دەربان زڵەترەکریا هەت ئۏ ئەو وژە ئەر ژێر دەروازەکە هەشارا کردەێئێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
sign it with blood.	با خونت او نو امضا کنی.	ڤە خۊنت	Kakavandi	Harsin	Southern Kurdish	MRY	
but there is an inspector who takes his place.	اما یک بازپرس بجای ایشان هست.	ئەمانێ بازپرسێ ڤە جیای هەسێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
landed with a thud in the field over the hedge.	روی پرچین فرود آمد.	ڤە دەنگ گوڕنێ ئەر مل زەمینێ ئەلا پەرجینە نیشترا.	Kakavandi	Harsin	Southern Kurdish	MRY	
to the first ten years of my life I have given almost as many chapters.	فصول نسبتاً زیادی از این کتاب به شرح رویدادهای اولین ده سال زندگیم اختصاص داده شد.	ڤە دە ساڵ یەکم زنیم نزیک ئەر ئە ئەندازە فەسڵەلە دامەسە بێن.	Kakavandi	Harsin	Southern Kurdish	MRY	
he added, with difficulty articulating the words.	قسمت آخر جمله را به زحمت ادا کرد.	ئەو زیاکردەێ، ڤە سەختی ڤشەلە مەوتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I would add that	که به شما بگویم	م زیا مەکەم ک،	Kakavandi	Harsin	Southern Kurdish	MRY	
without first wandering in this manner	مگر آنکه نخست این گونه هاج و واج شود	بێ یە ک ڤە ئەڤەڵێرا هانە سەرمەڕن شێڤیاوی	Kakavandi	Harsin	Southern Kurdish	MRY	
I stole in on tiptoe.	پاورچین پاورچین و بی سر و صدا وارد شدم.	م ڤە توک پاوا چمەو نام.	Kakavandi	Harsin	Southern Kurdish	MRY	
he strokes my hair gently.	او با ملایمت دستی روی موهایم کشید	ئەو ڤە نەرمیا گیسەلم نەوازش کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I set up my sail	پس بادبان برکشیدم	بادبانەم کێشا	Kakavandi	Harsin	Southern Kurdish	MRY	
he crushed his impulse to turn away.	فرانک رو برنگرداند.	ئەو تەمایڵ وژ ئەرا ڕۊگردانن هوەسانەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I tried to tell you folks, he said.	گفت من درس هم ون چیزی که بود برات ون گفتم	ئەو ڤتەێ، تڵاشم کرد ڤە هومە بووشم	Kakavandi	Harsin	Southern Kurdish	MRY	
their country and ours were at peace.	در آن هنگام کشور پرتقال با مملکت من در صلح و صفا بود.	کشڤەرەوان و کشڤەرەمان دووس بین.	Kakavandi	Harsin	Southern Kurdish	MRY	
fear, and the bewildered anxiety to flee	لذا ترس برش داشت و با دلهره واماند که چگونه فرار نماید	ترس و دڵەڕاوکی سەرئەڕن شێڤیاین ئەرا هەیواین	Kakavandi	Harsin	Southern Kurdish	MRY	
a couple of sun perch	دو تا ماهی سیاه	ی جفت هەور ماسی	Kakavandi	Harsin	Southern Kurdish	MRY	
he had shrunk with proud sensitiveness from ever recurring to the subject.	غرور زود رنجش او را از پیش کشیدن این مطلب بازداشته بود.	ئەو ڤە حەساسێەت مەقرووڕانەێکا ڤە ئاهەتن ئەر گەپە پەرێز کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I think he and your mother have not had sex in a long time	فکر کنم او و مادرت مدت زیادی هست که با هم رابطه ندارند	گومانە مەکەم ئەو و دات قێر فرێکە ک سکسان نیاشتێە	Kakavandi	Harsin	Southern Kurdish	MRY	
when I remember the promise I made.	اما به یاد قولی که داده بودم افتادم.	هەنێ مەکەومێ ڤیر قەوڵمێ ک دایە.	Kakavandi	Harsin	Southern Kurdish	MRY	
I had no idea you were ill.	هیچ خبر نداشتم بیماری	هۊچ خەڤەرم نیاشتێە ک ناخوەشین.	Kakavandi	Harsin	Southern Kurdish	MRY	
I think the railway has done pretty well by its friends without compromising itself hopelessly.	به گمانم راه آهن بی آن که خودش را بفروشد با دستانش خیلی خوب رفتار کرده.	گومانە مەکەم ڕێ ئاسن ئەگەرد هامڕێەل وژ خاس ڕەفتار کردێەسێ بی یەکێ ڤە شێڤە ناهومێدانێ وژ بفرووشەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but, except the breathing, there was no sign of life.	اما بجز تنفس نشان دیگری از حیات وجود نداشت.	ئەمانێ قێر ئەژ هناسە کیشاین هۊچ نیشانیئێ ڤە زنەی نیاشتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
what an enormous perspective I make of it!	چه تصویر بزرگی از آن در خاطرم مانده!	چ ڤینە کەلنگێ ئەژن بسازمەێ!	Kakavandi	Harsin	Southern Kurdish	MRY	
I have been young, you will be old.	من روزی جوان بودم تو روزی پیر خواهی شد.	م ڕووژێ جوان بیم، تو ڕووژێ پیرە مەوین.	Kakavandi	Harsin	Southern Kurdish	MRY	
consisting only in morality, history, poetry, and mathematics.	همانا عبارتست از اخلاق و تاریخ و شعر و ریاضی.	تەنیا شامڵ ئەخلاق، دیڕووک، شێئر و بیرکاریە.	Kakavandi	Harsin	Southern Kurdish	MRY	
had it not been for an adverse destiny, that beloved monarch would this day have been among us.	اگر نه حکم قضا و قدر بود حالا شارل بیچاره در میانه ما بود.	ئەر چارەنۊس خراو نەوی، ئە شا مەهبووبە ئیمڕوو ڤە بێن مانێرە بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
that jugged me for a vagrant.	که منو به اسم ولگرد حبس کرد	ک م ڤە نام ڤێڵگەرد دەسگیر کردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
went into a little shop	داخل دکان کوچکی شدم	چمە نام دوکان گوجوونێکا.	Kakavandi	Harsin	Southern Kurdish	MRY	
was now surveying him most earnestly from the opposite side of the way.	با دقت زیاد از آن سوی خیابان بر او خیره شده است.	ڤە دقەت فرێکا ئەژ ئەلا خیاوان سێرە مەکردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
let his arms float wide and limp in spite of the pain.	با وجود درد بازوهایش لخت از هم گشوده شدند.	بیلا دەسەلەێ ڤە ژانا، ڤاز و شل و شناوەر بووئن.	Kakavandi	Harsin	Southern Kurdish	MRY	
an empty chair stood against the wall	در عوض یک صندلی جلوی دیوار بود	سەندەلی هالیئێ ڤە نوا دیوار بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
fixing himself on this very superior family.	تا مثل کنه به این خانواده والامقام بچسبد.	وژ ئە ئی خیزان فرە بەرزە سابت کردێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I just don't know if I feel like a darling.	هنوز اون جوری احساس جی گر بودن به من دست نداده	هالیم ئە جوورتێ ک ب هس نازار بین ئەبین دەس نیامەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he did not need to turn around to see her in his imagination.	بدون آن که سر خود را به عقب برگرداند چنان او را در نظر مجسم کرده بود که انگار روبرویش نشسته است.	ئەو نێاز نیاشتەێ بپلێ‌ئەور تا ئەو ئەێ نام خەێاڵا بۊنەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
for there were snakes swimming in the pools or clustering in knots around their brinks.	زیرا درون آب مارها مشغول شنا بودند و یا در دهانه چاه به خود پیچیده و خوابیده بودند.	چۊن مارلە ڤە نام ئستەخرر شناوانە مەکرد یا ڤە دەم چا ک‌ئەێرە پێچیاوینە یەکرا و هوەتۊن.	Kakavandi	Harsin	Southern Kurdish	MRY	
is sorry he had anything to do with me.	متاسف است که چرا اصلا با من روبه رو شده.	پەشیمانە ک ئەسڵەن ئەڕا ڤە گەرد م ڕۊئەورۊا بۊ.	Kakavandi	Harsin	Southern Kurdish	MRY	
leave me nothing but my heart.	فقط قلبم را باقی بگذارید.	هەر دڵم ئەران بیلنەجا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I hope you may be able to think so well of me	امیدوارم نسبت به من آن قدر حسن نیت در خود حس رده باشید	هۆمێدەوارم بتۊنین ڤە خاسی ڤە م فکر بکین.	Kakavandi	Harsin	Southern Kurdish	MRY	
I relocking the vacant drawer.	سپس بار دیگر کشوی خالی را قفل کردم.	م دوارە کشاو هالیە قوفڵم کرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
sworn to as being identically the same hand writing.	سوگند خوردند که هر سه دستخط به یک شخص واحد تعلق دارند.	قەسەم هوردێئێ ک دۊز ئە دەس خەتە سە.	Kakavandi	Harsin	Southern Kurdish	MRY	
my nurse having set me down	همین که پرستار من مرا به زمین نهاد	پرەستارەم م نیائەر زەمین.	Kakavandi	Harsin	Southern Kurdish	MRY	
as he afterwards told me	چنانکه این مطلب را پس از چندی به خود من گفت	هرەتەرە ک دومار ڤە م ڤتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
but that beautiful black hair	اما این گیسوان سیاه مقبول	ئەمانێ ئە گیسەل سێ ڕەگینە.	Kakavandi	Harsin	Southern Kurdish	MRY	
there was a snake beside his chair.	آخه یه مار کنار صندلیش بود.	مارێ ڤە لا سەندەلیەوا بیتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
the princess inherits	شاهدخت وارث تاج و تخت شود	شازایە ئرسە مێرێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but was really obliged to put an end to it	ولی بعد مجبور شد به این وضع خاتمه بدهد	ئەمانەێ هرە ڕاسیا مەجبوور بی تەمام کیتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
only thought of about three days.	فقط سه روز هم بیشتر به فکرش نبودند.	هەر س ڕووژ ئە فکرە بینەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
set it on the porch.	پایین ایوان گذاشت.	نیایەر بان ئێوان.	Kakavandi	Harsin	Southern Kurdish	MRY	
plunged head first into the water.	با سر در آب فرو رفت.	سەر وژ کردێە نام ئاو.	Kakavandi	Harsin	Southern Kurdish	MRY	
I stopped in my tracks, spinning to face him.	سم گفت انگشتم را به حالت اتهام به سمتش گرفتم.	سەر جا وژم هووسام، ڤیرێ ئەو گێردیم.	Kakavandi	Harsin	Southern Kurdish	MRY	
again bowed till he touched the ground with his hand.	به شمایل چسباند و دوباره چنان تعظیم کرد که دستش به زمین رسید.	دوارە تا جای ک دەس ڕەسیتێە زەمین تەزیم کردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
just one big heavy blast from the past, a great big golden gasser.	همه چیز راجع به گذشته مثل رویایی طلایی بود.	تەنیا ی تەقین کەڵنگ و قورس ڤە گوزەشتە، گاز زەڕێن کەڵنگەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but I offered him good wages.	اما مزد خوبی به او پیشنهاد کردم.	ئەمانەێ مزد خاسمێ پێشنهاد دا بێن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but he felt certain he was not drunk	اما مطمئن بود که زیاده از اندازه باده ننوشیده است	ئەمانەێ دڵنیا بی ک فرە مەشرووب نەهوردێەسێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I have no idea of that sort of thing.	من هیچ تصوری از این جور چیزها ندارم.	م هۊچ تەسەڤرێ ڤە هانە چێەلەێ نرم.	Kakavandi	Harsin	Southern Kurdish	MRY	
whether knights errant deserve to be held in estimation,	که قدر پهلوانان سرگردان را باید دانست یا نه!	ک قەدر پەڵەوانەل سەرگەردان باس بزانیمن یا نە	Kakavandi	Harsin	Southern Kurdish	MRY	
I asked, darkness seeping into my voice.	افسردگی در صدایم رسوخ کرده بود. پرسیدم	م پرسیم، تەرێکی ها نام دەنگمێرە.	Kakavandi	Harsin	Southern Kurdish	MRY	
balancing it on his knee, let it fall open.	روی زانویش گذاشت و باز کرد.	ئەڤە ئەر مل زرانیئێ بالانس کردەێ و هیشتێ ڤاز بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
but, first tell me	اما شما حال بگویید	ئەمانەێ، یەکم بووشە بێنم.	Kakavandi	Harsin	Southern Kurdish	MRY	
he resolved to absent himself from his house for eight days	تصمیم گرفت هشت روز غیبت کند	ئەو تەسمیم گرتێ هەشت ڕووژ ڤە ماڵ وژێرە قائێب بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
the gay tones set my heart at ease.	لحن شاد او قلبم را آرام ساخت.	گوورانیەل شاد دڵ ئارام کردمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
said the count, bowing	کنت سرش را تکان داد	کونت ڤتەێ، هەنێ ک تەزیمە مەکردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
because you are still four against one	چون هنوز 4 به 1 هستید	چۊن هالیم چوار ڤە یەکینان.	Kakavandi	Harsin	Southern Kurdish	MRY	
without speaking to him, of course	طبعاً بدون آن که حرفی با هم رد و بدل کنند.	ئەلڤەتە بی قێر ئەژ گەپ داین ئە گەرد ئەو.	Kakavandi	Harsin	Southern Kurdish	MRY	
but in order to have known everything so well you must have been an eye witness	اما از برای اینکه شخص به این تفصیل از واقعه مطلع باشد لازم است که خود حضور داشته باشد	ئەمانەێ ئەرا یە ک کول چێ ئەخکە خوو بزانین، باس ڤە چەم وژت مۊنیات	Kakavandi	Harsin	Southern Kurdish	MRY	
I really don't think they should let the other sort in, do you?	به نظر من که نباید افراد متفرقه رو توی هاگوارتز راه بدن.	م هرە ڕاسیا فکر نمەکەم ک باد فرمەێ تر ڕێ بەن، هومە چە؟	Kakavandi	Harsin	Southern Kurdish	MRY	
now I cain't get her a movin' a tall.	حالا دی گه من اصلاً نمی تونم تکونش بدم	ئیسە م دی هەر نمەتۊنم تەکان بەمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but all his cautions and warnings were unavailing to dissuade the chaplain from taking him away.	لیکن تذکرات و نظرات او تأثیری در فکر و عقیده کشیش نکرد و او را از تصمیم خود باز نداشت.	بڵەم کول ڤیریائی و هوشدارەل ئەرا منسەرف کردن کشیشە ئەرا یە ک ڤە بردن ئەو دەس هێز بەێ، بێ فایدە بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
so he could not be as expert in distinguishing remote objects at sea, as we who so much converse in that element.	از ای نرو در تشخیص چیزهائی که در دورترین جاهای دریا قرار داشت به قدر ما که این همه با دریا آشنا هستیم مهارت نداشت.	سە ئەر نام تەشخیس چێئەلێکێ ڤە دۊرترین جال دەریا قرار داشتێ، چنە ئیمە ک ئەخکە ڤە گەرد دەریا ئاشنا هیمن مەهارەت نیاشتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
hoping you find yourself well, sir!	امیدوارم که حال سرکار خوب باشد	هومێدەوارم ک هال سەرکار خاس بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
I went to the safe house and found you.	این بود که به خانه امن رفتم و تو را پیدا کردم.	م چم‌ ئێرێ ماڵ ئەمن و تونم پێا کرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
I had soon told my story	سرگذشت خود را هرچه زودتر بازگفتم	پارچا وژم هەرچێ زۊتر ڤتم.	Kakavandi	Harsin	Southern Kurdish	MRY	
