en_sentence	kmr_sentence	translation	variety	county	orthography	translator	3332
Oh Ah These wobbly stones are rather wobbly!	Ooo ev kevirên ku dihejin, gelekî dihejin!	Oh Ah Nê gupikê lerzayoxî zaf lerzenê!	Standard		Kurdish	MO	
And Pug is very good at helping me help.	Erê, Pug jî dikare alîkarîyê bide min.	Eya Pug zî do bieşkîyo zaf weş hetkarîya mi biko.	Standard		Kurdish	MO	
Thank you, Pug. You re a hero.	Spas dikim, Pug. Tu her hebî!	Sipas kena, Pug. Ti yew qehreman î.	Standard		Kurdish	MO	
How do you distract a rabbit?	Kîvroşk çawa tên ewiqandin?	Merdim senî yew hargûşî meşxul keno?	Standard		Kurdish	MO	
Hmmm how curious... in a really good way.	Himm gelekî balkêş e… ez nabêjim xerab e.	Hmm zaf balkêş o... ez nevana xirab o.	Standard		Kurdish	MO	
It doesn t say that in the diary Pug.	Di rojnivîskê da ew tune ye, Pug.	O çî rojane de nênusîyayo Pug.	Standard		Kurdish	MO	
You re not Holmes.	Hii! Tu ne Holms î.	Hii! Ti Holmes nîyî.	Standard		Kurdish	MO	
You kept saying Hey and lots of diddles.	Te li ser hev digot: Hey zengil zengilê .	To tim vatêne Hey û zengil zengilê .	Standard		Kurdish	MO	
Hey diddle diddle, the cow on the griddle? No. Hey diddle diddle the dog did a... No, that s not right either!	Hey zengil zengilê, çêleka li ser moxilê? Na. Hey zengilê zengilê, seg çûye ser… Na, ne ew e jî!	Hey zengil zengilê, manga sacî ser o? Nê. Hey zengil zengilê kutikî yew... Nê, no zî raşt nîyo!	Standard		Kurdish	MO	
I think I have a book about kites. Maybe we could take a look and get some ideas.	Bi min divê em pirtûkeka li ser vafirokan bibînin, lê binêrin û hin fikran jê bigirin.	Ez vana ke mi de kitabêk est o derheqê vafirokan de yo. Belkî ma biewnîyê tira û tayê fikran bigîrê.	Standard		Kurdish	MO	
The King was shouting for you MrsMervyn.	Şah Artur gazî te dikir, Mervîn Xanim.	Şah to ra qîrrayêne Xatûn Mervyn.	Standard		Kurdish	MO	
Look! Shooting stars!	Binêre! Stêr dixuricin!	Biewnî! Estarey perreno!	Standard		Kurdish	MO	
How curious... and familiar.	Pir ecêb e… pir nas e.	Çi ecêb o... û şinasî yo.	Standard		Kurdish	MO	
It is I who have been acting like a machine. Dogstar, sometimes I'm not very intelligent.	Kesê ku wekî makîneyê tevdigerîya ez bûm. Hii! Segstêr, carinan ez têra xwe ne jîr im.	Kesêko sey yew makîne têw gêrayêne, ez bîya . Hii! Kutikstare, rey-rey ez zaf aqilmend nîya.	Standard		Kurdish	MO	
I do hope Pug is learning someuseful painting taps...I mean tips.	Hêvîdar im Pug niha hînî çêkirina wêneyan dibe… Ez westîyam.	Ez hêvî kena ke Pug tay metodê faydeyinî yê resimviraştişî museno... ez betilîyaya.	Standard		Kurdish	MO	
It is very heavy Dog. But when I'm bored I can make it into a crane.	Pir giran e, Seg, lê dema ku ez jê aciz bûm, ez dê wê bikim wînç.	A zaf giran a Kutik. La wexto ke ez aciz bena ez eşkena aye bikera yew vînç.	Standard		Kurdish	MO	
And Gemini the twins...and Orion!	Û Stêra Cêwîkan… û Cebar!	Û ha Birca diletî... û Cebar!	Standard		Kurdish	MO	
Can you see what I see Dog?	Tu jî heman tiştî dibînî, Seg?	Ti zî eynî çî vînenî, Kutik?	Standard		Kurdish	MO	
Our race!	Rast e!	Musabeqaya xo!	Standard		Kurdish	MO	
We re preparing to perform a play called Of Mice And Men. I am men.	Em ji bo lîstika bi navê Mişk û Mirov provayê dikin. Ez Mirov im.	Ma yew kayê bi nameyê Merreyî û Merdimî amade kenê. Ez Merdim a.	Standard		Kurdish	MO	
Bow Wowzer! Those stairs made usrun around in circles...and we can run around in circles too!	Li vê ecêbê! Li ser pêlikan em di xelekekê da dibezîn… em dikarin dîsa di xelekekê da bibezin.	Hela na ecêbe! Ê siliman kerd ke ma çemberan de vazdê... û ma eşkenê reyna çemberan de vazdê!	Standard		Kurdish	MO	
I love my books to be dust free and spotless.	Ez ji pirtûkên xwe yên paqij û bêtoz hez dikim.	Ez wazena ke kitabê mi bêtoz û pîrûpak bê.	Standard		Kurdish	MO	
Really?	Bi rastî?	Raşt a?	Standard		Kurdish	MO	
Don t forget the doggy biscuits....	Biskiwîtên segan ji bîr neke….	Biskuwîtê kutikan xo vîr ra meke....	Standard		Kurdish	MO	
No, that s a horse.	Na, ew hesp e.	Ne, o yew estor o.	Standard		Kurdish	MO	
Wow-Bowzer. Time to go boys. I mvegan!	Evqas bes e. Em herin xortino. Ez vegan im!	Hende bes o. Wextê şîyayîşî yo lajekêne. Ez vegan a!	Standard		Kurdish	MO	
And just a joke	Me henek kir lê.	Tena henekêk bî lo	Standard		Kurdish	MO	
Now what?	Em çi bikin?	Nika ma se?	Standard		Kurdish	MO	
Bow-Wowzer! We just ran around and around. I know what King Arthur needs!	Tiştek hat bîra min! Em niha li dora xwe bezîn. Ez dizanim ji Şah Artur ra çi lazim e!	Hela na ecêbe! Ma heme dormeyê xo de çerx bîyî. Ez zana Şah Arturî rê çi lazim o!	Standard		Kurdish	MO	
You re scared...of those? Butthey re not a something. They re a nothing. And you re a brave knight. Aren t you? (The penny drops) Are you just playing Let's pretend ?	Tu ji wan… ditirsî? Lê ew ne tiştek in. Ne li ber tiştekî ne. Lê tu şovalyeyekê wêrek î. Ne wisa? Tu henekên xwe dikî, ne?	Ti înan ra… tersenî? La ê çîyêk nîyê. Ê çîyêk zî nîyê. Û ti yew şovalyeyo wêrek î. Wina Nîyo? (yeno vîrî) Ti seba ke Ma bixapênê wina kenî?	Standard		Kurdish	MO	
But not as amazing as the world record for the most people balancing books on their heads at one time - 998!	Lê bi qasî rekora dinyayê ya di carekê da hilgirtina 998 pirtûkan ya li ser serê xwe ne ecêb e.	La hende rekorê dinya ecêb nîyo ke merdimêk sereyê xo ser o reyêk de 998 tepiştî. To eşnawit? 998!	Standard		Kurdish	MO	
Would you like a tour?	Hûn dixwazin lê bigerin?	Şima wazenê ci bigêrê?	Standard		Kurdish	MO	
Dog, do you think I can teach the bookshop mice to dance?	Seg, bi ya te ez dikarim dansê hînî mişkên pirtûkxaneyê bikim?	Kutik, ti vanî ez eşkena reqsî bimusna merreyanê kitabxaneyî?	Standard		Kurdish	MO	
Perhaps we should find the Snark before he does.	Belkî berî ku ew bibîne, divê em Segmarê bibînin	Beno ke verê ke o bivîno, ganî ma Kerga Misirî yî bivînê.	Standard		Kurdish	MO	
Exploring a cave ... Catching awave ..Ah.. Being brave!	Belek bûn… Zîrek bûn … Aha! Wêrek bûn!	Wesayîtê Sêhrênî ... Werdê zaf weşî ... Ah.. Wêrekbîyayîş!	Standard		Kurdish	MO	
And here comes a big mug of tea to wash it down!	Fincanek çaya ku Seg vedixwe di wê derê ra tê jêr!	Û tîya ra yew fincana gird a çaye yena ke ey erşawito war!	Standard		Kurdish	MO	
Indeed it is Pug. The pits arewhere racers prepare for their race.	Erê rast e, Pug. Pêşbaz xwe li pîsta pêşbazîyê amade dikin.	Raşt o Pug. Musabiqî xo seba musabeqayan tîya de amade kenê.	Standard		Kurdish	MO	
It's beautiful!	Pir xweş e!	Zaf rind o!	Standard		Kurdish	MO	
A soothing sea shanty will calm our aquatic friend.	Straneka xweş ya keştîvanan dê wî aram bike.	Yew deyîra weşa keştîwanan do embazê ma yê awîyî aram bikero.	Standard		Kurdish	MO	
Who has done all this wonderfulwork?	Kê ev kar ewqasî xweşik bi dawî kirîye?	Kamî no karê ecêb pêro kerdo û qedênayi?	Standard		Kurdish	MO	
And slowwwwww. I just slap it onfast.	Û hêdî yeeeee. Ez şelpan lê didim.	Û hêdîîîîîî. Ez çend şelpan dana piro.	Standard		Kurdish	MO	
Many stars are suns Pug, butthey re a long way away.	Piranîya stêran roj in, Pug, lê ew ji me gelekî dûr in.	Zafaneyê estareyan roj ê Pug, la ê ma ra zaf dûrî yê.	Standard		Kurdish	MO	
Dog does like asking questions. AndPug?... Pug Loves Books.	Seg ji pirskirina pirsan hez dike. Û Pug?... Pug ji pirtûkan hez dike.	Kutik persayîşê persan ra hes keno. Û Pug?... Pug Kitaban ra Hes Keno.	Standard		Kurdish	MO	
Snow?	Berf?	Vewre?	Standard		Kurdish	MO	
Dog loved the feel of books. Hmmm	Segî ji hiskirina pirtûkan hez kir. Hmmm	Kutikî hîskerdişê kitaban ra hes kerdêne. Hmmm	Standard		Kurdish	MO	
It's a wonderful snail Dog. His eyes are on stalks!	Qepûşkekî ecêb e. Çavên wî li ser bistikan in!	No yew qepûşk ecêb o Kutik. Çimê ey goşikanê ey ser o yê!	Standard		Kurdish	MO	
And he likes to dance.	Û ji dansê hez dike.	Û o reqsî ra hes keno.	Standard		Kurdish	MO	
What are they talking about?	Ew mirov qala çi dikin?	Ê qalê çiyî kenê wina?	Standard		Kurdish	MO	
O.K. Diggers. This site is a mess.I want you to stack those pipes, move that sand and level this mud.	Belê, kepçeno! Ev der tevlihev e. Wan borîyan deynin ser hev, wê xîzê hilgirin û vê herîyê rast bikin.	Temam Kepçeyêne. No ca têmîyan o. Ez wazena ke şima ê borîyan biancê pêser, ê qumî bihewanê û na herre raşt bikerê.	Standard		Kurdish	MO	
Hmm Ah. Take in the fresh air Pug. The perfect peace. The tranquility. The...	Himm Ah. Hewaya paqij bikişîne nava xwe. Çi aramî û bêdengîyeka xweş! Çi…	Hmm Ah. Hewayê pakî biance zereyê xo Pug. Aramîyêka zaf weşe. bêvengîye. û...	Standard		Kurdish	MO	
Ferrets...Farmers..Ah..Fairy Tales!	Çirçirk… Çîrokbêj… Aha… Çîrvanok!	Çirçirikî… Citkarî… Aha… Estanekê Perîyan	Standard		Kurdish	MO	
Oh no you re not.	Na, tu ne li wir î.	Ney, ti uca de nîya.	Standard		Kurdish	MO	
It was very scary Dog?	Ew pir bixof bû Seg?	O zaf tersnak bi Kutik?	Standard		Kurdish	MO	
The Rise And Fall of The Roman...	Bilindbûn û Têkçûna Romayê…	Qezenç û Vindîkerdişê Romayî...	Standard		Kurdish	MO	
Is it Major Amazing?	Li ser Ecêba Mezin e?	Derheqê Ecêba Girde de?	Standard		Kurdish	MO	
Granny Pug s Guide to Ancient Egypt	Rêbera Dapîra Pug ya Misira Antîk e.	Raywanîya Dapîra Pugî ya Misirê Verênî yo.	Standard		Kurdish	MO	
This is a book about a very specialsomewhere and it is called...	Ev pirtûk di derheqê cihekê gelekî taybet da ye û navê wê jî…	No yew kitab o ke derheqê cayêko zaf xisusî de yo û nameyê ey...	Standard		Kurdish	MO	
All the bamboo round here has gone.	Hemû bambûyên me xelas bûn.	Heme bambuyê ke tîya de bî, qedîyayî.	Standard		Kurdish	MO	
Dog loves…	Seg ji..	Kutik ê çîyan ra	Standard		Kurdish	MO	
Are Snarks scary Mr Bellman?	Segmar tirsnak in, Zangoç Beg?	Kerga Misirî yî kê tersnenê, Brêz Zingilbaz?	Standard		Kurdish	MO	
The game is afoot!	Lîstikê dest pê kir!	Kay dest pêkerd!	Standard		Kurdish	MO	
Just dogs... and a puppy!	Du Seg… û pitikek hene!	Tena kutikî... û yew tolik!	Standard		Kurdish	MO	
But what does it mean?	Lê ev tê çi wateyê?	La manaya ney çi ya?	Standard		Kurdish	MO	
Not according to them.	Li gor wan ne wisa ye.	Goreyê înan wina nîyo.	Standard		Kurdish	MO	
I love sitting back and reading a book in perfect peace and quie...	Ez hez dikim ku pal bidim û di nav bêdengî û aramîyê da pirtûkekê...	Ez hes kena ke xo xo pal bida û yew kitabî mîyanê bêvengî û rehetîye...	Standard		Kurdish	MO	
But most of all and best of all..	Lê herî zêde û ji her tiştî bêhtir…	La tewr zaf û û her çîyî ra zafêr…	Standard		Kurdish	MO	
We re on a sailing ship Dog!	Em li ser keştîyekê ne, Seg!	Ma yew keştî ser o yê Kutik!	Standard		Kurdish	MO	
These do, but I also have moremodern ways of making them.	Rast e, lê min rêyeka moderntir ya çêkirina wan dîtîye.	Raşt o, la metodê min ê hîna modernî zî estê ke ez înan virazena.	Standard		Kurdish	MO	
Just some bunnies in the forest.	Min bi tenê çend kîvroşk dîtin.	Tena mi tayê hergûşî dîyî daristan de.	Standard		Kurdish	MO	
So, will you help me?	Îcar tu dê alî min bikî?	êê, ti do mi rê hetkarî bikerî?	Standard		Kurdish	MO	
Yes! It's a new world record!	Erê! Ev rekoreka nû ye!	Eya! No yew rekoro newe yê dinya yo!	Standard		Kurdish	MO	
Except I'm really hot now!	Lê niha min pir germ e.	La nika ez rasta zî zaf germin a!	Standard		Kurdish	MO	
That doesn t seem very fair.	Lê neheqî li wan tê kirin.	No zaf sey neheqî nêaseno.	Standard		Kurdish	MO	
I can draw anything!	Ez her tiştî xêz dikim!	Ez eşkena her çî xêze bikerî!	Standard		Kurdish	MO	
Hmm There is a word... a magic word...that will do the trick. Sim Sala Bim!	Himm! Gotinek heye… gotineka bisêhr… ew dê bi kêr were. Sîm Sala Bîm!	Hmm Yew çekuye est a... yew çekuya sêhrêne... ke do naye bikero. Sîm Sala Bîm!	Standard		Kurdish	MO	
It's a little cold.	Piçekî sar e.	Tay serd o.	Standard		Kurdish	MO	
Or stolen by the Lost Sock Monster.	Yan jî Cinawirê Kurikên Winda.	Yan zî Ejehdaya Kurikê Vindîbîyayeyan.	Standard		Kurdish	MO	
I'm going to put this snail outside where he ll be happier.	Ez dê vî qepûşkî bibim derve, ew dê li wir dilxweştir be.	Ez do nê qepûşkî bera teber ke o do uca de hîna keyfeweş bibo.	Standard		Kurdish	MO	
I meant all this Dog. Why is there a bookshop when there wasn t one before?	Ez behsan van tiştan dikim, Seg. Berê pirtûkxaneyek tunebû, çima niha yek heye?	Ez behsê nînan kena Kutik. Çira yew kitabxane nika est o ke verê çin bi?	Standard		Kurdish	MO	
And you dug a hole.	Û te çalek vedaye.	Û to yew çale kenaya.	Standard		Kurdish	MO	
Hmm. This is something I must look into.	Himm. Divê ez li vê yekê lêgerînê bikim.	Hmm. Ganî ez naye ser o cigêrayîş bikera.	Standard		Kurdish	MO	
Please can we read a different story Dog?	Ji kerema xwe çîrokeka din bixwîne, Seg?	Keremê xo ra ma şênê yewna hîkaye biwanê Kutik?	Standard		Kurdish	MO	
Granny!	Dapîrê!	Dapîre!	Standard		Kurdish	MO	
How do you confuse a Big Bad Wolf?	Hûn dê Gurê Xerab çawa biewiqînin?	Şima senî Vergê Girdê Xirabînî xapênenê?	Standard		Kurdish	MO	
Those are the names of his friends.	Ew navên wan hevalên wî ne.	Nê nameyê embazanê ey ê.	Standard		Kurdish	MO	
Certainly, Sire –	Ser seran, ezbenî	Helbet, Rêzdar -	Standard		Kurdish	MO	
Row! Row! Row!	De! De! De!	de! De! de!	Standard		Kurdish	MO	
I was so busy looking for mine I keelhauled it.	Ez bi veşartina Xezînayê ra pir mijûl bûm.	Ez hende cîgêrayîşê xo de meşxûl bîya ke mi a xirabe kerde.	Standard		Kurdish	MO	
Are you sure the Diary doesn t say that we ate a couple of the sandwiches?	Tu baş dizanî ku rojnivîska te nabêje me di rê da çend sandwîç xwarin?	Ti baş zana ke rojaneyê to de nêvano ma rayîr ra di-hirê sandwîçî werdî?	Standard		Kurdish	MO	
Pyramus is a sweet man.	Pîramus zilamekê şîrîn e.	Pîramus yew camêrdo şîrin o.	Standard		Kurdish	MO	
That is my new favourite book!	Min ji wê pirtûkê pir hez kir!	No kitabê min o favorî yo newe yo!	Standard		Kurdish	MO	
Then perhaps if you do everythingyou did today BACKWARDS you may find it again.	Nexwe eger tu tiştên ku te îro kirine berepaşkî bikî, dibe ku tu wê dîsa bibînî.	O wext eke ti her çîyo ke to ewro kerdo, ti PEYSER bikerî, belkî ti eşkenî reyna aye bivînî.	Standard		Kurdish	MO	
How curious.	Li vê ecêbê!	hela na ecêbe.	Standard		Kurdish	MO	
Thank you, Mr. Moon. Would you likea baboon, I mean, balloon?	Malî ava, Heyv Beg. Em babûnekê bidin te, yanî, balonekê?	Sipas kena, Aşm Beg. Ti yew babûn wazenî, yanî, balone?	Standard		Kurdish	MO	
Sweet dreams!	Em dê werin!	Hewnweş!	Standard		Kurdish	MO	
This is a book of children s verses from many times and places and it is called...	Ev pirtûka şîîreên zarokan yên ji dem û deverên curbicur in û navê wê…	No yew kitabe şîîranê domanan o ke yê heme dem û cayan o û nameyê ey...	Standard		Kurdish	MO	
I don’t really want to... Excuse me madam, but have you seen a Snark?	Ez qet naxwazim… Bibexşîne xanimê, gelo te Segmarek dîtîye?	Ez qet nêwazena ke… ef bikere xanimê, gelo to Kerga Misirî yêk dîyo?	Standard		Kurdish	MO	
Er... would you read it to me?	Hiii… tu dikarî ji min ra bixwînî?	Er... ti şenî mi rê biwanî?	Standard		Kurdish	MO	
I have an idea...	Aqilek hat min…	Yew fikrê mi est o...	Standard		Kurdish	MO	
And remember - a great magician never says how it's done. The end.	Û ji bîr neke – sêhrbazekê baş sêhra xwe ji kesî ra nabêje. Dawî.	Û xo vîr ra meke - yew sêhrbazo gird qet nêvano sêhr senî beno. Peynî.	Standard		Kurdish	MO	
Hello, Goldilocks!	Silav, Kezîzerê!	Merheba, Porzerrêne !	Standard		Kurdish	MO	
Who wants to play at being very quiet and not being seen?	Kî dixwaze lîstika bêdengbûn û xweveşartinê bilîze?	Kam wazeno ma dest pêbikê û kayê bêvengî û xonimitişî kay bikê?	Standard		Kurdish	MO	
Aah Ancient Egyptian mummies.	Aaa! Mûmyayên Misira Antîk.	Aah Mumyayê Misira Verêne.	Standard		Kurdish	MO	
You mean stabilisers?	Tu qala sabîtkeran dikî?	Ti qalê stabilîzekerdoxan kenî?	Standard		Kurdish	MO	
Bow-wowzer! Let's read a book about the hottest place in the world. They ll know how to keep cool there. To the wheely ladder Dog.	Li vê ecêbê! De em pirtûkeka li ser germtirîn cihê li dinyayê bixwînin. Ew dizanin xwe çawa hênik bikin. Em herin ser nêrdewanê, Seg.	Hela na ecêbe! De ma yew kitab biwanê ke derheqê cayê dinya yo tewr germin de yo. Ê do bizanê senî xo honik bikerê. Ma şirê nêrdîwane ser o, Kutik.	Standard		Kurdish	MO	
Please excuse them Pug. They re just a few of my stray thoughts.	Guh nede wan, Pug. Ew çend ramanên min yên belawela ne.	Qet goş mede înan Pug. Ê tena çend fikrê min ê tewşomewşo yê.	Standard		Kurdish	MO	
I'm doing my best HEEEEEEELP!!!	Ez xwe digirim, Seg! Hewar eee!!!	Ez xo tepîşena Kutik HEEEEEWWAAAR!!	Standard		Kurdish	MO	
Aah! She s happy. All that running has warmed her up -and me too.	Aah! Ew dilşad e. Bazdana me kir ku ew germ bibe. Ez jî germ bûm.	Aah! A keyfweş a. Hende vazdayîşî a kerda germ - û ez zî.	Standard		Kurdish	MO	
I have absolutely no idea, Pug ...but something smells fishy.	Ez jî nizanim em li ku derê ne, Pug… lê bêhna masîyan ji vir tê.	Qet fikrêkê mi çin o Pug... la yew çî boya maseyan dano.	Standard		Kurdish	MO	
Bow-Wowzer Dog, but not as Bow-Wowzer as the herring who talks to its herring friends through its bottom burps!	Zehf ecêb e Kutik, lê bi qasî "masîyê sêld" yê ku bi rêya tirên xwe bi hevalên xwe ra dipeyive ne ecêb e!	Zaf ecêb o Kutik, la hende ecêb nîyo sey maseyê seldî ke bi embazanê xo yê seldî reyde bi tirranê xo qisey keno!	Standard		Kurdish	MO	
Now I can go back to my woodwork, Dog. Hmmm...I wonder if I can make some wooden electricity?	Êdî ez dikarim li karê xeratîyê vegerim, Seg. Himm… Gelo ez dikarim texteyekê ceyranî çêbikim?	Nika ez eşkena agêra karê xo yê daran ser, Kutik. Hmmm... Ez meraq kena gelo ez eşkena tay ceyranê darênî virazî?	Standard		Kurdish	MO	
Whoa! Three little pigs, building ahouse out of sticks.	Gidî! Sê berazê biçûk, ew ji darikan xanîyekî lê dikin.	Wîy! Hirê xenzîrê qijî, daranê qijan ra yew keye virazenê.	Standard		Kurdish	MO	
You d be surprised what is thrownaway.	Tu hîn nizanî bê mirov çi diavêjin gilêşê.	Ti do şaş bimanî ke merdimî çîyanê xo erzenê.	Standard		Kurdish	MO	
I have a mind too!	Hişekê min jî heye!	Hişê mi zî esto!	Standard		Kurdish	MO	
King Arthur and his Knights Of The Long Table.	Şah Artur û Şovalyeyên wî yên Maseya Dirêj e.	Şah Artur û Şovalyeyê ey yê Masaya Derge” yo.	Standard		Kurdish	MO	
That is my new favourite book. And it's given me an idea how to finish my castle costume. But first I need something important.	Min ji wê pirtûkê pir hez kir. Û wê ji bo qedandina kostumê xwe yê qesrî fikrek da min. Lê pêşî ji min ra tiştekê giring lazim e.	No kitabê min favorî yo newe yo. Û ey fikrêk da mi ke ez senî kostumê xo yê qesre qedêna. La verê cû mi rê yew çîyo muhîm lazim o.	Standard		Kurdish	MO	
DORIS IS BRAVE!	Doris wêrek e!	DORIS Wêrek o!	Standard		Kurdish	MO	
And the number that comes after seven.	Û hejmara ku piştî hejmara heftan tê.	Û hûmara ke badê hewtî yena.	Standard		Kurdish	MO	
Longer than ten minutes?	Ji deh deqîqeyan dirêjtir?	Des deqayan ra dergêr?	Standard		Kurdish	MO	
