ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	I might have the misfortune, to have been deceived in that sore extremity,
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	then suddenly you remembered him
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	a crown carved on the trees.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	we're all layin' 'em down the same direction, jus' the same.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	when he hasn't got a principle in him to make him more afraid of doing the wrong thing by others than of getting his own toes pinched.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	in spite of this one great deviation from the strict rule of right.
ز حالس ناراضی نبی	her mind had no distaste for her own set	she wasn't in a very good mood
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	so he presently found himself leaning to the impression
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	but not discovering his mistake until he had got half way down it
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the princess left her
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	was startled by a sudden fluttering pressure against the outside of his shield.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	leaving a few inches of the erect spar yet visible, together with long streaming yards of the flag
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I will the curate and I'll take the time.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	it was six miles to the day's credit.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	carefully administered the appointed number of drops
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought of the grief I ought to have in my hands
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	up the stairs, to reach the door.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though he prided himself on keeping up with whatever was the latest fad.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	but the counsel being absent his secretary by his orders opened his house
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	being not so unprepared that they were not needed further training and a crash course, at that
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	from the door at which he had been delivered
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I set off at the moment without any regard to my neighbors, and the favourite diversion of that kind.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	he swung round with a deep flush
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I was never going to see her again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to decide which, so elaborately intertwined was the engraved penmanship.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	with her wispy hair and the dust in the creases of her face.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it any more.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I warn you that I might be glad to have another opinion of you.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	for himself and for children I found a pair of shabby two.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	which was admirably arranged, so that it was palm up
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	so you may lay to that.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	stopping to motion his horse and dili gently working away at its knitting again
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I furnished myself with a light
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	the hands of the buckwheat laid carefully above his head.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	he drew him aside and asked the reason of his having come there.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	do you know what you did, unfortunate adviser?
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	kindly act in due form and be a little molestitious painter.
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	like a bomb or a point, and more dangerous.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	but all through the house
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	maybe there's a corpse lying upstairs in the empty house.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I am confident that nothing has happened.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	carefully administered the appointed number of drops
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I have lived all day here, in spite of you and your ass
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	that is the man's religion, not to be assured immortal life.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	or giving the least sign of her activity
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I'd like to see her off when I'd finally got the right eye.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't expect to see you was mine.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	for a draught of water, a sign that he was only eight years old.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	each of them had rewards to meet all objections be they alone.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	into which no man may enter save the doctor of the dead.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I stood at the toilet table near the window
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	he seemed to feel his personal safety was in question.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	he wrenched himself back into the house.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	you re the one that shook him.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I have told you I was not a snake.
إگوی یه‌ پرزؽ ز کلؽچ مؽنجایی مو بلوندتر هڌه.	seemed to be somewhat longer than my middle finger.	as though an inch of it were bolt there.
سی که اومؽڌواره که بشخیڌه وابۊ	because he hopes to be forgiven	hoping she would tarry yet awhile longer.
مو سرومه سی نشونه باور نکرڌن جومنؽڌوم.	I shook my head in disbelief.	I shook my head to not trust her.
مو هنی هم تی خوم إگوم که او شۉ غلوه بڌعبۊس بیڌی و هرگش نتروم بشخومت.	I still think you were hateful that night and I never expect to forgive you.	I repeat to you that there was a great deal of talk among you in the night that evening and that you did not need me.
هو، مؽن حل کرڌن جڌول کلیمه‌یل قلی‌پلی منده بی.	he missed doing the crossword.	he had been almost dozing off, lost in the heat and his thoughts.
هونوݩ، هو نه همؽچو إکونن ڤه هاک.	they'll bury him right there.	the house was so full of dense tobacco smoke
ولؽ شَکَر ز ویر هو رئڌ بی.	but he had forgotten the sugar.	but, luck would have it forgotten
مؽن فرگ چیؽ گپ دیه‌یؽ غرق وابی بی.	was deep in thoughts of something else	it had sunk last night in the thought of plunging water.
کوله نه ناڌ ڤه سر و نشَئس.	put on the hat and sat down.	place the hat on his head and sat down.
هو‌ تنڳ اوکسیجن وی	he needed oxygen	she was as sharp as a feather.
هو هم نه وه خرج کردݩ چونوݩ که دلس اخاس	not by spending as he pleases	for he, too, had paid the fare thereof'ere the craft did sail.
پار که کولَئ نه نها وه سر	when he'd placed the hat on his head a year before	the barber's daughter, from the dull closet
گاشڌ نها رَئڌن هو بسونس.	may even be about to marry her before he leaves here?	it probably smelled good to everyone else.
دؽ وا کس نؽ‌بو که نها هو نه بگرن	nobody seems to be able to stop her	she could hardly have borne them from another man.
پای معنی یه دنڳؽ مؽن گپتاکلسه	that the whole meaning of a song lies in the words	which was to yield if it were dexterously performed.
مؽن پای عورمم هرگش اؽقه دلخوش نویمه	I've never been so happy in all my life	I will never forget this.
خوت تِینا واسوݩ جر مکار	don't you go fighting them alone.	you only know what there is, unfair!
بائینا تراشسه و قشنڳس لوئڌ و پَتی وین	her beautifully moulded arms bare	she broke off and measured her legs with a glow.
ٱر درو داڌه بۊی، وه بازستن نشمینؽ اؽبرمت	if you are telling me a lie, I'll lead you a pretty dance.	therefore I don't suppose you should be angry with him in any way.
عاقوَتس تاریک وی	his end was night.	it was as though dark
نهنڳ وی قلڤس واسه	making her heart jump.	it will bring bad luck.
دؽ هرگش وه پیائؽ چی هو اعتماڌ نؽکونه	he would never trust a man like that again.	never will he have confidence in her again.
که چی پای چیَل دِئری وا قاغز پۊشس وی	which was, like all the rest, covered with papers.	that everything depend on her daughter's inclination.
مَنوم یکؽ هنه ایا	I think I hear some one coming.	it returned to the stammer of acharter.
تِی خوسوݩ گوڌن کوڤؽریه	they took it as a joke.	almost crumpling beneath the weight of a disapproval she had never known before.
پنج سال پیرتر ز هونم که وه خو درو بڌم و نومسه بنم شرف	I'm five years too old to lie to myself and call it honor.	I'm five years old than I remembered when I said that last name.
پیلؽ نهنڳ دِڤؽست هزار تمݩ مَرج کردم	I must be holding two hundred thousand dollars in bets.	I estimate the numbers of about two hundred thousand on the court.
مَجمه ٱفزارا کۉش دۊزی و کار کَلس چی همؽشه وی	his tray of shoemaking tools, and his old unfinished work, were all as usual.	I begged him to attend the funeral.
مو تَریڌه نؽسم ٱما تَریڌه‌مه اؽکوشم	I am not a thief, but I'll murder my thief.	I'm not running myself out of wolf form, but you're going to die on his hands.
وا دَنڳ آرمؽ بونڳس کرد	he addressed to him in a gentle voice	she yelled, so loudly that
حتما جائؽ ز کاروم باگ داره	I must have done something wrong.	I have a night's work to do.
چونوݩ ز شۉق گرؽڤست.	shedding such tears of heartfelt joy	I've been crying in distress.
اۊسه گاشڌ جذابیتس بؽشدر بۊ	then the attraction may be the greater.	an eageragerageragerageragerageragerager to discover some interest in her.
هیچ باگ نڌاره	without any mistakes in it!	he has no parents.
ز ٱول منستوم ئی آڌوم کوتال سیه رۊله راسیه که وه شؽواتؽ چی‌یک زفت وی بی	at first I al most thought that this black manikin was a real baby preserved in some similar manner.	I really thought, sir, that it was a nice little greasy kiss on the cheek.
ایچو آشپزخووه هڌ	this is the kitchen	this is the kitchen
دی توء نڌاروم.	I've had enough of it	I don't want you any more.
بؽل وو کلندنه اوچو بوردن بی.	they took the spade and the pick there.	they had come for their tools.
آهؽ کشیم وو کیلیتنه به هو داڌوم.	I sighed and gave her the key.	I sighed and gave her the key.
به سمت تخت رهڌ	advancing to the bed's head	advancing to the bed's head
نتروم قوۊل کونوم	I can't possibly keep them.	I can't believe it.
نرسیڌه فوروهڌه ابۊن.	I can sell them fast as I get them.	he had no more time to waste on it.
یهوی هار وابیڌه	maddened by a sudden attack of rabies	had come home.
ولی بازم خۊوه تو دخالت نکۊنی.	but, however, you had better not interfere.	but you're not going to die about that.
یه خاهش که نؽبۊ گۊیس	a wordless plea	begging him not to proceed.
دو دست نه ناڌ ری سینه	crossing her hands upon her bosom	brought two brilliants along with a double chin
تکۉ هم نخۊرین.	do not move!	you don't like trouble and danger.
آخه هو بوتؽ نڌاره.	because he hadn't any aunt.	he's not a hero!
یه چی وه او گرت سر ایما نشست و سی هم یو چند بار وشخستیم	some part whereof flying up to our faces set us both a sneezing for several times together.	we sat down and made for a dozen times
شۊک وا دنگ شۊمش جواو دا	an owl answered with his sepulchral note.	he answered, frowning.
وا حالی گرهڌه وارد وابیڌ وا کۉتی شه و کر که تینیلس تا زؽر ریش پر و بۊرس بسته وابیڌه بی	had entered solemnly, in a black creased coat buttoned up under his spreading brown beard.	with a horrible oily gurgling, went clean out of sight!
چه ذلؽلی فئم نکردنیی هڌه.	what incomprehensible misfortune	his misery is unintelligible.
نها هو نه وا یه دست و دیندا وا هر دو دستس گرهڌ	he took it first in one, them in both his own.	seizing the letter by one hand and then seizing it by the other
گشتتۊݩ وا ترین مؽنسه بڤینین	make sure yeh can see' now	you were in complete possession of the best of them all.
چۊی تا ایسو صحۉ چی نوابیڌه بی که ارزشت غمه داشته بۊ	for until now she had never owned anything worth grieving for.	by this time was beginning to come on oppressively.
نؽتره سر ٱندؽ که دو سه رۊ نهاتر وا یک نهاڌه بین بیا	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	coming back to it over the last few days again and again.
وا داس منه کلؽسا بؽ و منه یه دم ناخوش وابؽ و‌ سؽ هو که آوستن بؽ نترست واسته.	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	while he gazed at her wonderingabout the outbreak of cholera, and died deciding to quit.
ئیچنو کارؽ ئی وخت شۉ وا ئیقر سِرسونگی و آلی که دۉرمۊنن	besides this kind of thing's too awful, here this time of night with witches and ghosts	with it all night if they hadn't been so worried about it.
ٱر راست بۊ مو یقؽن داروم که اؽ هارپۊنیر لؽوه لؽوه هڌه.	which if true I take to be good evidence that this harpooneer is stark mad	I'm sure that the harpooneer is in the right place.
ولؽ مؽن دلس، هرگش هو نه ول نکرڌ بی، إگوی که واقعا هو کورس بیڌه.	but in her heart she had never given him up, as though, indeed, he had been her son.	but in her heart he never saw her alone, as though she were his own daughter.
یه تاقؽ بالا‌ سروم‌ راس کرڌ جۊر تاق‌ دم‌دری کلیسا.	making a vault above my head like the archway of a church.	I'd just popped up to the walls.
او وحشی وا سیلایل نوفت سوئرس، پیرۊز وابی بی.	the brute with the red nostrils had won.	the old man with his wooden peg sticking stiffly out over the dashboard
مو سی خاطر تقلڤ، ریسک کرڌوم.	I risked the fraud	I ran some risk, thinking no more.
گشت تولگل گونجل نه خراڤ إکونه.	would bring the whole hornet's nest about our ears	as the rind wraps an orange.
هو دوڤارته یه کاملیا إسپؽڌ گرئڌ‌.	she received a white camellia again	he stopped and scooped it up again.
کس دیه‌یؽ نه هم نڌاروم‌ که زس بخوم.	I don't know who else to ask.	I needn't have another to deal with.
ایسو، هو قاغوز نه داڌ ڤس.	he now passed the paper over to her.	now, he gave him the paper.
سی همیو، قطار اؽما فشناڌه وابی اؽچو.	so our train was sent here.	it was always the same cramped, awkward handwriting as before.
تمیس هوش وندوم ڤه هو.	I examined her carefully.	I struck at him, and touched him.
مَر یو که هو، اۊ مۉضۊع نه پای بیَشنه.	unless he knows that subject well.	unless he were actuated by a decided feeling of avarice.
ولؽ یو چه ٱئمیتؽ داشت؟	but what did that matter?	but what was the matter with him?
ٱمرۊ سوئڤ، هو نه وا زؽنه جڤون دیه‌یی فشناڌوم.	I sent her out this morning with the other young woman	that I, too, was given an appointment at the green bench today!
ولؽ نه لازومه‌ که تِی خوت بگوی که مو راز‌‌گله‌یل مسقره تو نه مؽن دل خوم إلوم.	but you needn't imagine I shall keep your ridiculous secrets.	but I need not tell you that I did not expect you.
یه غِتاس هنده‌یی داڌ.	bursting into a hearty laugh	he repeated in a loud voice
مَر‌ یو که إخاس که ڤس توجه کونن.	unless he wanted to be noticed.	I'm the one who has to be paid better attention to him.
هو مؽن هونس نابدیڌ وابیڌ.	he disappeared into his house	he was wasting his time.
هو نه مؽن قلڤوم زفتس کرڌوم.	I kept her in my heart	I took it very carefully in my heart
خاسن یکیدو جۊر هاشقون قڌیمی و عشق کوئنه.	loving each other like unhurried old sweethearts	it was like a fresh slap in the face.
هو درجا خو نه إکونه ڤه یه چیؽ که هر کوم ز اؽما زس زئله‌موݩ إره.	he will immediately become whatever each of us most fears.	he allas keeps himself in a way that's good and beheaded by all of us.
سی همیو، هو دۉربال‌ نه گشت.	so he searched around	for ever, he was surrounded by beautiful paintings.
ز نۊ إڤورگرڌه مؽن لش جونداروݩ.	will go back into animals again.	then the square cracked
خوته سی شرایط اٛضطراری ٱماڌه کوݩ	prepare yourself for every emergency.	I reckon you're cracking up.
اوسو که هو هی تو نه إبره ڤه حال مرگ	when he is striking you dead?	when he's had the impudence to show it at the last.
یو که سر زؽر یو نؽبرین که وا هونواڌه مو گَل بگرین.	that you decline allying yourself with my family	you wouldn't fool around with a preacher anyway.
ڤه شرطؽ که رفتار دوروئس و‌ تواضع رعایت وابۊ	provided that a proper humility of behaviour is at the same time maintained.	if only their manner, as it were, of continual improvement.
دوروئسه که ٱر هو دئس آخور ڤه میل خوس عمل کرڌ بی.	it is true that if he had done as he liked at the last	acknowledge herself grossly mistaken and mis judging in all her ideas on one subject
ئی منج گاشڌ هونوݩ نه کۊر کرڌه بۊ.	this fog may have deadened them.	but maybe there was a corpse lying upstairs in the empty house.
اوسو یه‌ناگه ز جاس فورؽستاڌ	then he suddenly arose	then suddenly he quitted the chamber.
هومبار رئڌی مؽن گالری و قڌم زیڌی	you betook yourself slowly to pace the gallery.	then suddenly issued from the shadow of the road side
یه رپشت و پوخارؽ ز زیڌن باروݩ ڤه وجۊڌ إویڌ.	such a steaming and droning rose from the downpour	it was a jumble without taste or truth.
سی که وا ئی جریان نه وا خوت، وا رضایت حلس کونؽ.	for you must either satisfactorily settle this matter with yourself	if you persevere in doing well, these feelings will ere long appear so much the more evidently for their temporary suppression.
همیسو وا روم، ٱر نه هرگش نؽروم.	I must go now or I shall never go.	I wouldn't have to go without finding out.
هونوݩ ز مۉسڤؽ که جاهلؽ بیڌن، هو نه نیڌن بی.	they hadn't seenm him since they was boys together	they had not left him after that time
موافقوم، اؽما تی ڤه ره بیڌیم‌ که هو نه تا ایسو جوسته بیڌیمه.	I agree we would have expected to have found her by now	I'm sure we were keeping him company.
هو گوڌ و صڌاسه هم نَڤورڌ ڤه لم.	she said, and she did not trouble to lower her voice.	he said, not sounding sorry at all.
مو ڤه دئوتی جۊر یه نماڌ الهی إنیَروم که وا خوموݩ نه واس سازگار کونؽم.	that I look on marriage as a divine institution to which we must conform.	I think it is a sort of decadent and foreign and aristocratic to keep an eye on her.
وا یو که هزاروݩ نهَنڳ دیه ڤه کشتی هو ٱڤورڌه وابیڌن بی.	though a thousand other whales were brought to his ship	even though she may have fifteen thousand miles, and more, to sail ere reaching her proper cruising ground.
مو تواضع نڌاشتوم.	I lacked humility.	I was not half afraid at the time of its being so,
شرۊع کرڌ ڤه مهت داڌن مؽن تمرین کرڌن زندونی	began to assist in exercising the prisoner.	began walking up and down the room
سۊئار غایوغ کوچیره وابیڌوم	I climbed into the dinghy.	I've been a little bit too clever and put my foot in it.
هو، خشمناک، غارنؽڌ.	he exclaimed, getting angry.	he saw, fierce, fetid puddle.
اوسو تریم ویرموݩ نه بڤنیم ڤه مساله‌یل دیه.	then we can turn our attention to other matters.	to recall that there was another loud rap on the door.
که دو‌ کس نه ز یه بال و دو‌ تا دیه نه ز بال دیه، مؽن کر شرۉئیز کونه.	to hang two on one side and two on the other, within the door of the cave,	coming across the room with one hand and two back asleep.
ولؽ اوندۉ گوڌی که سیم إنڤیسی	but then you said you would write me	but then it made him decide that he must escape.
زنۊکاری سفروم مؽن گَه‌کوݩ	repeating my voyage early in the morning	trying to amuse, describing my fellow passengers.
که وا لذت ز سندس ڤورؽستاڌ.	who rose full of the enjoyment of his age.	who with great satisfaction rose to him
هو پنه گرئڌ بی.	he had taken refuge.	he was crying.
هو دیڌ که دڌۊس وا زهشت، مؽن لڤاس ساڌس نشئس بی و وا صڤیری تی ڤه ره بی.	saw his sister sitting patiently in her prim nightgown	she saw him walk down the hill and disappear behind a long, hairy face.
ڤه برچ تو نؽرسوم.	I shall not reach your light	I didn't expect you.
سی که هونوݩ سی پیایل و ٱسپل ٱۉئؽ نڌاشتن	for they had no water for men or horses.	for they had no other construction to put on them,
ولؽ هو چیؽ نگوئڌ که ڤه کسؽ ٱجازه بڌه که نیتسه ره بۊؤره.	but he did not say anything that allowed anyone to guess his intentions.	but she did not say so, only praised him till he had left it.
إترستوم‌ بڤینوم‌ که هر دقه چندؽ گپ اؽبۊی.	I could watch you getting taller by the minute.	I could see how much he might be capable of every moment.
هو من جیڤس ڤه دین سکه‌یلؽ که إخاسن گشت.	he dug into his pocket for the required coins	he pocketed the bill
آینکی‌یل نه و نۊئه‌دار ساحل داڌوم وا پوشت.	I gave the glasses back to the coastguard.	I glanced down at the shore sideways.
فرموندار هو نه مطمئن کرڌ که او پیا هنی کلۊ هڌه.	the governor assured him that the man was still mad	the commander in chief confirmed that he was still on the same paving stone.
هونه‌یلسوݩ نه سوئڌن و زنڳلسوݩ نه فوروئڌن.	burned their homes, and sold their women.	they had invited him out of his cell onto the square and there was a long horse trough
هو زؽر لۉ سی بی ربیه بیڌنس سیر نورفی ڤس که.	he muttered various curses on her awkwardness	she began to jitter apart like some indifferently made toy.
سی سر هو مڤلغ پنج هزار پزو ناڌن.	put a price of five thousand pesos on his head.	for he asked me for five thousand pounds.
یه‌کولی ز جونل ز ناعلاجی قورڤونی اؽبۊن.	many lives must inevitably be sacrificed.	I wish for no virtues of that kind.
وا اومؽڌ دیربین نه بورڌ بالا.	raising the camera hopefully.	she thought and desperation went on.
که تموم اومؽڌلسوݩ براڤورڌه نوابیڌه بی.	that not all of their hopes had been fulfilled	that he had been overwhelmed by the burden of disillusion.
اوسو کتاڤ نه ٱڤورڌ ڤه در	then pulled the volume out.	when he put it out he picked up the book.
سی همیو، هو نه ڤه رڤشتل دیه گوڌوم.	so I said it in other ways.	so I guess I better make sure.
ولؽ تی خوم گوڌوم که لازومه که ملیتومه واپۊشنوم	but I thought it necessary to disguise my country	but I have told you I should cover myself with coat.
کوروف نه نشوݩ داڌ.	showed the vacancy.	made her sit down on the bed.
