چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	what a great gymnast he is!
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he's been listening to her all the time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I just want to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I thought you said it would work.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but he was too late.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all hope.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	the soldiers were either dead or crushed.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	he had left behind him a very short life expectancy of about thirty minutes.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I knew, suddenly and confusedly, that I was in my final year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we are what we used to be
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I soon found that the key was small.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	you must go away and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one was ashamed of themselves as you.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that the captain should not weep
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he will have time to investigate.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	as if the day were now long past yesterday.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	he was a hardworking, hardworking man.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I dragged you through.
مجالشه که دی بکشی کنار	it's time for you to step aside.	it's time for you to step aside.
ز ته سیم امکانس نی	as I could not possibly have done	it won't be possible without the wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	the glory that would have killed him.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he had forgotten how to take his salt from the well
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the cry of the steward, the cry of my friend
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	dressed as a ceremonial figure.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	when he came in, the door being locked behind him.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I wondered if she was lying on the field.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I do know that the sins of this calamity are not to be forgotten.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	you've suddenly turned your life around
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	the wood had turned white
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	that's what we do best.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that he had cursed this whale
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	she had decided not to go.
ز حالس ناراضی نبی	her mind had no distaste for her own set	not dissatisfied with his condition.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	he forgot everything.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	the whole earth and time had become one and the same.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the prince left him alone.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	with thirty laps to go, they suddenly trembled.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	three or nine minutes into the next lesson.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I've got a preacher and I'm running late for it anyway.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still about six feet away.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	the whole three minutes was spent in drawing and pouring water.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I wondered what grief would bring the end of it.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	climbed the stairs leading up to the entrance door.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	although he had not slept well during the last thirty or eleven years of his life
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	assisted by a lawyer to arrange for his grandfather's business to go on.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	the last three years have not been as short lived as they had to live.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	from the village where he had been staying
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I sat down, curiously, behind him, and took the place of my master.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	he reclined and laid his head on the pillow.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I wasn't supposed to see her again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was compelled to say yes or no.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	I've been meaning to tell you all about it ever since.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it any more.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I warned you there was more talk than that.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	I've had enough of him and his two children.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	he did what he had the impudence to do, to take his place at the very top of the table.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	he remembered his footsteps.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	forcing the horse to move and hurrying away.
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I, too, made a mistake in my little finger.
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	they hadn't had the faintest idea what it would be.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	she took advantage of him to ask him to sit down at the door.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	you asked her to give me a lift.
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	if you'll excuse me and give me a lift.
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	more dangerous than a bullet or a hammer.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	whoever takes a fancy to be a fan
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	or the grandfather of thirty would have given him an hour or more.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I'm sure it didn't make any difference.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	in spite of their efforts to keep up with the latest trends in fashionable clothing and accessories
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I've been telling you all my life about pain and suffering.
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	this is the face of a man who will not be remembered alive, and who will die before he is born.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	he groaned lest anyone should hear of him.
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I really don't want to wait till I see what happens next.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't ask you to be me.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	because he was only eight years old.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	they were both fearless, as if they had only feared one at a time.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	there was nothing but his own room.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I came unexpectedly to the table.
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	even to the point of not being among the living.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	he's not going to die.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	you're the one who came in first.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I told you I wasn't.
إگوی یه‌ پرزؽ ز کلؽچ مؽنجایی مو بلوندتر هڌه.	seemed to be somewhat longer than my middle finger.	as though a part of me were bigger than a keyhole.
سی که اومؽڌواره که بشخیڌه وابۊ	because he hopes to be forgiven	in hopes he might have been able to escape.
مو سرومه سی نشونه باور نکرڌن جومنؽڌوم.	I shook my head in disbelief.	I have a great sympathy for disbelief.
مو هنی هم تی خوم إگوم که او شۉ غلوه بڌعبۊس بیڌی و هرگش نتروم بشخومت.	I still think you were hateful that night and I never expect to forgive you.	I'll say it again, if you're as big a fan of that as ever you're going to be, if you don't mind.
هو، مؽن حل کرڌن جڌول کلیمه‌یل قلی‌پلی منده بی.	he missed doing the crossword.	yes, it remained to resolve the mythical mystery of the sea.
هونوݩ، هو نه همؽچو إکونن ڤه هاک.	they'll bury him right there.	yet, he is not altogether out of harm's way.
ولؽ شَکَر ز ویر هو رئڌ بی.	but he had forgotten the sugar.	but the sugar had gone out of his mind.
مؽن فرگ چیؽ گپ دیه‌یؽ غرق وابی بی.	was deep in thoughts of something else	drowned in the confusion of some sort.
کوله نه ناڌ ڤه سر و نشَئس.	put on the hat and sat down.	he flung it over his head and sat down.
هو‌ تنڳ اوکسیجن وی	he needed oxygen	it's the Oxygen Strip.
هو هم نه وه خرج کردݩ چونوݩ که دلس اخاس	not by spending as he pleases	he spent it because he loved her.
پار که کولَئ نه نها وه سر	when he'd placed the hat on his head a year before	as if it were only a matter of time before he fell into a profound sleep.
گاشڌ نها رَئڌن هو بسونس.	may even be about to marry her before he leaves here?	he might have been able to keep up with it.
دؽ وا کس نؽ‌بو که نها هو نه بگرن	nobody seems to be able to stop her	there was no one left to hold him.
پای معنی یه دنڳؽ مؽن گپتاکلسه	that the whole meaning of a song lies in the words	the foot means a pig in a capuchill.
مؽن پای عورمم هرگش اؽقه دلخوش نویمه	I've never been so happy in all my life	I'll never be so happy in my old age.
خوت تِینا واسوݩ جر مکار	don't you go fighting them alone.	you're such a jackass!
بائینا تراشسه و قشنڳس لوئڌ و پَتی وین	her beautifully moulded arms bare	behold, she was shaved, and stood tall, and stooped.
ٱر درو داڌه بۊی، وه بازستن نشمینؽ اؽبرمت	if you are telling me a lie, I'll lead you a pretty dance.	if you're lying, you're not going to be hanged.
عاقوَتس تاریک وی	his end was night.	the result was gloomy.
نهنڳ وی قلڤس واسه	making her heart jump.	that's why he's wearing hats.
دؽ هرگش وه پیائؽ چی هو اعتماڌ نؽکونه	he would never trust a man like that again.	never trust a man any more.
که چی پای چیَل دِئری وا قاغز پۊشس وی	which was, like all the rest, covered with papers.	which was wrapped in sheets of parchment
مَنوم یکؽ هنه ایا	I think I hear some one coming.	I think there is one.
تِی خوسوݩ گوڌن کوڤؽریه	they took it as a joke.	you'll say it's a slap in the face.
پنج سال پیرتر ز هونم که وه خو درو بڌم و نومسه بنم شرف	I'm five years too old to lie to myself and call it honor.	I'm five years older than he is, and I didn't take credit for it.
پیلؽ نهنڳ دِڤؽست هزار تمݩ مَرج کردم	I must be holding two hundred thousand dollars in bets.	I have scarcely twenty thousand miles to go.
مَجمه ٱفزارا کۉش دۊزی و کار کَلس چی همؽشه وی	his tray of shoemaking tools, and his old unfinished work, were all as usual.	it was all about theft, theft, theft, theft.
مو تَریڌه نؽسم ٱما تَریڌه‌مه اؽکوشم	I am not a thief, but I'll murder my thief.	I'm not afraid, I'm afraid you'll kill me.
وا دَنڳ آرمؽ بونڳس کرد	he addressed to him in a gentle voice	he shouted with a deep sigh.
حتما جائؽ ز کاروم باگ داره	I must have done something wrong.	I'm sure there is something wrong with me.
چونوݩ ز شۉق گرؽڤست.	shedding such tears of heartfelt joy	for he was full of enthusiasm.
اۊسه گاشڌ جذابیتس بؽشدر بۊ	then the attraction may be the greater.	she might be attracted to him.
هیچ باگ نڌاره	without any mistakes in it!	it has no garden.
ز ٱول منستوم ئی آڌوم کوتال سیه رۊله راسیه که وه شؽواتؽ چی‌یک زفت وی بی	at first I al most thought that this black manikin was a real baby preserved in some similar manner.	I thought it a pretty good rule of thumb to be married to a married couple.
ایچو آشپزخووه هڌ	this is the kitchen	There s the kitchen.
دی توء نڌاروم.	I've had enough of it	I don't want you anymore.
بؽل وو کلندنه اوچو بوردن بی.	they took the spade and the pick there.	before they could get hold of him.
آهؽ کشیم وو کیلیتنه به هو داڌوم.	I sighed and gave her the key.	I took the key and handed it to her.
به سمت تخت رهڌ	advancing to the bed's head	went to bed.
نتروم قوۊل کونوم	I can't possibly keep them.	I can't go deep.
نرسیڌه فوروهڌه ابۊن.	I can sell them fast as I get them.	he could not possibly escape.
یهوی هار وابیڌه	maddened by a sudden attack of rabies	someone was gone.
ولی بازم خۊوه تو دخالت نکۊنی.	but, however, you had better not interfere.	but do not meddle with it.
یه خاهش که نؽبۊ گۊیس	a wordless plea	a cry she had never heard before.
دو دست نه ناڌ ری سینه	crossing her hands upon her bosom	touching his chest with both hands.
تکۉ هم نخۊرین.	do not move!	don't move.
آخه هو بوتؽ نڌاره.	because he hadn't any aunt.	he doesn't have a boat.
یه چی وه او گرت سر ایما نشست و سی هم یو چند بار وشخستیم	some part whereof flying up to our faces set us both a sneezing for several times together.	something took hold of him, and we slept thirty or more times.
شۊک وا دنگ شۊمش جواو دا	an owl answered with his sepulchral note.	she answered, leaning on her husband's back.
وا حالی گرهڌه وارد وابیڌ وا کۉتی شه و کر که تینیلس تا زؽر ریش پر و بۊرس بسته وابیڌه بی	had entered solemnly, in a black creased coat buttoned up under his spreading brown beard.	clutching at his waist, he dropped into a blank drawer, which he had fastened tightly and firmly under his chin.
چه ذلؽلی فئم نکردنیی هڌه.	what incomprehensible misfortune	what a pity it is to be unintelligible!
نها هو نه وا یه دست و دیندا وا هر دو دستس گرهڌ	he took it first in one, them in both his own.	only he did not touch her with one hand, neither did he touch her with both.
گشتتۊݩ وا ترین مؽنسه بڤینین	make sure yeh can see' now	see you all at the top of his head.
چۊی تا ایسو صحۉ چی نوابیڌه بی که ارزشت غمه داشته بۊ	for until now she had never owned anything worth grieving for.	as if he had never seen anything of the kind to grieve him.
نؽتره سر ٱندؽ که دو سه رۊ نهاتر وا یک نهاڌه بین بیا	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	it is impossible for two or three days to fall apart at the same time.
وا داس منه کلؽسا بؽ و منه یه دم ناخوش وابؽ و‌ سؽ هو که آوستن بؽ نترست واسته.	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	I had a church in my hands, and I was sick for a while, and I wasn't afraid to go out.
ئیچنو کارؽ ئی وخت شۉ وا ئیقر سِرسونگی و آلی که دۉرمۊنن	besides this kind of thing's too awful, here this time of night with witches and ghosts	but to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night it will be to night.
ٱر راست بۊ مو یقؽن داروم که اؽ هارپۊنیر لؽوه لؽوه هڌه.	which if true I take to be good evidence that this harpooneer is stark mad	I'm sure he's a very good harpooneer, if he's right.
ولؽ مؽن دلس، هرگش هو نه ول نکرڌ بی، إگوی که واقعا هو کورس بیڌه.	but in her heart she had never given him up, as though, indeed, he had been her son.	but in her heart, she hadn't let him go, as if he had really let her go.
یه تاقؽ بالا‌ سروم‌ راس کرڌ جۊر تاق‌ دم‌دری کلیسا.	making a vault above my head like the archway of a church.	one of the upper floors of the cathedral was placed in front of me, like the aperture of a church door.
او وحشی وا سیلایل نوفت سوئرس، پیرۊز وابی بی.	the brute with the red nostrils had won.	he was old, he was old, he was savage, and curious about the seals.
مو سی خاطر تقلڤ، ریسک کرڌوم.	I risked the fraud	I risked my fortune.
گشت تولگل گونجل نه خراڤ إکونه.	would bring the whole hornet's nest about our ears	it will all come together as an illusion.
هو دوڤارته یه کاملیا إسپؽڌ گرئڌ‌.	she received a white camellia again	he reverted to a complete dog.
کس دیه‌یؽ نه هم نڌاروم‌ که زس بخوم.	I don't know who else to ask.	I ain't got nobody left to cry about.
ایسو، هو قاغوز نه داڌ ڤس.	he now passed the paper over to her.	he threw it over the paper.
سی همیو، قطار اؽما فشناڌه وابی اؽچو.	so our train was sent here.	likewise, our train had come crushingly close.
تمیس هوش وندوم ڤه هو.	I examined her carefully.	I've been wakened by it.
مَر یو که هو، اۊ مۉضۊع نه پای بیَشنه.	unless he knows that subject well.	it is only natural that he should set foot in it.
ولؽ یو چه ٱئمیتؽ داشت؟	but what did that matter?	but what hope did he have?
ٱمرۊ سوئڤ، هو نه وا زؽنه جڤون دیه‌یی فشناڌوم.	I sent her out this morning with the other young woman	the next morning I pressed him against the other woman's throat.
ولؽ نه لازومه‌ که تِی خوت بگوی که مو راز‌‌گله‌یل مسقره تو نه مؽن دل خوم إلوم.	but you needn't imagine I shall keep your ridiculous secrets.	but I need not tell you that I have kept the secret of your sorrow in my heart.
یه غِتاس هنده‌یی داڌ.	bursting into a hearty laugh	gave him a hug.
مَر‌ یو که إخاس که ڤس توجه کونن.	unless he wanted to be noticed.	I am the one who has to be noticed.
هو مؽن هونس نابدیڌ وابیڌ.	he disappeared into his house	she hadn't seen him since.
هو نه مؽن قلڤوم زفتس کرڌوم.	I kept her in my heart	I took it out of my heart.
خاسن یکیدو جۊر هاشقون قڌیمی و عشق کوئنه.	loving each other like unhurried old sweethearts	as if they were the very essence of love.
هو درجا خو نه إکونه ڤه یه چیؽ که هر کوم ز اؽما زس زئله‌موݩ إره.	he will immediately become whatever each of us most fears.	he is not his own but something every one of us can relate to.
سی همیو، هو دۉربال‌ نه گشت.	so he searched around	thirty and a half, she turned away.
ز نۊ إڤورگرڌه مؽن لش جونداروݩ.	will go back into animals again.	he was surrounded by his companions.
خوته سی شرایط اٛضطراری ٱماڌه کوݩ	prepare yourself for every emergency.	you've come under a variety of pressures.
اوسو که هو هی تو نه إبره ڤه حال مرگ	when he is striking you dead?	now that he has brought you to his death
یو که سر زؽر یو نؽبرین که وا هونواڌه مو گَل بگرین.	that you decline allying yourself with my family	nor come under me to complain to my master.
ڤه شرطؽ که رفتار دوروئس و‌ تواضع رعایت وابۊ	provided that a proper humility of behaviour is at the same time maintained.	on condition that he behaved himself honestly and modestly.
دوروئسه که ٱر هو دئس آخور ڤه میل خوس عمل کرڌ بی.	it is true that if he had done as he liked at the last	as if he had acted with his own free will this evening.
ئی منج گاشڌ هونوݩ نه کۊر کرڌه بۊ.	this fog may have deadened them.	he might have been blind in some way or another.
اوسو یه‌ناگه ز جاس فورؽستاڌ	then he suddenly arose	then he suddenly recovered himself.
هومبار رئڌی مؽن گالری و قڌم زیڌی	you betook yourself slowly to pace the gallery.	I hope you find a way into the gallery and tell me.
یه رپشت و پوخارؽ ز زیڌن باروݩ ڤه وجۊڌ إویڌ.	such a steaming and droning rose from the downpour	a long, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy, hairy,
سی که وا ئی جریان نه وا خوت، وا رضایت حلس کونؽ.	for you must either satisfactorily settle this matter with yourself	resolving the matter to your satisfaction.
همیسو وا روم، ٱر نه هرگش نؽروم.	I must go now or I shall never go.	I'll keep going, I ain't seen him anywhere.
هونوݩ ز مۉسڤؽ که جاهلؽ بیڌن، هو نه نیڌن بی.	they hadn't seenm him since they was boys together	they were as stupid as if they hadn't had him.
موافقوم، اؽما تی ڤه ره بیڌیم‌ که هو نه تا ایسو جوسته بیڌیمه.	I agree we would have expected to have found her by now	I agree, we've been telling you he's a rat instead of a rat.
هو گوڌ و صڌاسه هم نَڤورڌ ڤه لم.	she said, and she did not trouble to lower her voice.	she said, not turning her head the wrong way.
مو ڤه دئوتی جۊر یه نماڌ الهی إنیَروم که وا خوموݩ نه واس سازگار کونؽم.	that I look on marriage as a divine institution to which we must conform.	I don't think of you as a divine figure to fit in with, not me.
وا یو که هزاروݩ نهَنڳ دیه ڤه کشتی هو ٱڤورڌه وابیڌن بی.	though a thousand other whales were brought to his ship	for thousands of pounds had been stolen from his ship.
مو تواضع نڌاشتوم.	I lacked humility.	I had no humility.
شرۊع کرڌ ڤه مهت داڌن مؽن تمرین کرڌن زندونی	began to assist in exercising the prisoner.	began to be worn in prison dressing rooms.
سۊئار غایوغ کوچیره وابیڌوم	I climbed into the dinghy.	I've had a short absence of sleep.
هو، خشمناک، غارنؽڌ.	he exclaimed, getting angry.	he was furious.
اوسو تریم ویرموݩ نه بڤنیم ڤه مساله‌یل دیه.	then we can turn our attention to other matters.	we'll have another chance to see if he's got anything to do with it.
که دو‌ کس نه ز یه بال و دو‌ تا دیه نه ز بال دیه، مؽن کر شرۉئیز کونه.	to hang two on one side and two on the other, within the door of the cave,	two on one side, and two on the other.
ولؽ اوندۉ گوڌی که سیم إنڤیسی	but then you said you would write me	but he said it was the wire.
زنۊکاری سفروم مؽن گَه‌کوݩ	repeating my voyage early in the morning	I'm a traveling nun.
که وا لذت ز سندس ڤورؽستاڌ.	who rose full of the enjoyment of his age.	who stood at the expense of his happiness.
هو پنه گرئڌ بی.	he had taken refuge.	he was on the point of confiscating her.
هو دیڌ که دڌۊس وا زهشت، مؽن لڤاس ساڌس نشئس بی و وا صڤیری تی ڤه ره بی.	saw his sister sitting patiently in her prim nightgown	she saw her sister sitting on her lap in simple robes in front of you.
ڤه برچ تو نؽرسوم.	I shall not reach your light	I didn't scold you.
سی که هونوݩ سی پیایل و ٱسپل ٱۉئؽ نڌاشتن	for they had no water for men or horses.	because there were not enough men and horses left.
ولؽ هو چیؽ نگوئڌ که ڤه کسؽ ٱجازه بڌه که نیتسه ره بۊؤره.	but he did not say anything that allowed anyone to guess his intentions.	but she did not say anything that would permit her to dismiss him.
إترستوم‌ بڤینوم‌ که هر دقه چندؽ گپ اؽبۊی.	I could watch you getting taller by the minute.	I was afraid to see how much she talked every minute.
هو من جیڤس ڤه دین سکه‌یلؽ که إخاسن گشت.	he dug into his pocket for the required coins	he gave me the money to pay for it.
آینکی‌یل نه و نۊئه‌دار ساحل داڌوم وا پوشت.	I gave the glasses back to the coastguard.	I shoved a pair of oak trees back towards the beach.
فرموندار هو نه مطمئن کرڌ که او پیا هنی کلۊ هڌه.	the governor assured him that the man was still mad	the landlord assured him that he was still alive.
هونه‌یلسوݩ نه سوئڌن و زنڳلسوݩ نه فوروئڌن.	burned their homes, and sold their women.	they have neither shoes nor shoes to wear.
هو زؽر لۉ سی بی ربیه بیڌنس سیر نورفی ڤس که.	he muttered various curses on her awkwardness	he was under thirty unfortunate victims of his crime.
سی سر هو مڤلغ پنج هزار پزو ناڌن.	put a price of five thousand pesos on his head.	you've got five grand left over.
یه‌کولی ز جونل ز ناعلاجی قورڤونی اؽبۊن.	many lives must inevitably be sacrificed.	a colic in the joints of the victim's sickle.
وا اومؽڌ دیربین نه بورڌ بالا.	raising the camera hopefully.	went up stairs in hopes of finding a better shelter.
که تموم اومؽڌلسوݩ براڤورڌه نوابیڌه بی.	that not all of their hopes had been fulfilled	that all hope was gone out of him.
اوسو کتاڤ نه ٱڤورڌ ڤه در	then pulled the volume out.	pushed the book away.
سی همیو، هو نه ڤه رڤشتل دیه گوڌوم.	so I said it in other ways.	I told him all about it.
ولؽ تی خوم گوڌوم که لازومه که ملیتومه واپۊشنوم	but I thought it necessary to disguise my country	but I told you I must return my nationality.
کوروف نه نشوݩ داڌ.	showed the vacancy.	he couldn't.
