چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	What kind of a gymnast does that?
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He's been listening to the news all this time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I have to see this lady alone.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	In your opinion, I'm going to use it.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But he was out of his league.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all hope.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	The sad news is that they are either dead or maimed.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	It's as if he's given up on this little girl as soon as possible.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	Suddenly, with all my heart, I knew I was in my final year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still as good as we've ever been.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I immediately realized that this key was missing.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	Take care of yourself and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one in your family was involved.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or the one who shook his head.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He'll be there for you until the end.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	It's like Valentine's Day wasn't any more than yesterday.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	It was a hard, hard-working shower.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I kept you here.
مجالشه که دی بکشی کنار	it's time for you to step aside.	It's time for you to quit.
ز ته سیم امکانس نی	as I could not possibly have done	There's no way under the wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	The glory that caused his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	When he disappeared, he picked up a cigarette.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	And the sound of the trumpet that proclaimed my servant and my friend.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	It's like an official seal.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	It's like entering a room that's been locked from the inside.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I wondered why he was on the hook.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	But I think all the blame rests with him.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly, you're out of shape.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	The color of the old wooden carcass was completely disfigured.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	That's for sure to us.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	That the whale's exaggerated.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because he hadn't seen him since he was a kid, he decided to leave.
ز حالس ناراضی نبی	her mind had no distaste for her own set	He wasn't happy about it.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	He forgot everything.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	It's like the wind is blowing the whole earth and time together.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But the prince left her alone.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	Suddenly, thirty volumes of it came out.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	We're supposed to be in class in the next nine minutes.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'm a preacher, and I'm late for anything.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still six feet away.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	He's been sober for the last three minutes.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought the grief was the end of it.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	He went up the stairs to the entrance to the hallway.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	Even though he didn't have a good night's sleep.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	The assistant attorney general has been called to investigate the details of the case.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	The last moment wasn't as exciting as it needed to be.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	From the place where he was buried.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I sat curiously in the back of the room, wondering where I was.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	He leaned on his knees and leaned on his knees.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I never should have seen him again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to tell him who he was or wasn't.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	It's always nice to be back in time.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it anymore.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I warned you there was more to it than that.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	He used me as a substitute for his wife and kids.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	He did what he had been afraid of doing to take his place at the proud table.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	He remembered his footsteps.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	He moved his horse, and he leaned his arm against his shoulder.
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I also kissed the tip of my sleeve.
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	He didn't even put his wooden handle on it.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	He used it to ask for a chair and come out.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	You asked yourself to do a little shopping for me.
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	If you'll excuse me and give me a little room,
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	It's more dangerous than a bullet or a stick.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	He who seizes a trumpet is bound.
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	Either you're old enough to sleep for an hour or you're old enough to sleep for an hour or more.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I'm sure there was no accident.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	He's wearing a full-bodied leather jacket and a full-bodied leather jacket.
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I'll live to tell you the truth every day.
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	It's the hand of a man who has no life left in him, and he will die later than he has conceived.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	He leaned forward so that no one would eat him.
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I really don't want to sit here and watch you cry.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't ask you to be mine.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	Because he was only eight.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	They were both inseparable from each other, and their insecurities were only a threat to one another at a time.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	There was nothing left of the old mansion.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I didn't wait for him to come to the table.
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	To the extent that it's not in the living room.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	He's not going home.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	You're the first person I've ever met.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I told you I didn't own it.
إگوی یه‌ پرزؽ ز کلؽچ مؽنجایی مو بلوندتر هڌه.	seemed to be somewhat longer than my middle finger.	It's like a piece of land that's bigger than my kitchen key.
سی که اومؽڌواره که بشخیڌه وابۊ	because he hopes to be forgiven	That's the hope he's had.
مو سرومه سی نشونه باور نکرڌن جومنؽڌوم.	I shook my head in disbelief.	I have to admit, I'm not a scientist.
مو هنی هم تی خوم إگوم که او شۉ غلوه بڌعبۊس بیڌی و هرگش نتروم بشخومت.	I still think you were hateful that night and I never expect to forgive you.	I'm telling you, too, that you had a great night's sleep, and you didn't let me sleep at all.
هو، مؽن حل کرڌن جڌول کلیمه‌یل قلی‌پلی منده بی.	he missed doing the crossword.	Yes, there's still a lot left to figure out.
هونوݩ، هو نه همؽچو إکونن ڤه هاک.	they'll bury him right there.	That's right, he's not the same as a hack.
ولؽ شَکَر ز ویر هو رئڌ بی.	but he had forgotten the sugar.	But he remembered his gratitude.
مؽن فرگ چیؽ گپ دیه‌یؽ غرق وابی بی.	was deep in thoughts of something else	He was drowned in the thought of something else.
کوله نه ناڌ ڤه سر و نشَئس.	put on the hat and sat down.	He put the hat on his head and sat down.
هو‌ تنڳ اوکسیجن وی	he needed oxygen	It's the intensity of oxygen.
هو هم نه وه خرج کردݩ چونوݩ که دلس اخاس	not by spending as he pleases	He spent it on what he loved.
پار که کولَئ نه نها وه سر	when he'd placed the hat on his head a year before	When he put the hat on her head.
گاشڌ نها رَئڌن هو بسونس.	may even be about to marry her before he leaves here?	Maybe it's enough to get him out of the way.
دؽ وا کس نؽ‌بو که نها هو نه بگرن	nobody seems to be able to stop her	There was no one else to stop him.
پای معنی یه دنڳؽ مؽن گپتاکلسه	that the whole meaning of a song lies in the words	The foot of a wolf in sheep's clothing.
مؽن پای عورمم هرگش اؽقه دلخوش نویمه	I've never been so happy in all my life	I've never been happier in my life.
خوت تِینا واسوݩ جر مکار	don't you go fighting them alone.	You're the only one who's crazy.
بائینا تراشسه و قشنڳس لوئڌ و پَتی وین	her beautifully moulded arms bare	But she was shaved and beautiful and had a lot of fat.
ٱر درو داڌه بۊی، وه بازستن نشمینؽ اؽبرمت	if you are telling me a lie, I'll lead you a pretty dance.	If you're lying, it won't hurt you.
عاقوَتس تاریک وی	his end was night.	The result was a complete darkness.
نهنڳ وی قلڤس واسه	making her heart jump.	It's like he's wearing a hat.
دؽ هرگش وه پیائؽ چی هو اعتماڌ نؽکونه	he would never trust a man like that again.	He'll never trust a man like him again.
که چی پای چیَل دِئری وا قاغز پۊشس وی	which was, like all the rest, covered with papers.	what was the matter with him that was wrapped in a sheet of paper
مَنوم یکؽ هنه ایا	I think I hear some one coming.	I think there's one.
تِی خوسوݩ گوڌن کوڤؽریه	they took it as a joke.	You're going to say goodbye.
پنج سال پیرتر ز هونم که وه خو درو بڌم و نومسه بنم شرف	I'm five years too old to lie to myself and call it honor.	I'm five years older than him, and I didn't tell him the truth.
پیلؽ نهنڳ دِڤؽست هزار تمݩ مَرج کردم	I must be holding two hundred thousand dollars in bets.	I paid almost twenty thousand francs.
مَجمه ٱفزارا کۉش دۊزی و کار کَلس چی همؽشه وی	his tray of shoemaking tools, and his old unfinished work, were all as usual.	It's all about the details of the robbery and the class action.
مو تَریڌه نؽسم ٱما تَریڌه‌مه اؽکوشم	I am not a thief, but I'll murder my thief.	I don't love you. I'm going to kill you.
وا دَنڳ آرمؽ بونڳس کرد	he addressed to him in a gentle voice	He shouted in the sound of his arm.
حتما جائؽ ز کاروم باگ داره	I must have done something wrong.	I'm sure there's something wrong with me.
چونوݩ ز شۉق گرؽڤست.	shedding such tears of heartfelt joy	Because it was all about enthusiasm.
اۊسه گاشڌ جذابیتس بؽشدر بۊ	then the attraction may be the greater.	That's probably what attracted him.
هیچ باگ نڌاره	without any mistakes in it!	There are no bugs.
ز ٱول منستوم ئی آڌوم کوتال سیه رۊله راسیه که وه شؽواتؽ چی‌یک زفت وی بی	at first I al most thought that this black manikin was a real baby preserved in some similar manner.	From the beginning, I thought this deadly black man was his sister-in-law.
ایچو آشپزخووه هڌ	this is the kitchen	It's the kitchen.
دی توء نڌاروم.	I've had enough of it	I don't have you anymore.
بؽل وو کلندنه اوچو بوردن بی.	they took the spade and the pick there.	It was like he was carrying Clyde.
آهؽ کشیم وو کیلیتنه به هو داڌوم.	I sighed and gave her the key.	I took the key and handed it to him.
به سمت تخت رهڌ	advancing to the bed's head	He went to bed.
نتروم قوۊل کونوم	I can't possibly keep them.	I can't take it anymore.
نرسیڌه فوروهڌه ابۊن.	I can sell them fast as I get them.	He didn't get out of the water.
یهوی هار وابیڌه	maddened by a sudden attack of rabies	Someone's been there.
ولی بازم خۊوه تو دخالت نکۊنی.	but, however, you had better not interfere.	But you don't want to interfere.
یه خاهش که نؽبۊ گۊیس	a wordless plea	A request he hadn't heard.
دو دست نه ناڌ ری سینه	crossing her hands upon her bosom	He put his hands on his chest.
تکۉ هم نخۊرین.	do not move!	Don't move.
آخه هو بوتؽ نڌاره.	because he hadn't any aunt.	Because he doesn't have a boat.
یه چی وه او گرت سر ایما نشست و سی هم یو چند بار وشخستیم	some part whereof flying up to our faces set us both a sneezing for several times together.	something seized him, and we slept thirty and a half times.
شۊک وا دنگ شۊمش جواو دا	an owl answered with his sepulchral note.	The woman answered her husband's question.
وا حالی گرهڌه وارد وابیڌ وا کۉتی شه و کر که تینیلس تا زؽر ریش پر و بۊرس بسته وابیڌه بی	had entered solemnly, in a black creased coat buttoned up under his spreading brown beard.	He walked into the room with his coat, which was covered with hair from the bottom of his beard to the top of his head.
چه ذلؽلی فئم نکردنیی هڌه.	what incomprehensible misfortune	What an incomprehensible plight!
نها هو نه وا یه دست و دیندا وا هر دو دستس گرهڌ	he took it first in one, them in both his own.	Instead, he held her in one hand and then in both.
گشتتۊݩ وا ترین مؽنسه بڤینین	make sure yeh can see' now	See you all at the bottom of the sea.
چۊی تا ایسو صحۉ چی نوابیڌه بی که ارزشت غمه داشته بۊ	for until now she had never owned anything worth grieving for.	It was as if there was nothing left to grieve him.
نؽتره سر ٱندؽ که دو سه رۊ نهاتر وا یک نهاڌه بین بیا	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	It's better to spend the next two or three days together.
وا داس منه کلؽسا بؽ و منه یه دم ناخوش وابؽ و‌ سؽ هو که آوستن بؽ نترست واسته.	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	He held the church in his hand, and he was sick for a while, and he couldn't bear to leave.
ئیچنو کارؽ ئی وخت شۉ وا ئیقر سِرسونگی و آلی که دۉرمۊنن	besides this kind of thing's too awful, here this time of night with witches and ghosts	But at this hour of the night, it's so much fun and exciting.
ٱر راست بۊ مو یقؽن داروم که اؽ هارپۊنیر لؽوه لؽوه هڌه.	which if true I take to be good evidence that this harpooneer is stark mad	If it's true, I'm sure this harpooneer is wrong.
ولؽ مؽن دلس، هرگش هو نه ول نکرڌ بی، إگوی که واقعا هو کورس بیڌه.	but in her heart she had never given him up, as though, indeed, he had been her son.	But in her heart, when she didn't leave him, she said she was really tired.
یه تاقؽ بالا‌ سروم‌ راس کرڌ جۊر تاق‌ دم‌دری کلیسا.	making a vault above my head like the archway of a church.	One of the upper floors raised me up like the top of the church door.
او وحشی وا سیلایل نوفت سوئرس، پیرۊز وابی بی.	the brute with the red nostrils had won.	The old man was amazed at the newly formed seal.
مو سی خاطر تقلڤ، ریسک کرڌوم.	I risked the fraud	I risked my life for you.
گشت تولگل گونجل نه خراڤ إکونه.	would bring the whole hornet's nest about our ears	It'll make all the ugly stuff ugly.
هو دوڤارته یه کاملیا إسپؽڌ گرئڌ‌.	she received a white camellia again	He's dressed in full mourning again.
کس دیه‌یؽ نه هم نڌاروم‌ که زس بخوم.	I don't know who else to ask.	I don't have anyone else to talk to.
ایسو، هو قاغوز نه داڌ ڤس.	he now passed the paper over to her.	So he handed the paper to him.
سی همیو، قطار اؽما فشناڌه وابی اؽچو.	so our train was sent here.	That's why our train came under pressure.
تمیس هوش وندوم ڤه هو.	I examined her carefully.	I woke up to him.
مَر یو که هو، اۊ مۉضۊع نه پای بیَشنه.	unless he knows that subject well.	It's up to him to get over it.
ولؽ یو چه ٱئمیتؽ داشت؟	but what did that matter?	But what was his intention?
ٱمرۊ سوئڤ، هو نه وا زؽنه جڤون دیه‌یی فشناڌوم.	I sent her out this morning with the other young woman	This morning, I pressed him against another woman's throat.
ولؽ نه لازومه‌ که تِی خوت بگوی که مو راز‌‌گله‌یل مسقره تو نه مؽن دل خوم إلوم.	but you needn't imagine I shall keep your ridiculous secrets.	But I don't need you to tell me the secret to your smile.
یه غِتاس هنده‌یی داڌ.	bursting into a hearty laugh	Then he threw down a huge hedge.
مَر‌ یو که إخاس که ڤس توجه کونن.	unless he wanted to be noticed.	I'm the one who needs your attention.
هو مؽن هونس نابدیڌ وابیڌ.	he disappeared into his house	He wasn't in the mood.
هو نه مؽن قلڤوم زفتس کرڌوم.	I kept her in my heart	I put it in my pocket.
خاسن یکیدو جۊر هاشقون قڌیمی و عشق کوئنه.	loving each other like unhurried old sweethearts	It's like a love triangle between an old friend and a new lover.
هو درجا خو نه إکونه ڤه یه چیؽ که هر کوم ز اؽما زس زئله‌موݩ إره.	he will immediately become whatever each of us most fears.	He'll put his place in something that belongs to each of us.
سی همیو، هو دۉربال‌ نه گشت.	so he searched around	Thirty or none of them turned around.
ز نۊ إڤورگرڌه مؽن لش جونداروݩ.	will go back into animals again.	He was surrounded by his companions.
خوته سی شرایط اٛضطراری ٱماڌه کوݩ	prepare yourself for every emergency.	You're under a lot of pressure.
اوسو که هو هی تو نه إبره ڤه حال مرگ	when he is striking you dead?	When he left you, he was dead.
یو که سر زؽر یو نؽبرین که وا هونواڌه مو گَل بگرین.	that you decline allying yourself with my family	You're not the only one who's willing to give up on me.
ڤه شرطؽ که رفتار دوروئس و‌ تواضع رعایت وابۊ	provided that a proper humility of behaviour is at the same time maintained.	Provided that his conduct is correct and humble.
دوروئسه که ٱر هو دئس آخور ڤه میل خوس عمل کرڌ بی.	it is true that if he had done as he liked at the last	It's like if he acted on his will last night.
ئی منج گاشڌ هونوݩ نه کۊر کرڌه بۊ.	this fog may have deadened them.	It might have blinded you.
اوسو یه‌ناگه ز جاس فورؽستاڌ	then he suddenly arose	Suddenly, he was out of his mind.
هومبار رئڌی مؽن گالری و قڌم زیڌی	you betook yourself slowly to pace the gallery.	You're going to the gallery and you're going to the bathroom.
یه رپشت و پوخارؽ ز زیڌن باروݩ ڤه وجۊڌ إویڌ.	such a steaming and droning rose from the downpour	He's got a fever and a fever and he's out of consciousness.
سی که وا ئی جریان نه وا خوت، وا رضایت حلس کونؽ.	for you must either satisfactorily settle this matter with yourself	resolving the matter to your own accord.
همیسو وا روم، ٱر نه هرگش نؽروم.	I must go now or I shall never go.	I'm always going to go, but I don't see him anywhere.
هونوݩ ز مۉسڤؽ که جاهلؽ بیڌن، هو نه نیڌن بی.	they hadn't seenm him since they was boys together	They didn't have him because they were ignorant.
موافقوم، اؽما تی ڤه ره بیڌیم‌ که هو نه تا ایسو جوسته بیڌیمه.	I agree we would have expected to have found her by now	I agree, we told you we had him up to nine.
هو گوڌ و صڌاسه هم نَڤورڌ ڤه لم.	she said, and she did not trouble to lower her voice.	He said he didn't even get up in the sand.
مو ڤه دئوتی جۊر یه نماڌ الهی إنیَروم که وا خوموݩ نه واس سازگار کونؽم.	that I look on marriage as a divine institution to which we must conform.	I don't look at daughters like a divine figure to fit in with us.
وا یو که هزاروݩ نهَنڳ دیه ڤه کشتی هو ٱڤورڌه وابیڌن بی.	though a thousand other whales were brought to his ship	Thousands of secrets had already been conveyed to the ship.
مو تواضع نڌاشتوم.	I lacked humility.	I have no humility.
شرۊع کرڌ ڤه مهت داڌن مؽن تمرین کرڌن زندونی	began to assist in exercising the prisoner.	He started practicing medicine in prison.
سۊئار غایوغ کوچیره وابیڌوم	I climbed into the dinghy.	I've been riding a little errant.
هو، خشمناک، غارنؽڌ.	he exclaimed, getting angry.	He was furious.
اوسو تریم ویرموݩ نه بڤنیم ڤه مساله‌یل دیه.	then we can turn our attention to other matters.	I'd like to see you on the other side of this.
که دو‌ کس نه ز یه بال و دو‌ تا دیه نه ز بال دیه، مؽن کر شرۉئیز کونه.	to hang two on one side and two on the other, within the door of the cave,	Two men were seen from one wing and two were seen from the other.
ولؽ اوندۉ گوڌی که سیم إنڤیسی	but then you said you would write me	But he said it was a wire.
زنۊکاری سفروم مؽن گَه‌کوݩ	repeating my voyage early in the morning	I'm a traveling nun.
که وا لذت ز سندس ڤورؽستاڌ.	who rose full of the enjoyment of his age.	He was eager to enjoy his art.
هو پنه گرئڌ بی.	he had taken refuge.	He was confident.
هو دیڌ که دڌۊس وا زهشت، مؽن لڤاس ساڌس نشئس بی و وا صڤیری تی ڤه ره بی.	saw his sister sitting patiently in her prim nightgown	He saw his sister-in-law sitting in a simple dress and waiting for your picture.
ڤه برچ تو نؽرسوم.	I shall not reach your light	I'm not asking your opinion.
سی که هونوݩ سی پیایل و ٱسپل ٱۉئؽ نڌاشتن	for they had no water for men or horses.	Because they didn't have any horses or men.
ولؽ هو چیؽ نگوئڌ که ڤه کسؽ ٱجازه بڌه که نیتسه ره بۊؤره.	but he did not say anything that allowed anyone to guess his intentions.	But he didn't say anything to let anyone take it.
إترستوم‌ بڤینوم‌ که هر دقه چندؽ گپ اؽبۊی.	I could watch you getting taller by the minute.	I wanted to see how busy he was every minute.
هو من جیڤس ڤه دین سکه‌یلؽ که إخاسن گشت.	he dug into his pocket for the required coins	He put me in front of the people who owned the coin.
آینکی‌یل نه و نۊئه‌دار ساحل داڌوم وا پوشت.	I gave the glasses back to the coastguard.	I've put a bunch of wind and a bunch of trees on the beach behind me.
فرموندار هو نه مطمئن کرڌ که او پیا هنی کلۊ هڌه.	the governor assured him that the man was still mad	His commander was not sure that the man was still alive.
هونه‌یلسوݩ نه سوئڌن و زنڳلسوݩ نه فوروئڌن.	burned their homes, and sold their women.	They're not sleeping anymore, and they're not taking their clothes off.
هو زؽر لۉ سی بی ربیه بیڌنس سیر نورفی ڤس که.	he muttered various curses on her awkwardness	He was sleeping under a slender, slender roof.
سی سر هو مڤلغ پنج هزار پزو ناڌن.	put a price of five thousand pesos on his head.	There's five thousand of them on his head.
یه‌کولی ز جونل ز ناعلاجی قورڤونی اؽبۊن.	many lives must inevitably be sacrificed.	A bunch of young people were victims of child abuse.
وا اومؽڌ دیربین نه بورڌ بالا.	raising the camera hopefully.	He climbed in the hope of finding it.
که تموم اومؽڌلسوݩ براڤورڌه نوابیڌه بی.	that not all of their hopes had been fulfilled	That was all he expected.
اوسو کتاڤ نه ٱڤورڌ ڤه در	then pulled the volume out.	He put the book in front of the door.
سی همیو، هو نه ڤه رڤشتل دیه گوڌوم.	so I said it in other ways.	I told him all about it.
ولؽ تی خوم گوڌوم که لازومه که ملیتومه واپۊشنوم	but I thought it necessary to disguise my country	But I told you I had to change my nationality.
کوروف نه نشوݩ داڌ.	showed the vacancy.	The boy pointed out.
نمایشت و رفتارؽ که ترسته بۊ تۉس نه تاحتی مؽن دل مخِرا بڤَنه.	a spectacle and demeanour to strike terror into temerity itself.	the manner in which he had feared to be found to be unfavorable to her.
یو کلیت حل ماما هڌه.	that's the solution of the mystery!	That's my grandmother's key.
بؽشتر ز هزار رۊبل ز پیللسوݩ ز دئسل هو گوڌشت بی.	more than one thousand rubles of their money had passed through his hands.	He had taken more than a thousand rubles from his pocket.
