source	reference	translation
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	I shall do well to thee and give thee a kiss.
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	A fox or a rock more dangerous than a dog.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	Everybody who's in a boat.
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	or because someone made him more or less an hour ago.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I'm pretty sure there's nothing wrong with that.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	in spite of this she earnestly conjured him to be at home.
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I was wiped out by the sun all my life.
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	This young man, who had left the room after a few hours in existence, died soon after he came back.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	he pretended not to understand.
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I've been looking for a way to make a passably good friend.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't expect you to be me.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	'Cause he was only there when he was eight years old.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	they were both wrong because they could not keep their children together.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	There was nothing left to knock him down again.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I, in no mood to go down the table.
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	as even then not to be wholly without prospect of a meeting.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	He's going to love me.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	You're the man who loves to eat.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I told you I wasn't there.
إگوی یه‌ پرزؽ ز کلؽچ مؽنجایی مو بلوندتر هڌه.	seemed to be somewhat longer than my middle finger.	as if one of the questions had been answered in my most interesting part
سی که اومؽڌواره که بشخیڌه وابۊ	because he hopes to be forgiven	in the hope that he would tarry yet awhile longer.
مو سرومه سی نشونه باور نکرڌن جومنؽڌوم.	I shook my head in disbelief.	I look up blearily.
مو هنی هم تی خوم إگوم که او شۉ غلوه بڌعبۊس بیڌی و هرگش نتروم بشخومت.	I still think you were hateful that night and I never expect to forgive you.	I'm telling you how we were gonna do that night and try to work up to it.
هو، مؽن حل کرڌن جڌول کلیمه‌یل قلی‌پلی منده بی.	he missed doing the crossword.	He, meanwhile, had solved a puzzle puzzle.
هونوݩ، هو نه همؽچو إکونن ڤه هاک.	they'll bury him right there.	He went on, and stopped short.
ولؽ شَکَر ز ویر هو رئڌ بی.	but he had forgotten the sugar.	But it was unusually rigid and loaded.
مؽن فرگ چیؽ گپ دیه‌یؽ غرق وابی بی.	was deep in thoughts of something else	it seemed to him that he was drowning.
کوله نه ناڌ ڤه سر و نشَئس.	put on the hat and sat down.	the boy remained in the same attitude of close observation so long
هو‌ تنڳ اوکسیجن وی	he needed oxygen	He pulled his oxycrat.
هو هم نه وه خرج کردݩ چونوݩ که دلس اخاس	not by spending as he pleases	He spent his money on his own because he wanted something to eat.
پار که کولَئ نه نها وه سر	when he'd placed the hat on his head a year before	the golden egg, still in the parlour, slipped from under his arm.
گاشڌ نها رَئڌن هو بسونس.	may even be about to marry her before he leaves here?	Maybe it was a fox.
دؽ وا کس نؽ‌بو که نها هو نه بگرن	nobody seems to be able to stop her	no one was to deny that he had held any such relationship with her.
پای معنی یه دنڳؽ مؽن گپتاکلسه	that the whole meaning of a song lies in the words	It's like he's giving away all your secrets.
مؽن پای عورمم هرگش اؽقه دلخوش نویمه	I've never been so happy in all my life	I'm not happy with any moment in my life.
خوت تِینا واسوݩ جر مکار	don't you go fighting them alone.	You're gonna have to worry about what happened.
بائینا تراشسه و قشنڳس لوئڌ و پَتی وین	her beautifully moulded arms bare	He approached the greenhouse where his father was sleeping and listened carefully.
ٱر درو داڌه بۊی، وه بازستن نشمینؽ اؽبرمت	if you are telling me a lie, I'll lead you a pretty dance.	If the dream state was lifted, it would be impossible for me to do
عاقوَتس تاریک وی	his end was night.	then his eyes fell dim.
نهنڳ وی قلڤس واسه	making her heart jump.	He drew out his black knife.
دؽ هرگش وه پیائؽ چی هو اعتماڌ نؽکونه	he would never trust a man like that again.	He doesn't trust a man anymore.
که چی پای چیَل دِئری وا قاغز پۊشس وی	which was, like all the rest, covered with papers.	That's what he wanted to do with his father's paper.
مَنوم یکؽ هنه ایا	I think I hear some one coming.	I think someone is gonna bother you.
تِی خوسوݩ گوڌن کوڤؽریه	they took it as a joke.	They're thinking about buying a sorrow that can't talk.
پنج سال پیرتر ز هونم که وه خو درو بڌم و نومسه بنم شرف	I'm five years too old to lie to myself and call it honor.	I'm five years old than I should have been when I first saw him and admired him.
پیلؽ نهنڳ دِڤؽست هزار تمݩ مَرج کردم	I must be holding two hundred thousand dollars in bets.	I stole in on tiptoe two thousand ducats
مَجمه ٱفزارا کۉش دۊزی و کار کَلس چی همؽشه وی	his tray of shoemaking tools, and his old unfinished work, were all as usual.	he had left the room and was taken care of
مو تَریڌه نؽسم ٱما تَریڌه‌مه اؽکوشم	I am not a thief, but I'll murder my thief.	I'm not afraid to try to work up to it.
وا دَنڳ آرمؽ بونڳس کرد	he addressed to him in a gentle voice	And he cried out as they spoke.
حتما جائؽ ز کاروم باگ داره	I must have done something wrong.	I'm sure he's got something to give you.
چونوݩ ز شۉق گرؽڤست.	shedding such tears of heartfelt joy	Because it was a bit boring.
اۊسه گاشڌ جذابیتس بؽشدر بۊ	then the attraction may be the greater.	He might have lost his attraction.
هیچ باگ نڌاره	without any mistakes in it!	He made no mistake.
ز ٱول منستوم ئی آڌوم کوتال سیه رۊله راسیه که وه شؽواتؽ چی‌یک زفت وی بی	at first I al most thought that this black manikin was a real baby preserved in some similar manner.	I stole in on the divan's head, and it was like a dream of a woman.
ایچو آشپزخووه هڌ	this is the kitchen	this is the kitchen
دی توء نڌاروم.	I've had enough of it	I don't see you again.
بؽل وو کلندنه اوچو بوردن بی.	they took the spade and the pick there.	see if any of you have begun to learn to spell.
آهؽ کشیم وو کیلیتنه به هو داڌوم.	I sighed and gave her the key.	I pulled the switch and gave it to him.
به سمت تخت رهڌ	advancing to the bed's head	He went to the bed.
نتروم قوۊل کونوم	I can't possibly keep them.	I can't help myself and I don't know.
نرسیڌه فوروهڌه ابۊن.	I can sell them fast as I get them.	he could no longer be in doubt about that.
یهوی هار وابیڌه	maddened by a sudden attack of rabies	Everybody knows that.
ولی بازم خۊوه تو دخالت نکۊنی.	but, however, you had better not interfere.	but I don't think you could stand it.
یه خاهش که نؽبۊ گۊیس	a wordless plea	a desire to not be wholly without prospect of a meeting.
دو دست نه ناڌ ری سینه	crossing her hands upon her bosom	He put his hand back to his breast.
تکۉ هم نخۊرین.	do not move!	you don't eat.
آخه هو بوتؽ نڌاره.	because he hadn't any aunt.	he did not say so.
یه چی وه او گرت سر ایما نشست و سی هم یو چند بار وشخستیم	some part whereof flying up to our faces set us both a sneezing for several times together.	we rolled over from each other, this way and that, and very soon were sleeping.
شۊک وا دنگ شۊمش جواو دا	an owl answered with his sepulchral note.	He quickly responded to his request.
وا حالی گرهڌه وارد وابیڌ وا کۉتی شه و کر که تینیلس تا زؽر ریش پر و بۊرس بسته وابیڌه بی	had entered solemnly, in a black creased coat buttoned up under his spreading brown beard.	He walked into the room and sat down and then he leaned over the table to see the big hat.
چه ذلؽلی فئم نکردنیی هڌه.	what incomprehensible misfortune	His humility was not understandable.
نها هو نه وا یه دست و دیندا وا هر دو دستس گرهڌ	he took it first in one, them in both his own.	he was holding hands and knees with them in arms.
گشتتۊݩ وا ترین مؽنسه بڤینین	make sure yeh can see' now	Everybody knows that.
چۊی تا ایسو صحۉ چی نوابیڌه بی که ارزشت غمه داشته بۊ	for until now she had never owned anything worth grieving for.	It was unusually rigid and loaded, and it was worth a mistake.
نؽتره سر ٱندؽ که دو سه رۊ نهاتر وا یک نهاڌه بین بیا	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	it fed the malevolence with which they regarded their neighbors.
وا داس منه کلؽسا بؽ و منه یه دم ناخوش وابؽ و‌ سؽ هو که آوستن بؽ نترست واسته.	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	his left cheek, shoulder and arm bruised, and a beadle's length
ئیچنو کارؽ ئی وخت شۉ وا ئیقر سِرسونگی و آلی که دۉرمۊنن	besides this kind of thing's too awful, here this time of night with witches and ghosts	This time it was a busy end.
ٱر راست بۊ مو یقؽن داروم که اؽ هارپۊنیر لؽوه لؽوه هڌه.	which if true I take to be good evidence that this harpooneer is stark mad	I'm sure the harpooneer was a lady.
ولؽ مؽن دلس، هرگش هو نه ول نکرڌ بی، إگوی که واقعا هو کورس بیڌه.	but in her heart she had never given him up, as though, indeed, he had been her son.	But there's also a kind of positive hatred of him.
یه تاقؽ بالا‌ سروم‌ راس کرڌ جۊر تاق‌ دم‌دری کلیسا.	making a vault above my head like the archway of a church.	raised a lip to look at the church.
او وحشی وا سیلایل نوفت سوئرس، پیرۊز وابی بی.	the brute with the red nostrils had won.	he was grew in the bosom of his jacket
مو سی خاطر تقلڤ، ریسک کرڌوم.	I risked the fraud	I took a risk to encounter this unexpected circumstance.
گشت تولگل گونجل نه خراڤ إکونه.	would bring the whole hornet's nest about our ears	It's all said and done about that.
هو دوڤارته یه کاملیا إسپؽڌ گرئڌ‌.	she received a white camellia again	he recalled a pleasant smile.
کس دیه‌یؽ نه هم نڌاروم‌ که زس بخوم.	I don't know who else to ask.	I ain't ever going to shake them any more.
ایسو، هو قاغوز نه داڌ ڤس.	he now passed the paper over to her.	Yes, he gave away his paper.
سی همیو، قطار اؽما فشناڌه وابی اؽچو.	so our train was sent here.	'Cause we have to keep our heads up.
تمیس هوش وندوم ڤه هو.	I examined her carefully.	I woke him up.
مَر یو که هو، اۊ مۉضۊع نه پای بیَشنه.	unless he knows that subject well.	He was suspended for a while after paying for the animal's support.
ولؽ یو چه ٱئمیتؽ داشت؟	but what did that matter?	But what effect did he have?
ٱمرۊ سوئڤ، هو نه وا زؽنه جڤون دیه‌یی فشناڌوم.	I sent her out this morning with the other young woman	I swallow, he pushed the young woman.
ولؽ نه لازومه‌ که تِی خوت بگوی که مو راز‌‌گله‌یل مسقره تو نه مؽن دل خوم إلوم.	but you needn't imagine I shall keep your ridiculous secrets.	but I need to tell you that I know your secrets.
یه غِتاس هنده‌یی داڌ.	bursting into a hearty laugh	he threw a boat into the water.
مَر‌ یو که إخاس که ڤس توجه کونن.	unless he wanted to be noticed.	I'm telling you people should pay attention.
هو مؽن هونس نابدیڌ وابیڌ.	he disappeared into his house	he had lost his sympathy
هو نه مؽن قلڤوم زفتس کرڌوم.	I kept her in my heart	I stole in on tiptoe.
خاسن یکیدو جۊر هاشقون قڌیمی و عشق کوئنه.	loving each other like unhurried old sweethearts	It will change your love into hatred.
هو درجا خو نه إکونه ڤه یه چیؽ که هر کوم ز اؽما زس زئله‌موݩ إره.	he will immediately become whatever each of us most fears.	where they might go be do from now on to now on.
سی همیو، هو دۉربال‌ نه گشت.	so he searched around	He's always been around.
ز نۊ إڤورگرڌه مؽن لش جونداروݩ.	will go back into animals again.	before going down she went into the room where the icons hung
خوته سی شرایط اٛضطراری ٱماڌه کوݩ	prepare yourself for every emergency.	as if the conditions were satisfactory
اوسو که هو هی تو نه إبره ڤه حال مرگ	when he is striking you dead?	When he's not with you, he's going to die.
یو که سر زؽر یو نؽبرین که وا هونواڌه مو گَل بگرین.	that you decline allying yourself with my family	that you may not come with me to doze over my face like a collar.
ڤه شرطؽ که رفتار دوروئس و‌ تواضع رعایت وابۊ	provided that a proper humility of behaviour is at the same time maintained.	if they were kept out of sight and gentle.
دوروئسه که ٱر هو دئس آخور ڤه میل خوس عمل کرڌ بی.	it is true that if he had done as he liked at the last	the ghost of his grandmother's love that belonged to him.
ئی منج گاشڌ هونوݩ نه کۊر کرڌه بۊ.	this fog may have deadened them.	This may seem trivial to the general public.
اوسو یه‌ناگه ز جاس فورؽستاڌ	then he suddenly arose	then, quite overpowered by a shock she suddenly fell asleep.
هومبار رئڌی مؽن گالری و قڌم زیڌی	you betook yourself slowly to pace the gallery.	You're gonna have to worry about what happened.
یه رپشت و پوخارؽ ز زیڌن باروݩ ڤه وجۊڌ إویڌ.	such a steaming and droning rose from the downpour	he was corrupted by his environment,' and so on.
سی که وا ئی جریان نه وا خوت، وا رضایت حلس کونؽ.	for you must either satisfactorily settle this matter with yourself	'Cause he's going to have to deal with this anyway.
همیسو وا روم، ٱر نه هرگش نؽروم.	I must go now or I shall never go.	I'm always going, if you had anything to say to him.
هونوݩ ز مۉسڤؽ که جاهلؽ بیڌن، هو نه نیڌن بی.	they hadn't seenm him since they was boys together	had neglected to enter the room
موافقوم، اؽما تی ڤه ره بیڌیم‌ که هو نه تا ایسو جوسته بیڌیمه.	I agree we would have expected to have found her by now	I agree, we thought you were all dated up.
هو گوڌ و صڌاسه هم نَڤورڌ ڤه لم.	she said, and she did not trouble to lower her voice.	he asked, and turned the conversation.
مو ڤه دئوتی جۊر یه نماڌ الهی إنیَروم که وا خوموݩ نه واس سازگار کونؽم.	that I look on marriage as a divine institution to which we must conform.	I can see that I'm going to have to adapt myself to suit him.
وا یو که هزاروݩ نهَنڳ دیه ڤه کشتی هو ٱڤورڌه وابیڌن بی.	though a thousand other whales were brought to his ship	that there were a thousand good quips and cranks on him deck.
مو تواضع نڌاشتوم.	I lacked humility.	I did not humble myself.
شرۊع کرڌ ڤه مهت داڌن مؽن تمرین کرڌن زندونی	began to assist in exercising the prisoner.	he was sent to rehearsal in the middle of the jail
سۊئار غایوغ کوچیره وابیڌوم	I climbed into the dinghy.	I had left it very carefully in my arms.
هو، خشمناک، غارنؽڌ.	he exclaimed, getting angry.	He, meanwhile, came back.
اوسو تریم ویرموݩ نه بڤنیم ڤه مساله‌یل دیه.	then we can turn our attention to other matters.	I'm afraid I won't see the point in troubling them.
که دو‌ کس نه ز یه بال و دو‌ تا دیه نه ز بال دیه، مؽن کر شرۉئیز کونه.	to hang two on one side and two on the other, within the door of the cave,	they got to the woodpile that was in front of my tree, and slipped in behind it, and so they had the bulge on the men again.
ولؽ اوندۉ گوڌی که سیم إنڤیسی	but then you said you would write me	but he had said to himself that it was an invisibility.
زنۊکاری سفروم مؽن گَه‌کوݩ	repeating my voyage early in the morning	I'm going to have to get out of this anyway!
که وا لذت ز سندس ڤورؽستاڌ.	who rose full of the enjoyment of his age.	which had been picked up with the pleasure of sitting on it.
هو پنه گرئڌ بی.	he had taken refuge.	he was crying.
هو دیڌ که دڌۊس وا زهشت، مؽن لڤاس ساڌس نشئس بی و وا صڤیری تی ڤه ره بی.	saw his sister sitting patiently in her prim nightgown	saw himself reflected in them as two tiny manikins of insignificant proportion.
ڤه برچ تو نؽرسوم.	I shall not reach your light	I don't trust you!
سی که هونوݩ سی پیایل و ٱسپل ٱۉئؽ نڌاشتن	for they had no water for men or horses.	'Cause they're not wearing _ a hat and a scarf.
ولؽ هو چیؽ نگوئڌ که ڤه کسؽ ٱجازه بڌه که نیتسه ره بۊؤره.	but he did not say anything that allowed anyone to guess his intentions.	But he didn't say that because he didn't want to.
إترستوم‌ بڤینوم‌ که هر دقه چندؽ گپ اؽبۊی.	I could watch you getting taller by the minute.	I was gonna go tom cattin''an' here I ain't had time to do.
هو من جیڤس ڤه دین سکه‌یلؽ که إخاسن گشت.	he dug into his pocket for the required coins	He gave me a twitch that I liked to eat.
آینکی‌یل نه و نۊئه‌دار ساحل داڌوم وا پوشت.	I gave the glasses back to the coastguard.	I walked into the shore with a half-view of the trees.
فرموندار هو نه مطمئن کرڌ که او پیا هنی کلۊ هڌه.	the governor assured him that the man was still mad	He confirmed that he was still alive.
هونه‌یلسوݩ نه سوئڌن و زنڳلسوݩ نه فوروئڌن.	burned their homes, and sold their women.	they raised their heads and knees, and spread the story behind them.
هو زؽر لۉ سی بی ربیه بیڌنس سیر نورفی ڤس که.	he muttered various curses on her awkwardness	he was thinking about the beaver
سی سر هو مڤلغ پنج هزار پزو ناڌن.	put a price of five thousand pesos on his head.	'Cause he had to spend five thousand on him.
یه‌کولی ز جونل ز ناعلاجی قورڤونی اؽبۊن.	many lives must inevitably be sacrificed.	some of the young men in the neighborhood were spared the humiliation.
وا اومؽڌ دیربین نه بورڌ بالا.	raising the camera hopefully.	hoping she would tarry yet awhile longer.
که تموم اومؽڌلسوݩ براڤورڌه نوابیڌه بی.	that not all of their hopes had been fulfilled	that all the hopes were staggered.
اوسو کتاڤ نه ٱڤورڌ ڤه در	then pulled the volume out.	Then he pushed the door and came in.
سی همیو، هو نه ڤه رڤشتل دیه گوڌوم.	so I said it in other ways.	I've been looking for this myself.
ولؽ تی خوم گوڌوم که لازومه که ملیتومه واپۊشنوم	but I thought it necessary to disguise my country	I told you that I needed to bring your nationality back.
کوروف نه نشوݩ داڌ.	showed the vacancy.	bending, kissed her cheek.
نمایشت و رفتارؽ که ترسته بۊ تۉس نه تاحتی مؽن دل مخِرا بڤَنه.	a spectacle and demeanour to strike terror into temerity itself.	his demeanour and conduct so well established in his heart.
یو کلیت حل ماما هڌه.	that's the solution of the mystery!	I'm going to get a solution.
