بنابراین کوشیدم برای جلب مجدد دوستی او آخرین سعی خود را به عمل آورم.	I was moved to make a last attempt to regain his friendship.
که ساختمان اصلی آن روزی یک خو کدانی سنگی بوده است	as though it had once been a large stone pigpen
این کاری دردناک و دشوار بود.	that was painful and difficult for him.
متأسفم از رختخواب کشی دمت بیرون.	I'm sorry I've dragged you out of bed.
که وقتش رسیده که تو کناره گیری کنی.	it's time for you to step aside.
از آنجا به شیروانی و ناودان برآمد.	thence upon the leads and gutters
آخر تا به آن روز صاحب چیزی نشده بود که ارزش غصه خوردن را داشته باشد.	for until now she had never owned anything worth grieving for.
به هیچ وجه برایم امکان نداشت	as I could not possibly have done
تردید ندارم که موجب مرگ فجیعش شد.	I have no doubt that it led to his tragic end.
نخواهد توانست بر سر قراری که مثلا دو سه روز پیش باهم گذاشته بودند حاضر شود.	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.
وقتی به خیال این که دزد آمده سیخ شومینه را برداشته	when he got the poker in case of burglars
گاه برای خلاص کردن جانوری از پا افتاده و گاه برای زدن گراز یا دینگو.	sometimes to put a suffering beast out of its misery, sometimes to fell a boar or a dingo.
به اسب کرند یعنی خدمتگار و هم قطار من فرمان داد	ordered the sorrel nag, my fellow servant
البته فقط یک سلام علیک رسمی	that they had never gone further than formal greetings
خواست داخل شود در را از داخل بسته دید.	but the bolts were in place.
سکوت دردآوری بر دادگاه چیره شده بود.	while a painful silence reigned in the court room.
من خوشحالم که او به موقع برگشته است.	I'm glad she got back in time.
این بار اعصابش زیاده از حد ضعیف شده بود.	his nerves were terribly overstrained by now.
با مادر خود به کلیسا میرود و به علت بارداری ناگهان احساس ناخوشی میکند و نمیتواند در آن جا بماند.	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,
ولی به گمانم گناه این بدبختی تماماً به گردن من است	but I take all the blame upon myself
او نم یه همچی کاری این وقت شب با این همه جادوگر و غول که دورو ورمونن.	besides this kind of thing's too awful, here this time of night with witches and ghosts
بلافاصله از او چشم برداشت	looked quickly away.
جنگل حالا از سیاه به رنگ خاکستری دراومده.	the forest was gray now instead of black.
تقریبا ساعت یک بعد از نیمه شب بود که کوزت یک قهقهه بلند خنده شنید.	at one o'clock in the morning, possibly, she heard a loud burst of laughter
این کار ما را به کاهلی و تن آسائی وامی دارد	which disposed us to sloth
که این وال را تا این حد مایه وحشت طبیعی ساخته بود	that so much invested the whale with natural terror
برای اجتناب از دیدار دخترک چوپان تصمیم گرفت جلای وطن کند	in order to escape from her, he determined to quit the country
هیچ از اوضاع خودش ناراضی نبود.	her mind had no distaste for her own set
کلاید تعهد خود را از یاد بدر.	the obligation faded.
باد هم امان نداد و زمین و زمان را به هم ریخت	I never see the wind blow so.
اما شاهزاده بر او پیشی گرفت.	but the old prince interrupted him.
اما بخار گرم محتوی آن مرا ترساند که مبادا انفجار عظیمی به وجود آید و افراد خودی را که در آن حوالی مش ول ارت ترنم بودند نابود کند.	but the sizzling steam made me fear a general explosion which would sweep across my men swarming like ants over the booty with a blast of jagged fragments.
به خاطر رگباری شدید و ناگهانی پراکنده شد.	turned into a rout because of a devastating downpour.
پاها دراز به سمت جلو لبه پهن کلاه عقب و سری که بیش و کم شبیه هاله نور شده بود.	legs thrust far forward, the wide brim of his hat set far back, making a sort of halo for his head.
آنجا را برای این که در آینده هم کلاس درس ما بشود مرتب کردم.	arranged it for the future schoolroom.
من کشیشم و باید از هر سوءِظنی مبرا باشم.	I am a priest and therefore I ought to be above suspicion
هنوز با هری شش پله فاصله داشت.	still lying on the staircase six steps below him.
سه دقیقه تمام چشم به حرکت اسب دوخت	watched the horse's action for the space of three minutes
ولی فکر کردم غم و غصه چیزیه که بهر حال به آدم دست میده.	but I thought grief was something you felt anyway.
از پلکان بالا رفت تا در راهرو به دری رسید.	went up the staircase to a door in a corridor.
هر چند این همه زحمت اجری در خورد نیافت.	though with but small success for their pains.
تا به هنگام اعلام رأی دادگاه در کنار او باشد و شخصا جزئیات آن را برای روزنامه گزارش دهد.	on his day of sentence that she, his mother, would report the samefor him.
در نتیجه وکیلی را واسطه فرستاد تا ترتیب جدایی او را از او بدهد.	but sent an intermediary to arrange the terms of the separation
چون اگر راست باشد من یقین دارم این زوبین انداز دیوانه محض است	which if true I take to be good evidence that this harpooneer is stark mad
چون قبلاً هرگز این همه نیاز به شتاب کردن نداشتم.	for I have never had such need of haste before.
از دستوری که شوهرش به او داد	at the orders her husband left her
به کنجکاوی و دقت در زمین عجیبی که افتاده بودم دور و بر خود را نگاه کردن.	look around me with some interest on the strange land that I was in.
به پشت بر کپهء سنگ دراز شد	lay down on his back on the heap of stones.
قرار نبود دوباره او نو ببینم	I was never supposed to see him again!
که از فردا دیگر ملازم من نخواهد بود	or rather him who will no longer be my servant to morrow
هیچ نشانی از سر به هوایی مخصوص چهارسالگی در آن نبود.	with none of the rather wandering attention span typical of a four year old.
اما شعله زرد وکم فروغ در شفق آن قدر رمق نداشت که هاله رمز و راز پیکر سیاه با آن صورت نامرئی در زیر کلاه بزرگ محو گردد.	but the short flick of yellowish flame in the dusk was powerless against the muffled up mysteriousness of the dark figure with an invisible face concealed by a great sombrero.
اما در قلبش هرگز او را رها نکرده بود درست مثل این که جوان واقعا پسر خود او بود.	but in her heart she had never given him up, as though, indeed, he had been her son.
انگار ناچار بودند بگذارند او حرفش را بزند.	as if they were forced to let him say it.
این است که من به خانه شما دویدم.	that is why I hastened to you.
نمیخوام دی گه راجع به این موضوع حرف بزنم	I don't wanta talk about it no more,
برای همین است که سطح کشاورزی سقوط کرده .	that's how it is the whole level of husbandry has fallen.
پوششی بر فراز گذرگاه ماند رلی پدید آورده بودند.	making a vault above my head like the archway of a church.
باید بهت هشدار بدم از این اتاق هم بزرگ تره	I should warn youit's bigger than this room.
ماجرای مرموزی در این خانة دلگیر جریان دارد که دیر یا زود به کنه آن پی خواهیم برد.	there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of.
برای خود و فرزندانش پزشک استخدام کرده بود.	for herself and the children she employed a physician.
تا جایی که مقدور بود موفق شد میز مقامات مهم را آماده کند.	she did everything possible to keep the places at the table of honor in order
حیوان سرخ منخرین برنده شده بود.	the brute with the red nostrils had won.
جبران وجود نحس مادرش را بکند!	a recompense to you for his mother!
برای همین شبانه به آنجا رفت .	he went down that night.
خود مهمیزی به اسب زد به جانب رودخانه رفت.	spurred his horse and galloped into the river.
تو گویی مسایلی بدیهی هستند و ارزش توجه ندارند	was easily accounted for as belonging to the sense of haste
در این هنگام من گریه یاس را سر دادم و خود را در این دنیا یتیم و تنها یافتم.	I had already broken out into a desolate cry, and felt an orphan in the wide world.
حقیقت و تشبیه دیگری تحویل او دادم.	I gave her another truth and another analogy.
من هم به زمزمه کردن خود ادامه دادم.	I still humming my little tune.
در نزاکت طبعی که والانتین داشت	, feeling, with true delicacy
چند تکه یخ را داخل دستمال ریخت و روی سر او گذاشت.	ice cubes on her head
کشید و از آن برای بیرون آوردن عکس پسرش استفاده کرد.	she used it to push out her son's photograph.
تو پیش خود خیال کرده بودی که جنگ کوچکی با من بکنی!	you reckoned on a bickering!
از نظر ترحم نیز اتاقی به من خواهند داد.	I should be given a small room as a favor
بهتر از اسلحه و گلوله سراغ دارم	than either a bullet or a knife.
هرکسی که یه بار طعم شهرت رو بچشه	once you've had that first taste
یا سعی کند در آن حال و هوا یکی دو ساعتی بخوابد	or trying to snatch an hour or so of sleep
گویی اصلاً اتفاقی نیفتاده است.	just as if nothing had happened.
این تکلیفی بود که در حقیقت من حق نداشتم و او حق داشت که قبول نکرد	a proposition which I was wrong to suggest and he quite right to refuse
با این کار قدری از پوست و لباسش دریده شد.	tearing both skin and clothes to some extent in the effort.
من سرنوشتم اینست که تمام روز را جان بکنم و رنج ببرم	I shall have to toil and moil all my days
دسته آدمیه که زندگی تازه شروع کرده و ترجیح می ده که عزرائیل جونشو به گیره تا دو مرتبه بی عاری کنه.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.
بعدش هم سعی کرده بود جلو دیگران را بگیرد تا کیک را نخورند.	as earnestly tried to prevent any body's eating it.
تا وقتی سفیدی چشماشون معلوم نشده من مشکلی ندارم.	I'm not really in trouble until I see the whites of their eyes.
من انتظار نداشتم که خودم باشم.	I hadn't expected to be myself.
من این دورغ و ریاکاری را ریسک کردم.	I risked the fraud
زیرا که هرچند بیش از هشت سال نداشت	for, although she was only eight years old
اول باشند چون نردبان جز برای عبور یک نفر راه نداشت.	both of them could not be first, for the ladder would but admit one man at a time.
خودش مایه نگرانی و دلشوره بود.	was a point of painful solicitude
پشت نرده شروع کرد به بالا و پایین رفت.	walked slowly up and down on the outer side of the sweetbriar fence
هیچ چیز به جز استخوان آنجا نبود.	naught was there but bones.
من به دور و بر میز نگاهی انداختم.	I look helplessly around the table.
حتی مقدار زمانی را که در او محبوس مانده است	not even the length of time he had been imprisoned
او را به سوی خانه کشانید	dragged him to the house.
شما اولین کسی خواهید بود که از آن با خبر شوید.	you'll be the first to know.
به شما گفتم که من دی گه کشیش نیستم.	I told you I ain't no preacher
ظاهراً از انگشت میانه من اندکی بلندتر بود.	seemed to be somewhat longer than my middle finger.
زیرا که خود نیز محتاج به عفو و بخشایش خدایی هستم.	because he hopes to be forgiven
بعد از آن دو نفری شروع به بوسیدن یکدیگر و وراجی کردند و ساعتی به بیهوده گویی گذراندند بدون اینکه از حضور ما خجالت بکشند.	there they were, like two babies, kissing and talking nonsense by the hour foolish palaver that we should be ashamed of.
رفته است دار و دستة خود را بردارد و برگردد.	would bring the whole hornet's nest about our ears
با ناباوری سرم را تکان دادم.	I shook my head in disbelief.
این چیزا باعث نمی شه همه چیز رو فراموش کنم و تو رو ببخشم.	I still think you were hateful that night and I never expect to forgive you.
دلش برای جدول حل کردن تنگ شده.	he missed doing the crossword.
که عدم حصول پیروزی در نبرد تهاجمی پس از هشت ساعت عملیات جنگی چه مفهومی دارد.	by the attacking side in eight hours, after all efforts had been expended.
بدان که من به رازداری و ادب و نزاکت بانوی خود بیش از الطاف معجزآسای قضا و قدر امیدوارم.	from whose discretion and courtesy I look for favours more than miraculous.
به یک میخ که به دیوار وصل شده بود وصل کرد و با دقت شروع به تابیدن آن کرد.	he tied them to a nail in the wall, and carefully plaited them.
روحی بلند و دلی مهربان دارد.	able to understand her position and her sorrow.
من باید سخنان خیرخواه خود را تا آخر گوش بدهم و آن را درک کنم.	I want to hear and understand my benefactor's words.
در همان جا او را دفن خواهد کرد تا سرو صدا بخوابد.	they'll bury him right there.
ولی شکر را فراموش کرده بود.	but he had forgotten the sugar.
بار دیگر یک گل کاملیای سفید دیگر دریافت کرد	she received a white camellia again
از ارلاندو خواست که به او افتخار دهد تا ناهار را با هم بخورند.	asked her whether she would honour him by lunching with him?
یک لیوان مفرغی به بزرگی یک سطل جلویش روی میز بود	there was a pewter tankard almost as big as a bucket in front of him
هیچ ندیده بود که مرد از آنجا گذشته باشد.	had not seen the man pass.
وقتی به این خلوتگاه خوفناک درآمدم	but as I was making my way among these crags,
هرگاه شما هم نخواهید من به امید و آرزوی خود دسترسی یابم	if you oppose me in this great stake
حتی زمانی که پروفسور مک گونگال جلوی چشم همه خود را به شکل یک گربه کوچک و ظریف درآورد که خطوط رور چشمانش شبیه عینک بود هری او را ندید.	wasn't even watching when she transformed herself in front of their eyes into a tabby cat with spectacle markings around her eyes.
عمیقا غرق افکاری دیگر بود	was deep in thoughts of something else
کلاه را روی سرش گذاشت و نشست.	put on the hat and sat down.
که به علم و حدسیات خود بسیار معتقد است	who will certainly ruin himself in experiments
تبهکاری چنان جسور و غدار است	was so daring and such a villain
مادر شوهرش از عروس خود نفرت دارد	her mother in law detested her
ایستاد و به دوروبرش نگاه کرد.	after stopping to look about her,
تا آن موقع خال سیاه شما پشیزی هم ارزش نخواهد داشت.	in the meantime, your black spot ain't
همچنانکه من نباید بر خود ببالم که دست و پایم ناقص نیست	than I should be for not wanting a leg or an arm
باکش از آبروریزی جلو مردم بود.	he was afraid of creating a scene in public.
از این سخت برآشفته بود که با آن که خود به کار دیگران کاری نداشت دیگران با لجاجت مراقب او بودند.	he was angry that people should go on being interested in him when he took no interest in them.
اول به خاطر این که آن طرز لباس پوشیدن عادتش شده بود	first because his personal taste would not allow him to dress in any other way
سانکو بسیار مایل بود که قدم به آنجا نگذارد	but though he would have rather not entered it
اگرچه فورا آمدم تا اگر بتوانم کمکتان کنم.	though I have come only to aid you if I can.
بزودی تصدیق کرد که راه فرش شده با تخته سنگ امتداد دارد.	he discovered that the paving continued.
به زحمت توانست سطل را بلند کند.	she could hardly lift the pail.
از برای او شراب که بهتر بوده است.	why did he not take wine?
صبر کرد تا یک دقیقه پایان یافت.	he allowed a minute to pass
متوجه شده است که من یک یاهوی کامل عیارم	I was an exact _Yahoo_ in every part
این تلگرافچی را اخراج نمودند و	that the man employed there was dismissed
من احمق بودم و هیچ کس دوست ندا ره که آدم احمقی یکباره عاقل شه	I was stupid and nobody likes to see a stupid guy wise up.
اگر فرض کنیم فردی بیا این صفت عالی هرگز وجود داشته است	if ever that solitary superlative existed
کارهنین گفت که فردا تصمیم خود را به آنا اطلاع خواهد داد.	he said that tomorrow he would let her know his decision.
دقیقا در همان ساعتی که شب قبل خبر داده بود	precisely at the hour named the night before
از تالار به سرسرا و از پلکان به حیاط شتافت.	through the ballroom to the anteroom and downstairs into the yard.
کاترین نیز ساکت و آرام و در حالی که معلوم بود بسیار افسرده و رنجیده خاطر شده است به اتاق خودش رفت	she mutely, and with a sense of intense injury, retired to her private apartment.
اما حالا خیلی بیشتر به او شبیه شدی	you're much more her now
که معلوم بود اساسا صدا زدن آنان را نشنیده است.	that it was doubtful whether she had even heard their calls.
در سن بیست و یک سالگی خط مشی نادرستی در پیش گرفتم یا بهتر بگویم مجبور شدم در پیش بگیرم	I started, or rather was thrust on to a wrong tack at the age of one and twenty
دلایل کافی هم دارم که آقای فرانک چرچیل چنین احساسی ندارد.	I can answer for its being so on his.
که به مغز خود فشار آورند و برای دیدن هرچه زودتر یکدیگر راهی بجویند.	think of some way by which they could meet before, if possible.
با عزمی جز به بالا رفتن پرداخت.	he resolutely began the ascent.
شیرینی و کمپوت سیب و شراب هم بود.	biscuits and baked apples and wine before she came away
فقط مستقیم به جلو خیره شدم.	I just looked straight ahead.
بعد گویی برای تشخیص اینکه ناتاشا تب دارد یا نه لبانش را به پیشانی او گذاشت و او را بوسیده	then touched her forehead with her lips as if to feel whether she was feverish, and finally kissed her.
در عجب بودم که حتی به خودش زحمت داخل شدن را داده است یا نه.	I wondered if she'd even bothered to go in?
زمانی که در خانه خودش صاحب اختیار بدن خودش بود.	when she was young and free in her own house, mistress of her own body.
ابلانسکی ناگهان خشمگین شد.	he had suddenly felt uneasy.
متأسفم من با کسی قرار دارم که کمی هم دیر شده است.	I'm afraid I am late for an engagement.
که احساس کنن دارم سرش ون منت میذارم.	that he was condescending when he noticed them at all.
اداره امور خانه را به عهده خواهد گرفت	she would keep house for him
او نیز وقتی ثروتمند شد و خواست دار فانی را بدرود گوید روح خود را به شیطان تفویض کند	after he has grown rich he will give him his soul
بار دیگر به اطراف نگاه کرد.	looking around him once more.
سرانجام چون خشم و حتی وضعشان با وضع پهلوانان سرگردان بهتر تطبیق کند	all anger and gloom removed, not to fix upon any being the proper thing for true knights errant
همین بود که با برادران راهزن خود برگردد	the scheme to return home with his brother pirates
باز متحیرست که چگونه کشوری ممکنست سرمایه و دارائی خود را مانند کسی که شغل غیر دولتی دارد از دست دهد و خرج او بیش از درآمدش باشد.	he was still at a loss how a kingdom could run out of its estate, like a private person.
حالت سگی باهوش که میداند مرتکب خطایی شده است.	like the expression of an intelligent dog when it has done wrong.
کلید بزرگی بدست داشت که از در یک زندان دزدیده بود.	held in his hand an enormous key stolen from the door of some prison.
که چاقو نزدیک جنازه پیدا شده بود.	the finding of the knife near the corpse.
هیچ برایم مهم نیست که امروز صبح با ناراحت کردن من چقدر خوشحالی.	I don't care how merry you are at my expense this morning
باز هم یک گره او را به هدف عظیم و زاده یکه خلی او نزدیک نخواهد ساخت	all that would not one jot advance his grand, monomaniac object.
راز وحشتناکی را درباره یکی از اعضای باشگاه خودمان.	something terribleabout one of our own members.
من خشمگین و عصبانی هستم ولی نه زیاد بالاخره این جوان ناگهان به این فکر افتاده است که عاشق من شود.	I feel cross, but not very , that frivolous young man, would you believe it, seems to have taken it into his head to fall in love with me.
کوشید تا به او چیزی بگوید	tried to speak to him
در آنجا شخص چهارشانه و میانه سالی را دیدم	found there a stoutish, middle aged person
او خودش به من دستور داده است بچه را به همراه ببرم.	he has ordered me to take him
انگار با صورت به دیوار خورده باشد.	as though it had run headlong into a brick wall.
به دختر شما گفتم که ماشاءالله مثل یک گل سرخ شاداب است.	I told your daughter that she is like a rose.
که درانتظار پیدا شدن شریک رقص بودند از او برای والس دعوت شد.	waiting to be asked to dance when she was asked for a waltz
به علت تمرین و ورزش سالم و هوای پاک عرصه زیرین کشتی است.	because of the wholesome exercise and pure air of the fore castle deck.
حالا خواهند دید که همان مهتر است که بود.	they will see him come back a horse boy.
او که به ظاهر بسیار خوشحال شده بود	quite pleased apparently.
باز هم تا ابد و ابد و تا فرا رسیدن فنا دریا انسان را خوار خواهد داشت و خواهد کشت	yet for ever and for ever, to the crack of doom, the sea will insult and murder him
میخ وام اجازه بدی که جونشو نجات بدم.	I want your permission to save her life.
من حق دارم که اگر بتوانم خودم را نجات بدهم.	I have a right to deliver myself from it if I can.
آقای به مبل از دیدن آن سخت متوحش شد.	that it was much distorted and discoloured.
که ما قصد داشتیم پس از گرفتن موضع نبرد را در آنجا شروع کنیم	which we intended to take up our position and begin the action
از فرط انزجار بر خود لرزید.	she shuddered with loathing.
مثل اینکه این مدت خیلی بیشتر از یک هفته بود.	that at its close I seemed to have been with him for a much longer time.
موهایم را از روی صورتم کنار زدم .	I push my hair back off my face.
تصمیم گرفت برای او مربی بیابد و او را به وی بسپارد.	putting the boy in his charge
پایبند هیچ اصل اخلاقی نیست و حاضر است در حق دیگران بدی بکند تا خودش ناراحتی نکشد زن چقدر باید زجر بکشد.	when he hasn't got a principle in him to make him more afraid of doing the wrong thing by others than of getting his own toes pinched.
مطلقا چیزی باقی نمانده بود.	nothing was left.
بلافاصله صحبت را کشاند به موضوعی که شاید پدرش را از غم و ناراحتی در بیاورد.	she immediately led to such a branch of the subject as must raise them.
هرچند اگر دست و پا نداشته باشد بدبخت و بیچاره است .	although he must be miserable without them.
در آن صورت هم خیال ما آسوده خواهد بود	in this way we shall be satisfied and easy
ولی هنوز به شدت دلواپس بود	but was still extremely nervous
بهتر است که این تصوراتت را برای خودت نگه داری	I think you'll do best to keep your visions to yourself
تا حد امکان با خونسردی پرسیدم.	I asked as lightly as I could manage.
از آن موقع تا حالا که آقای جر وی این جا بود اصلا خبری از او ندارم.	I haven't heard a word from him since he was here.
منم باید برگردم به سرسرای بزرگ.	I must also return to the feast.
مگر لری اواازاین کار بازمی داشت.	unless he cut her off entirely.
ابروهای پرپشت او به هم پیوسته بود.	with very heavy eyebrows
که نخست دربارهٔ آن سکوت اختیار کردند زیرا هویدا بود که بیم داشتند کشف خود را با دیگران در میان نهند	at first only observed in silence by those who came in and out and were evidently each afraid to communicate the thought in his mind.
من تا آن روز اسکوایر را از نزدیک ندیده بودم.	I had never seen the squire so near at hand.
طوری که سرش بالای قلب مادر بود	with its head upon her breast.
چرا نگهبان آژیر خطر نکشیده است.	why the watchmen had taken no alarm.
ولی جلوی زبانش را گرفت.	but held his tongue.
دو ناخدای آن دو کشتی در حد خود تمامی تضاد فاحش منظره را مجسم ساخته بودند.	their two captains in themselves impersonated the whole striking contrast of the scene.
چشمهیش در تاری کی کاملا بازبودند.	eyes wide in the dark.
به برداشت خواننده از روابط او با شوهرش بستگی دارد	as the reader chooses to consider it upon her relations with her husband
صورتش رو بین دستام گرفتم.	I took her face in my hand.
نفسی عمیق کشیدم و موهایم را عقب زدم	I take a deep breath and smooth my hair back
براق و درخشان شده و نیروی جوانی به او بازگشته بود.	he was glossy and seemed to have the vigour of youth.
من در دنیا چیزی ندارم که متعلق به تو نباشد.	I haven't nowt in all the wureld that ain't yourn, my dear.
در حالی که در واقع کاری انجام نداده بود بجز یک عمل جسمانی.	when in reality he had accomplished no more than the physical act
شهامت آن را نداریم تا از لاک همیشگی سر برون آوریم	we lack the courage to step from our accustomed role
کس دیگری را هم ندارم که ازاو خواهش کنم.	I don't know who else to ask.
با خوش رویی غیرعادی لبخند زد.	he finished, smiling more broadly than ever.
صدایش بلند و همراه با معصومیتی تصنعی است.	she asks, voice high and fake innocent.
که پروفسور اسپروات از دور پدیدار شد.	when she came striding into view across the lawn
روزنامه را به دست مادرش داد	he now passed the paper over to her.
در هیجده سالگی با شما برابر بودم کاملاً برابر.	I was your equal at eighteen quite your equal.
قطار رو هم به آتلانتا فرستادند.	so our train was sent here.
با دقت او را از نظر گذراندم.	I examined her carefully.
مگر اینکه به آن موضوع کاملاً وارد باشد.	unless he knows that subject well.
ولی این موضوع اهمیتی نداشت.	but what did that matter?
من او را به همراه خانم دیگر به خارج فرستادم	I sent her out this morning with the other young woman
ولی گمان نکن که این موضوع را برای همیشه از وی پنهان خواهم داشت.	but you needn't imagine I shall keep your ridiculous secrets.
از ته دل خنده را سر داده بود	bursting into a hearty laugh
مگر اینکه خود فلگ اینطور بخواهد.	unless he wanted to be noticed.
با دیدن او به اتاقش برگشت	he disappeared into his house
اگر او صاحب مسافرخانه واقعا جای دیگری ندارد که به من بدهد	that if he the landlord really had no other place for me
او را خواستم خاتم قلبم باشد	I kept her in my heart
بدون عجله همدیگر را دوست داشتند مثل عاشق و معشوقی پیر.	loving each other like unhurried old sweethearts
میدانم در آن لحظه که همهٔ افراد بشر ناگهان علت همهٔ این حوادث را در خواهند یافت منهم حضور داشته باشم.	I want to be there when every one suddenly understands what it has all been for.
ظاهراً هنگام سقوط بر روی زمین مچ پایش رگ به رگ شده بود.	he had sprained his ankle when the spider had dropped him.
بلافاصله به شکل چیزایی درم یاد که هر کد وم از ما ازش ون وحشت داریم.	he will immediately become whatever each of us most fears.
بنابراین چشم انداز دریا را داشتم و نیمه چشم انداز چمن همسایه را قرب جوار تسلی بخش میلیونرها را و این همه فقط در برابر هشتاد دلار در ماه.	so I had a view of the water, a partial view of my neighbor's lawn, and the consoling proximity of millionaires all for eighty dollars a month.
اما فقط پنج دقیقه به ساعت ده مانده بود و دوشیزگان هنوز لباس نپوشیده بودند.	but it was already five minutes to ten, and the girls were not yet dressed.
یک ماه تأخیر دلیل قاطعی بر حاملگی نیست حاضر بود یک ماه تمام لاقیدانه این مسئله را پشت گوش بیندازد.	that the delay of a month might not prove fatal was sufficient to cause him to be willing to wait, and that rather indifferently, for that length of time.
این بود که آن دور و بر گشت	so he searched around
باز به کالبد جا نواران خواهد رفت.	will go back into animals again.
خود را برای هرگونه پیشامدی آماده سازید	prepare yourself for every emergency.
این خداست که تو را زده تا بمیری	when he is striking you dead?
که شما از وصلت با من کراهت دارید.	that you decline allying yourself with my family
به شرطی که رفتار صحیح و تواضع رعایت شود.	provided that a proper humility of behaviour is at the same time maintained.
درست است که اگر در واپسین لحظات به میل خود رفتار کرده	it is true that if he had done as he liked at the last
