en_sentence	fa_sentence	translation	variety (Western Gilaki|Eastern Gilaki)	county	orthography	translator	5420
whence I saw him at the top of the stile looking back into the next field on the right hand	از آنجا دیدم که او بر فراز پلکان پرچین برآمده و رو بس وی کشتزاری که در سمت راست است کرده است	اۊیه جي بدئم گه اۊن چپر ٚ پلله سر هيسه یؤ راست ٚ بيجار-ه نيا دره.	Eastern Gilaki	Kelachay	Vrg	RRR	
so I didn't say anything.	پس چیزی نگفتم.	پس هيچچي نؤتم.	Eastern Gilaki	Kelachay	Vrg	RRR	
I'll have this out with you.	باید حسابی را با تو تسویه کنم.	وأ تي همرأ یه حساب-ه صافانم.	Eastern Gilaki	Kelachay	Vrg	RRR	
deciphering of those scored parchments which thirty years among men and women had rolled tight in his heart and brain.	بخواند که طی گذشت سی سال زندگی در بین زنان و مردان آن قدر بر قلب و ذهنش سنگینی کرده بود.	بخاده سي سالي کي زنأکان ؤ مردأکانه ميئن زیوش بۊکۊده دأره أن ٚ ویر ٚ سر گؤر ٚ مأنسته	Western Gilaki	Bandar Anzali	Vrg	RRR	
drove her home.	او را با اتومبیل به خانه رساند.	اۊن-ه ماشين ٚ همرأ برسأني خؤنه.	Eastern Gilaki	Kelachay	Vrg	RRR	
I doubt if he's gotten that far yet in fact, I'm sure of it.	البته فقط یکی دو تا از اونها رو برای تفریح راه میندازه.	آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	Western Gilaki	Bandar Anzali	Vrg	RRR	
I'm very glad.	من هم خیلی خوشحالم.	مرأني خىلي شادم.	Eastern Gilaki	Kelachay	Vrg	RRR	
thought I could make out the bird by her bright plumage	آن طوطی را از بال و پر درخشانش باز شناختم	اۊ طۊطي-ىه اۊن ٚ پۊرسۊ بال ٚ جي بيشنأختم.	Eastern Gilaki	Kelachay	Vrg	RRR	
went to work to get his verses	مشغول حفظ کردن اشعارش شد.	سرأ گیفت شعرانه حیفظ-أ کۊدن	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
be represented as a partner in his own cure.	شریک او در مداوای بیماری خود باشد.	اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I am out of spirits.	هیچ حالش را ندارم.	روٚقد نأرمۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
you, gentlemen, bring yourselves to!	شما آقایان هم بنشینید!	شۊمۊ مرداکان أن بنيشيد.	Eastern Gilaki	Kelachay	Vrg	RRR	
the old woman coming into the room	پیرزن چون وارد اتاق شد	پير زنکه هۊتؤ گه دۊرين بۊمأ.	Eastern Gilaki	Kelachay	Vrg	RRR	
to avoid betraying that he knew she was about.	باز هم نشان بدهد خبر ندارد بکی آن جاها است.	هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
he is so very agreeable.	از بس که آدم جذابی بود.	أندي جذذاب بؤ.	Eastern Gilaki	Kelachay	Vrg	RRR	
I know that well!	من خودم اینو می دونم.	مۊ خؤره اين-ه دؤنم.	Eastern Gilaki	Kelachay	Vrg	RRR	
if it had been favourable to the boy.	هرگاه اطلاعات شما نشان دهنده خوبی و خوش ذاتی طفل بود	شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	Western Gilaki	Bandar Anzali	Vrg	RRR	
had not so much as altered one angle of his vest.	حتی یک گوشه زیر جامه او را هم نجنبانده بود.	حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
then the two young girls	سپس دو دختر جوان	ايمأ دۊ ته جوان لاکۊ.	Eastern Gilaki	Kelachay	Vrg	RRR	
put them safely in his pocket	آن را در جیبش گذاشت.	اۊن-ه خۊ جیف دزأ.	Eastern Gilaki	Kelachay	Vrg	RRR	
that sad past, which had been very niggardly of joy for her	همان گذشتهٔ اندوه یاری که برایش بسیار کم با شادی همراه بود	هۊ ماتره بۊکۊده زماتي گۊذشته جأ کي شائي أن ٚ شين کۊجه ذره بۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
but I am always fond of children.	به طور کلی من به کودکان علاقه مفرطی دارم	اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
you're like the weather cock on a roof.	مثل بادسنج روی بام	وانمائي مأنستن کي بام ٚ جؤر نهأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
sat down on the trail.	بر روی جاده نشست.	جأدده سر بنيشت.	Eastern Gilaki	Kelachay	Vrg	RRR	
said he to himself, and after that he did not meddle in business affairs.	راستوف پس از آن قضیه دیگر به امور مالی و اقتصادی خانواده خود مداخله نکرد.	راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I don't know,' I said	سرم را با تأسف تکان دادم. نه.	مي سرأ ناراحتي جأ أشادم، نأ.	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
it would help me	این کتاب به هم کمک می کنه	اي کيتاب همه کس-ه کۊمک کۊنه.	Eastern Gilaki	Kelachay	Vrg	RRR	
so far as it will affect you.	نه از برای من بلکه از برای خودت.	نأ مره ره، خؤره ره.	Eastern Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
stood, livid and trembling, before us.	از جا پرید و برافروخته و لرزان جلو ما ایستاد.	خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I sneaked off to the private bar to have a pint or two before dinner.	یواشکی به طرف بار مخصوص مهمان رفتم و یکی دو پیمانه سر کشیدم.	یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
went up the hill and out of sight.	از سربالائی بالا رفت و از نظر ناپدید شد.	سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I'll tell you as soon as she's safely away,	به محض اینکه به سلامت از اینجا دور شد بهت می گم	هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
even as the hairs on my arms began to shrivel.	حتی زمانی که موهای روی بازوانم شروع به فر خوردن کرد.	زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	Western Gilaki	Bandar Anzali	Vrg	RRR	
I didn't go upthere with her with any intention of killing her.	من نبردمش اونجا که بکشمش.	مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I shook my head.	سرم را تکان دادم.	مي سرأ بشادم	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I can remember it vividly now	حالا به وضوح همه چیز یادم آمده بود	هسأ همتتأ چي مرأ واضح بخاطر بامۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
he put his hand up to his forehead.	دست خود را روی پیشانی عرق کرده گذارد.	خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
not a pleasant night for a dip in the sea	هیچ خوب نیست که در چنین شبی شخص سفر دریا نماید	هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I thought it might get rusty with the rain, or catch cold	من ترسیدم که زیر باران زنگ بزند یا سرما بخورد	مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
became absorbed in it.	حواس خود را همه به بافتن داد.	خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I'm trying very hard to look like a relaxed business class top marketing executive.	نهایت سعی و تلاش خودم را کردم که عین یک مدیر عامل بازاریابی آرام به نظر برسم	مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	Western Gilaki	Bandar Anzali	Vrg	RRR	
we'll have enough of it to stuff a sofa!	باهاش تشک درست کنند!	اۊن ٚ مرأ لا چأکۊدم	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
all the hair had gone from her face	موهای بلند صورت هرمیون از بین رفته بود	مچه پیله مۊئن جه ميئن بيشأ بۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
because nobody had taught him.	زیرا اصلاً کسی تا به حال او را تربیت نکرده بود.	أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
there were never more than five men who knew each other.	در این جمعیت هرگز بیش از پنج مرد نبودند که یکدیگر را بشناسند.	أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	Western Gilaki	Bandar Anzali	Vrg	RRR	
you could be so hard hearted as to let me suffer so.	که تو این قدر سنگدلی که این همه به من عذاب دادی.	کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
twelve coming on to pass away.	اکنون ساعت دوازده در شرف فرا رسیدن بود.	هسأ ساعت دۊوازأ کرأ فأرسۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I raised one hand to halt his apology.	یک دستم را بلند کردم تا عذر خواهیش متوقف شود.	مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	Western Gilaki	Bandar Anzali	Vrg	RRR	
gave a long gasp or two	یکی دو آه بلند کشید	ایتأ دۊتأ پیله آه بکشي	Western Gilaki	Bandar Anzali	Vrg	RRR	
when I am eighteen!	همین قدر تا هیجده سالگی!	هانقدر تا هیجدأ سال بۊستن	Western Gilaki	Bandar Anzali	Vrg	RRR	
the iron bandstraversed it from side to side without any break.	بندهای آهنین از یک طرف تا طرف دیگرش بی گسیختگی امتداد داشتند.	آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
stopped him in the vestibule and tried to take the pistol from him.	او را در سراسر نگه داشتند و خواستند تپانچه را از دست او بگیرند.	اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	Western Gilaki	Bandar Anzali	Vrg	RRR	
I begged his patience to hear me tell my story	پس از او تمنی کردم که حوصله کند تا داستان خود را بگویم	اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	Western Gilaki	Bandar Anzali	Vrg	RRR	
I don't set up to be one of those men that don't care about women.	منظورم این نیست که از آن نوع مردانی هستم که به زن توجهی ندارند.	مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	Western Gilaki	Bandar Anzali	Vrg	RRR	
a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	اجرای سوت مانندی که فرد شور و شوق و امیدواری فراوانی در آن به کار برد.	ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
but this time all had come.	اما این دفعه همه عقب نشستند.	ایدفأ همتتأ پس بينيشتن	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
whom she had never seen	مردی که هرگز ندیده بود.	ایتأ مردأک کي هلماله نیدأ بؤم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I thought it might be important.	گفتم شاید کار مهمی داشته باشد.	بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	Western Gilaki	Bandar Anzali	Vrg	RRR	
his head was bandaged with a linen cloth.	سرش را نیز بسته بودند.	أن ٚ سرأيم دوستأ بؤد	Western Gilaki	Bandar Anzali	Vrg	RRR	
especially if the educated ones have their stomachs full.	مخصوصا اگه آدم باسواد شکمش سیر با شه.	مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I wasn't sure it was you.	مطمئن نبودم تو باشی.	خاطرجمائي ناشتيمه تۊ بيبي	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I shall take off the veil if I get too hot.	من باید نقایم را بردارم اگر گرمم شد.	مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I think we'll stop now and make some fudge.	به نظرم بهتر است نامه را همین جا تمام کنم و کمی باسلق درست کنم.	مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I hope I shall do everything to your satisfaction.	من هم امیدوارم تا حدود توانایی برای رضایت و آسودگی شما بکوشم.	مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	Western Gilaki	Bandar Anzali	Vrg	RRR	
took a silver key from his pocket	کلیدی نقره از جیب بیرون آورد	نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I'll never divorce him,	هیچ وقت طلاق نخواهم گرفت.	هیچ زمات طلاق-أ نیگیرم	Western Gilaki	Bandar Anzali	Vrg	RRR	
there will be.	اگر هم نشده باشد بزودی خواهد شد.	اگر نۊبؤسته بۊ هن رۊزانه به	Western Gilaki	Bandar Anzali	Vrg	RRR	
like the prom, for exampleseemed silly to me.	مثلاً مثل مراسم رقص که برای من احمقانه بود.	وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
I took out your heart as well as I could	یعنی به طریقی که بهتر از آن ممکن نبود دلت را از سینه بیرون آوردم	يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	Western Gilaki	Bandar Anzali	Vrg	RRR	
every face in the neighbourhood worsting	همسایگان طراوت خود را از دست داده	همسائيان خۊشانه شائي-أ جه دس بدئن	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
reported in a whisper that the prince was sleeping, and hastily closed the door.	آهسته گفت که شاهزاده خواب است و شتابان در را بست.	یاواشکه بۊگۊفت کي شازدۊ خۊفته ؤ تۊندؤتأکیته درأ دٚوٚست	Western Gilaki	Bandar Anzali / Abkenar	Vrg	RRR	
there was a scuffling outside	صدای پایی شنیده شد	ایتأ پاصدایأ بيشنأوستد	Western Gilaki	Bandar Anzali	Vrg	RRR	
no help to be had.	هیچ کس نبود که به کمکش بشتابد.	هئکس نۊبؤ أن-أ یاور بده	Western Gilaki	Bandar Anzali	Vrg	RRR	
there are odds and ends upon the ground.	روی زمین مقداری خرت و پرت دیدهمی شود.	ایزه چيکچي زیمين سٚر دیند ٚ	Western Gilaki	Bandar Anzali	Vrg	RRR	
we could live in the house.	ما تونستیم تو خونه زندگی کنیم.	أمأ بتأنستیم کا خانه جأ زیوش بۊکۊنیم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I was to say nothing about him to anyone.	من نباید راجع به او به احدی چیزی بگویم.	مۊ اۊن ٚ گب-أ هئکس ورجأ وأسي نزنم	Western Gilaki	Bandar Anzali	Vrg	RRR	
clearer than the water.	زلال تر از آب.	اسپیدتر آف ٚ جأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
that wasn't all	اما تنها این نبود.	امأ تنأکه هن نۊبؤ	Western Gilaki	Bandar Anzali	Vrg	RRR	
I stumbled and wished all the time that I could bail out.	فقط پایم لغزیدم و همواره دعا کردم ای کاش بت وانم از زیر بار چنین چیزهایی ش ا نه خالی کنم.	مي پا ليسکأ خؤرد ؤ هميشک دۊوأ بۊکۊدم کي بتأنم أجۊر مسئۊلیتانه جأ مي شانأ جیگیرم	Western Gilaki	Bandar Anzali	Vrg	RRR	
kissing the count's hand	هایده دست کنت را بوسید	هایده کؤنت ٚ دس ٚ ماچي بدأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
as one was grateful for the sunshine and the rain.	همان طور که انسان از نور خورشید و باران سپاسگزار است.	هۊتؤئي کي آدمي خؤرشيد دتابستن ؤ وارش ٚ جأ سپاسگزار ايسه	Western Gilaki	Bandar Anzali	Vrg	RRR	
I should think shed be ashamed of herself if she has.	اگر همچنین کاری کرده با شه باید از خودش خجالت بک شه.	اگر أجۊر کردؤکاري بۊکۊدأبه وأسي خؤ جأ خجالت بٚکشه	Western Gilaki	Bandar Anzali	Vrg	RRR	
I'll tell you later.	بعدا به تو اطلاع خواهم داد.	بأزین ترأ واخاب-أ کۊنم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I left my new rod and the rest of the fishing tackle in my bedroom.	چوب و بقیه وسایل ماهیگیری را در اتاق جا گذاشتم.	چؤ ؤ الباقي قارماق تاودي چیکچي-أ اۊتاق ٚ ميئن بنأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
obviously anxious to be taken seriously by a girl like herself, as she could see.	که آرزومند است دختری چون سوندرا نظر لطفی به او کند.	أن ٚ ناجه أن ايسه کي ایتأ کؤر مأنستن اۊن-أ تأبل بيگيره	Western Gilaki	Bandar Anzali	Vrg	RRR	
I wondered if she was making a fool of me.	به حیرت افتادم که شاید مرا دست انداخته است.	بمانستم کي شاید مرأ دسبازارأ گیفته	Western Gilaki	Bandar Anzali	Vrg	RRR	
on her wrists she wore some glass beads	در دست او النگویی بود	أن ٚ دس ٚ جأ تۊینگ نهأ بۊ	Western Gilaki	Bandar Anzali	Vrg	RRR	
I haven't a cent in my pockets, and nothing to do.	من یک شاهی پول ندارم و کاری هم ندارم بکنم.	مۊ یاقاراني-أ مأطلم ؤ کاري نأرم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I welcomed the opportunity.	من از آن فرصت استقبال کردم.	مۊ اۊ فؤرصت-أ پيشأشؤ بيشئم	Western Gilaki	Bandar Anzali	Vrg	RRR	
offered to give him typing lessons at home.	به او پیشنهاد کرد که خودش به منزل او برود و به او درس خصوصی بدهد.	اۊن ٚ جأ بخاست کي خؤره اۊن ٚ خانه بۊشه ؤ اۊنأ خۊصۊصي درض بده	Western Gilaki	Bandar Anzali	Vrg	RRR	
bring his heart to its final pause.	قلبش را سرانجام از کار باز خواهند داشت.	اۊن ٚ قلب-أ آخري سٚري کار ٚ جأ تاودد	Western Gilaki	Bandar Anzali	Vrg	RRR	
except I don't like any of the things that have been happening.	فقط می دونم هیچ کدوم از این چیزهایی رو که اتفاق افتاده دوست ندارم.	خالي دأنم أن چیاني کي تفاق دکفته-يأ خۊش نأرم.	Western Gilaki	Bandar Anzali	Vrg	RRR	
but his eyes were distant and unfocused	اما چشمانش متمرکز نبودند.	أن چۊمان تٚمرکۊز ناشتي	Western Gilaki	Bandar Anzali	Vrg	RRR	
she found the tracks of a biped with a cloven hoof.	ردپای یک جانور دوپا و سم دار را دیده است.	ایتأ جانۊور دۊپا ؤ زهردارأ پامالأ بيده	Western Gilaki	Bandar Anzali	Vrg	RRR	
or lest others should think she must.	یا دیگران این طور خیال کنند.	يأ الباقه أتؤئي ویر بۊکۊند	Western Gilaki	Bandar Anzali	Vrg	RRR	
I can't find the way.	راه و نمی تونم پیدا کنم.	رایأ نتأنم بيافم	Western Gilaki	Bandar Anzali	Vrg	RRR	
he got gingerly to his feet	آهسته از جایش برخاست	یاواشکه خؤ جیگأ جأ ویریشت	Western Gilaki	Bandar Anzali	Vrg	RRR	
you tell them so, and that they must stop this	تو به ایشان اطلاع بده که از اینکار دست بردارند	تۊ أشانأ واخاب-أ کۊن کي أن کار ٚ جأ دس ویگیرد	Western Gilaki	Bandar Anzali	Vrg	RRR	
but as he tried to stand	اما همین که از جایش برخاست	هتؤ کي خۊ جیگأ جأ ویريشت	Western Gilaki	Bandar Anzali	Vrg	RRR	
whether that consoling reflection was logical or not.	من که کاری به این کارها ندارم که عملشان منطقی است یا نه.	مۊ أن کارانه أمرأ کاري نأرم کي منطقي ايسه يا نأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
he was very busy.	سخت سرگرم کار بود.	کار ٚ مرأ سقت سرگرمي داشتيمه	Western Gilaki	Bandar Anzali	Vrg	RRR	
she acknowledged their homage by bending her head, and giving them a quick look.	مادام دوفارژ با فرود آوردن سر و نظر افکندن به سوی ایشان مراتب احترامشان را پذیرفت.	مادام مۊفارژ خۊ سرأ بيجير آوۊردن ؤ اۊشان ٚ فندرسئن ٚ مرأ أشان-أ ایحترام بۊکۊد	Western Gilaki	Bandar Anzali	Vrg	RRR	
moody pacing down the galleries, looking for something among the pictures	در میان تالارها و تصاویر به جستجو برآمد	تالاران ؤ تاتائيانه ميئن بگرد وأگرد بۊکۊدم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I smiled wanly at the nervous man.	یک لب خنده کم رنگ به اون مرده دستپاچه زدم	مي گاز ٚ خالأ اۊ هؤل بۊکۊده مردأک ٚ ره وأکۊدم	Western Gilaki	Bandar Anzali	Vrg	RRR	
I read this really good book recently	من اخیرا یه کتاب خوندم	مۊ هأ رؤزانه ایتأ کیتاب بخأدم	Western Gilaki	Bandar Anzali	Vrg	RRR	
not noticeable at a distance	از دور معلوم نبود.	دۊر ٚ جأ مألۊم نۊبؤ	Western Gilaki	Bandar Anzali	Vrg	RRR	
I let the car run down the hill slowly.	ماشین را به طرف پایین تپه راندم.	ماشين-أ دامان جير ٚ پئلي رأ بۊبۊردم	Western Gilaki	Bandar Anzali	Vrg	RRR	
