en_sentence	fa_sentence	translation	variety	county	orthography	translator	2106
like a man accustomed to that kind of gymnastic exercise	مانند ژیمناستیک کاری که به این کار فادت دارد	ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
a wax taper had been thrust between forefinger and thumb, and an old servant, bending over from behind the chair, held it in position.	خدمتکاری از پشت صندلی خم شده و شمع مومی را در میان شست و انگشت سبابه راست بیمار نگه داشته بود.	ایی خدمتکاری صندلی پِشتی کو پْش مَندا و مومییَه شمعی اْشتَن کله انگوشتَه و ایشاره انگوشته مین گِتَشا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
listening to the echoing footsteps of years.	به طنین صدای پای زمان گوش فرامی داد.	زمانی پا صْتا کْرا گوش آکَری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
what incomprehensible misfortune	واقعا بد بختی باورنکردنی است	ام بدبختی دِ واقیعا باور کرده نِبو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I must see the lady.	من فقط باید این خانم را ببینم.	از فقط پی اْم یِنَکی بْوینْم.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he took it first in one, them in both his own.	اول آن را با یک دست و بعد با هر دو دستش گرفت.	اول اَی ایله دَسینَه بعد هر دْ گلَه دسینه گِتْشَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he struck you as being pretty handy.	به نظر توهم آدم بدرد بخوریه	اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but it was safe out of his reach.	اما سوسک از دسترس او دور بود.	اما بْزبْزَه چِه دایرَه کو دور مَندا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
make sure yeh can see' now	همه تون باید بتون ین اون تو رو ببین ین.	هَمَه پی بْشوعَه چِه دِلَه بْوینَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I have lost all my illusions.	تمام آمال و آرزوهایم بر باد رفت.	چْمْه ناجِن همه بْ باد شینَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
all of them silent now, their owners dead or fled.	صاحبانشان یا مرده بودند و یا فرار کرده بودند.	چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
it soon stood wide open also.	به زودی این منفذ کوچک به صورت راهی برای عبور آماده شد.	هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I knew with sudden, chilling certainty that this was my last year.	با قطعیتی ناگهانی و دلسرد کننده فهمیدم که این آخرین سال من است.	ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I kept my mouth shut.	پس ده نم را بسته نگه داشتم.	پس چْمْه دَنی دَوَسْمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
we're still where we were.	ما فعلاً همان جایی هستیم که ایستاده بودیم.	امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I knew immediately what this key was to	فوراً فهمیدم که این کلید مال کجا بود د	زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
so you can get the hell away from here and leave me alone.	پس تو می تونی راهتو بگیری و بری و منو تنها بذاری.	پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but nobody dared to interfere.	ولی کسی جرأت دخالت در کار را نداشت.	ولی کسی نییاری کاری کو دخالت بْکَری.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
or knocked on the head	یا اینکه ناخدا سرش را خواهد شکست	یا عْمکو ناخْدا اشتن کله چاکْنْه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
there he remained till nearly nightfall	آنسلم تا حین غروب آفتاب در آنجا ماند.	آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I was moved to make a last attempt to regain his friendship.	بنابراین کوشیدم برای جلب مجدد دوستی او آخرین سعی خود را به عمل آورم.	انتَه بَه کْ آخرین َدَفه را سَکْرات کردْمَه کْ چه دوستی جلب بْکَرم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
as though it had once been a large stone pigpen	که ساختمان اصلی آن روزی یک خو کدانی سنگی بوده است	چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
that was painful and difficult for him.	این کاری دردناک و دشوار بود.	ام دردناکَه سَختَه کاریا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I'm sorry I've dragged you out of bed.	متأسفم از رختخواب کشی دمت بیرون.	متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
it's time for you to step aside.	که وقتش رسیده که تو کناره گیری کنی.	چه وقت آرَسَه کو تْ کَنار بْکَشی	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
as I could not possibly have done	به هیچ وجه برایم امکان نداشت	هیچ وقت مرا ایمکان نداری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I have no doubt that it led to his tragic end.	تردید ندارم که موجب مرگ فجیعش شد.	از شک ندارم کو چه مرگی باعث به	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	نخواهد توانست بر سر قراری که مثلا دو سه روز پیش باهم گذاشته بودند حاضر شود.	نشا ا قراری کو پَری گینِه پیش یندینه نوعه شونا سَر حاضر ببو.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
when he got the poker in case of burglars	وقتی به خیال این که دزد آمده سیخ شومینه را برداشته	ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
sometimes to put a suffering beast out of its misery, sometimes to fell a boar or a dingo.	گاه برای خلاص کردن جانوری از پا افتاده و گاه برای زدن گراز یا دینگو.	بضی فَتون ای جونَوری جیوازنده را و بضی فتون نی ایله خو یا دینگو ژنده را	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
ordered the sorrel nag, my fellow servant	به اسب کرند یعنی خدمتگار و هم قطار من فرمان داد	کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
that they had never gone further than formal greetings	البته فقط یک سلام علیک رسمی	البته فقط ایله خشکَه سلام علک	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but the bolts were in place.	خواست داخل شود در را از داخل بسته دید.	خواستشه درآ ویندشَه بر دله کو دوسیَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
while a painful silence reigned in the court room.	سکوت دردآوری بر دادگاه چیره شده بود.	غمناکه سکوتی دادگاه کو چیر آبا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I'm glad she got back in time.	من خوشحالم که او به موقع برگشته است.	آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
his nerves were terribly overstrained by now.	این بار اعصابش زیاده از حد ضعیف شده بود.	ام دفه چه عَصاب تمون خْرد آبا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	با مادر خود به کلیسا میرود و به علت بارداری ناگهان احساس ناخوشی میکند و نمیتواند در آن جا بماند.	اشتن ما نَه شو کلیسا و ناخَوَری ناخوشییَه حالی اَی دس دَ و نِشا کو ها بْمونْه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but I take all the blame upon myself	ولی به گمانم گناه این بدبختی تماماً به گردن من است	ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
besides this kind of thing's too awful, here this time of night with witches and ghosts	او نم یه همچی کاری این وقت شب با این همه جادوگر و غول که دورو ورمونن.	اَ نی اْنْتَه کاری نَه کْ شوی هْم وقت، ام جادوگر و غولی نَه کو چه دایر و پَرَه کو َمندینا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
looked quickly away.	بلافاصله از او چشم برداشت	تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
the forest was gray now instead of black.	جنگل حالا از سیاه به رنگ خاکستری دراومده.	جنگل الان سییا کو آبَه رَش!	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
at one o'clock in the morning, possibly, she heard a loud burst of laughter	تقریبا ساعت یک بعد از نیمه شب بود که کوزت یک قهقهه بلند خنده شنید.	مرْا چه مونی ساعت یَک شَوا کو کوزتی ایله بْلَندَ قَهقَهَه مَسَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
which disposed us to sloth	این کار ما را به کاهلی و تن آسائی وامی دارد	ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
that so much invested the whale with natural terror	که این وال را تا این حد مایه وحشت طبیعی ساخته بود	اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
in order to escape from her, he determined to quit the country	برای اجتناب از دیدار دخترک چوپان تصمیم گرفت جلای وطن کند	امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
her mind had no distaste for her own set	هیچ از اوضاع خودش ناراضی نبود.	اصلا اشتن وضعی کو ناراضی نییا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
the obligation faded.	کلاید تعهد خود را از یاد بدر.	کلایدی اْشتَن قایلی ویر بَرشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I never see the wind blow so.	باد هم امان نداد و زمین و زمان را به هم ریخت	وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but the old prince interrupted him.	اما شاهزاده بر او پیشی گرفت.	اما شازادَه اَی کو نار دَبَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
turned into a rout because of a devastating downpour.	به خاطر رگباری شدید و ناگهانی پراکنده شد.	تندَ رگی خونِ ایدَفَعی آپَرکییَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
arranged it for the future schoolroom.	آنجا را برای این که در آینده هم کلاس درس ما بشود مرتب کردم.	ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I am a priest and therefore I ought to be above suspicion	من کشیشم و باید از هر سوءِظنی مبرا باشم.	از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
still lying on the staircase six steps below him.	هنوز با هری شش پله فاصله داشت.	هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
watched the horse's action for the space of three minutes	سه دقیقه تمام چشم به حرکت اسب دوخت	سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but I thought grief was something you felt anyway.	ولی فکر کردم غم و غصه چیزیه که بهر حال به آدم دست میده.	ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
went up the staircase to a door in a corridor.	از پلکان بالا رفت تا در راهرو به دری رسید.	پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
though with but small success for their pains.	هر چند این همه زحمت اجری در خورد نیافت.	هر چن کْ هده زحمت مْزی نِداری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
on his day of sentence that she, his mother, would report the samefor him.	تا به هنگام اعلام رأی دادگاه در کنار او باشد و شخصا جزئیات آن را برای روزنامه گزارش دهد.	دادگاه رای اِلامی موقو چِه وَر مَندَه بْب و اْشتَن چی جزئیاتی روزنومَه را گزارش بدَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but sent an intermediary to arrange the terms of the separation	در نتیجه وکیلی را واسطه فرستاد تا ترتیب جدایی او را از او بدهد.	در نتیجَه وکیلی گِتشَه تا اَوون یَندی کو سیفا آکره.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
which if true I take to be good evidence that this harpooneer is stark mad	چون اگر راست باشد من یقین دارم این زوبین انداز دیوانه محض است	اْم اَگَه راس بْبو از یقین دارْم کو ام تیر کمونَه ویدار پی پْش بْبو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
for I have never had such need of haste before.	چون قبلاً هرگز این همه نیاز به شتاب کردن نداشتم.	چیمی بَه نار اْندَچی نِپیما کو تاو دَلَکیم.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
at the orders her husband left her	از دستوری که شوهرش به او داد	فْرمونی کو چِه شو اَی دوعَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
look around me with some interest on the strange land that I was in.	به کنجکاوی و دقت در زمین عجیبی که افتاده بودم دور و بر خود را نگاه کردن.	کنجکاوی و دَقَتینَه، عجیبَ زمینی ک بَلَکِما چه دایر و کناری دییِشتْمَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
lay down on his back on the heap of stones.	به پشت بر کپهء سنگ دراز شد	پِشتی نه سْنگَه کوئَه سری خْتَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I was never supposed to see him again!	قرار نبود دوباره او نو ببینم	قرار نییا هَنی اَی بْوینیم.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
or rather him who will no longer be my servant to morrow	که از فردا دیگر ملازم من نخواهد بود	سَبا دِ چْمْ تَکی مَندَه مَبو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
but in her heart she had never given him up, as though, indeed, he had been her son.	اما در قلبش هرگز او را رها نکرده بود درست مثل این که جوان واقعا پسر خود او بود.	امَا اشتَن دیل دِرِه هرگز اَی وَیلش آکَردَه نیا. دْرْس مث اْمکو اَ جوون واقیعا خوبَه زوعَه اییا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
as if they were forced to let him say it.	انگار ناچار بودند بگذارند او حرفش را بزند.	انگار مجبورینا بَهَرزین اَع اشتَن لوعَه بکَره.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
that is why I hastened to you.	این است که من به خانه شما دویدم.	اْمَه کو از تْلیمَه شومَه کَه را.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I don't wanta talk about it no more,	نمیخوام دی گه راجع به این موضوع حرف بزنم	نِخام دِ ام موضوع بارَه لوعَه بْکَرْم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
that's how it is the whole level of husbandry has fallen.	برای همین است که سطح کشاورزی سقوط کرده.	همی سَرَفایَه کو کیشاورزی سطح اومَه جیر	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I should warn youit's bigger than this room.	باید بهت هشدار بدم از این اتاق هم بزرگ تره	پی تْ هشدار بدَم ام اتاقی کو نی پیللَه تَرَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
for herself and the children she employed a physician.	برای خود و فرزندانش پزشک استخدام کرده بود.	اْشْتَرا و اْشتَن خْردون را دکتر گِتَشا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
she did everything possible to keep the places at the table of honor in order	تا جایی که مقدور بود موفق شد میز مقامات مهم را آماده کند.	دا جایی کو بی موفق بِه پیله مقاماتون میزی آمادَه آکر	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
a recompense to you for his mother!	جبران وجود نحس مادرش را بکند!	اشتن ما نَسَ وجودی جبران بکر	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
he went down that night.	برای همین شبانه به آنجا رفت.	هْمیرا شَوونَه شَه ها	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
spurred his horse and galloped into the river.	خود مهمیزی به اسب زد به جانب رودخانه رفت.	اسبی نْخْتَه پِکَردْشَه شَه رْواری را	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I had already broken out into a desolate cry, and felt an orphan in the wide world.	در این هنگام من گریه یاس را سر دادم و خود را در این دنیا یتیم و تنها یافتم.	اْم موقی کو ناامیدینَه بْرَمو کردْمَه و اْشتَن ام دنیا کو یتیم و تَنخا ویندْمَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I still humming my little tune.	من هم به زمزمه کردن خود ادامه دادم.	من نی چْمْ چْپْع چْپْع ایدامَه دوعَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
ice cubes on her head	چند تکه یخ را داخل دستمال ریخت و روی سر او گذاشت.	چن پَلَه یَخْش دَسمالی دِلَه دَکَردَه و چه سری پِنوشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
she used it to push out her son's photograph.	کشید و از آن برای بیرون آوردن عکس پسرش استفاده کرد.	دَکَشْشَه و اَی کو اْشتَن زوئَه عَسکی بَرونتِه را ایستْفادَه کردْشَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
you reckoned on a bickering!	تو پیش خود خیال کرده بودی که جنگ کوچکی با من بکنی!	تْ اْشتْ وَر دِ فیکر کردا کو روکَه جنگی مْنَه بْکَریش	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I should be given a small room as a favor	از نظر ترحم نیز اتاقی به من خواهند داد.	دْلَه سونینَه ایلَه اتاق نی مْن آدَن.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
than either a bullet or a knife.	بهتر از اسلحه و گلوله سراغ دارم	اسلَحَه و گوللَه کو بهتر آزونْم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
once you've had that first taste	هرکسی که یه بار طعم شهرت رو بچشه	هر کس کْ ایی دَفَه شوهْرَتی طَمی چَشَش بْبو	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
or trying to snatch an hour or so of sleep	یا سعی کند در آن حال و هوا یکی دو ساعتی بخوابد	یا سَی بْکَر اَ حال و هوا دیلَه کو یَکی دْ ساعتی بْخسْه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
just as if nothing had happened.	گویی اصلاً اتفاقی نیفتاده است.	مْرا چه مونی هیچ ایتفاقی دَلَکَه نییا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
a proposition which I was wrong to suggest and he quite right to refuse	این تکلیفی بود که در حقیقت من حق نداشتم و او حق داشت که قبول نکرد	ام تکلیفی یا کو حَیقَتی از حق نداریم و اَ حق داری کو قْبولْش نِکَردَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
tearing both skin and clothes to some extent in the effort.	با این کار قدری از پوست و لباسش دریده شد.	ام کارینَه بیجَه تی چه پوس و خَلا پِزِرَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I shall have to toil and moil all my days	من سرنوشتم اینست که تمام روز را جان بکنم و رنج ببرم	چم سرنیویس اْمَه کو ام درازَه روزی جان بْدَم و سختی بْکَشْم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
it's the hand of a man that's started in on a new life, and'll die before he'll go back.	دسته آدمیه که زندگی تازه شروع کرده و ترجیح می ده که عزرائیل جونشو به گیره تا دو مرتبه بی عاری کنه.	ایی آدمی دَس دَرییَه کو تازَه شروع کردَشَه و حاضْرَه مَلْکَموت چه جانی ویگِرْه ک تا دْوارَه بی عاری بْکَرْه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
as earnestly tried to prevent any body's eating it.	بعدش هم سعی کرده بود جلو دیگران را بگیرد تا کیک را نخورند.	بَد نی سَی کَردَشا بقیَه ناری بیگِره کو کیکی مَهَرن.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I'm not really in trouble until I see the whites of their eyes.	تا وقتی سفیدی چشماشون معلوم نشده من مشکلی ندارم.	تا وختی چَوون چِمی ایسبینَه بَرومَه نییَه از مشکلی نِدارْم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I hadn't expected to be myself.	من انتظار نداشتم که خودم باشم.	از اینتْظار نِداریم کو اشتَن بْبیم	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
for, although she was only eight years old	زیرا که هرچند بیش از هشت سال نداشت	هر چند کو هَش سال ویشتَه نِداری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
both of them could not be first, for the ladder would but admit one man at a time.	اول باشند چون نردبان جز برای عبور یک نفر راه نداشت.	پی اول ْببون چون کْ سْردْ ویشتر از ایی نفری بَرشِه را راه ِنداری	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
was a point of painful solicitude	خودش مایه نگرانی و دلشوره بود.	اشتن باعیث نیگرونیو و تَوشیشا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
walked slowly up and down on the outer side of the sweetbriar fence	پشت نرده شروع کرد به بالا و پایین رفت.	سْردْ پِشتیکو شرو کردْشَه جیرو کفا شِه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
naught was there but bones.	هیچ چیز به جز استخوان آنجا نبود.	هیچی جز خاش ها نوعَه نییا	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I look helplessly around the table.	من به دور و بر میز نگاهی انداختم.	میزی دایرو وَری دییِشتِه ایی کردمَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
not even the length of time he had been imprisoned	حتی مقدار زمانی را که در او محبوس مانده است	زمونی کو ها کو سَخت آبَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
dragged him to the house.	او را به سوی خانه کشانید	اَی دَکَشْشَه کَه را.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
you'll be the first to know.	شما اولین کسی خواهید بود که از آن با خبر شوید.	شومَه اولین نفری بَه کو ای کو خوَردار بَه.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
I told you I ain't no preacher	به شما گفتم که من دی گه کشیش نیستم.	شومَه نَه واتْمه اَز دِ کشیش نیمَه	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
seemed to be somewhat longer than my middle finger.	ظاهراً از انگشت میانه من اندکی بلندتر بود.	فْک کَرم چْمْه مین نَه اَنگیشْتَه کو روکَه تِی دراز تَرا.	Southern Talysh	Fuman	Farsi (diacriticized)	MAN	
