en_sentence	fa_sentence	translation	variety	county	orthography	translator	9797
tracking animals and finding water.	حیوانات را به دام اندازد و آب پیدا کند.	بکەفیەڵ شوون حێڤۆنەل تا ئەڵ ئەو بتەتێ.	Pehley	Pahleh	Southern Kurdish	EK	
I quitted the chamber.	بدین قصد اتاق را ترک گفتم.	ڤەی مدووە یەتم ئەودەر.	Pehley	Pahleh	Southern Kurdish	EK	
I read the note	من یادداشت را خواندم	م نیسەنە خوەنم.	Pehley	Pahleh	Southern Kurdish	EK	
had come home.	اینک بازگشته بود.	ئاخرسەر گلئەوردووییەو دما.	Pehley	Pahleh	Southern Kurdish	EK	
I'd still got plenty of money in the bank, nearly two hundred quid	پول نسبتاً زیادی در حدود 200 پوند در بانک داشتم	یەێ منەت پیل نزیکەی 200 پوند دە بانک داشتم.	Pehley	Pahleh	Southern Kurdish	EK	
you would make me weep, if such a thing were possible.	که از غصه نزدیک است که گریه کنم.	ک ئەژ خوسەت ڤەخت بی بگریڤم.	Pehley	Pahleh	Southern Kurdish	EK	
we came to a long kind of building, made of timber stuck in the ground	به بنائی رسیدیم که از چوب ساخته بودند و الوار را در زمین فرو برده بودند	ڤە سازەیێ ڕەسیمن ک ئەژ چوو درس کردوویین و چووەل دە زەمین چکەنوویین.	Pehley	Pahleh	Southern Kurdish	EK	
I mean real fighting.	منظورم جنگ واقعیه.	مەبەست م شەڕ ڕاسەکۆنییە.	Pehley	Pahleh	Southern Kurdish	EK	
I opened the book at random, as she proposed	من همونطور که خودش خواسته بود کتابو واکردم.	م هێ ئەوجوورە ک خوەی خوەسوویی کتەوە ڤازکردم.	Pehley	Pahleh	Southern Kurdish	EK	
took us for ghosts or devils	ما رو جای جن یا غول گرفته.	ئێمە ڤەجای جن و خووڵ گرتیە.	Pehley	Pahleh	Southern Kurdish	EK	
lingered on the matting, that she might leave her husband quite free.	در آستانه در ایستاد تا شوهرش را آزاد بگذارد.	دە ڕۆنەی ڤووسیا تا مێردەی ڕاحەت بوو.	Pehley	Pahleh	Southern Kurdish	EK	
I glanced over my shoulder	سرم را برگردانیدم	سەرم ئەڵپلەنم	Pehley	Pahleh	Southern Kurdish	EK	
yes nothing more true	آری الماس را تمام به خودمان داد	ئەرێ، هیچ ئەژ یە درستر نیە.	Pehley	Pahleh	Southern Kurdish	EK	
the old man is as surly as a dog.	پیرمرد اخلاق سگ را پیدا کرده است.	پیرەمێر کردار گەماڵ گرتیەسە خوەی.	Pehley	Pahleh	Southern Kurdish	EK	
we were soon skimming swiftly over a smooth sea.	ما به زودی قایق را روی دریای صاف و شفاف به حرکت درآوردیم.	ئێمە دەئاخر قایقە ئەڵڕی دەریای زڵاڵ و ئسپی جمەنیمن.	Pehley	Pahleh	Southern Kurdish	EK	
extorting almost as much outward homage	چنان از زیردستان خود توقع احترام دارند	ئێچە ئەژ ژێردەسەل خوەیۆن چەوەڕێ ڕێز و حورمەتن.	Pehley	Pahleh	Southern Kurdish	EK	
I can't move in with you.	نمی تونم با تو همخونه به شم	نێتۆنم ئەگەرد تو همماڵ بووم	Pehley	Pahleh	Southern Kurdish	EK	
the hour, the circumstances,the surroundings,were in keeping with it.	ساعت و اوضاع و احوال و دور و بر همه با این کار سازگار بود.	ساعەت و ڤەژ و ئەحواڵ و دەوروڤەر گرد ئەگەرد ئێ کارە یەک دگرتن.	Pehley	Pahleh	Southern Kurdish	EK	
as steadily declared his intention of offering her his hand.	بعد هم با پایمردی کامل اعلام کرد که از کاترین تقاضای ازدواج خواهد کرد.	ئێمداڵیش ڤە جوانمێری تەمۆم ڤت ک ئەژ کاترین خوازەمەنی کەرێ.	Pehley	Pahleh	Southern Kurdish	EK	
the doors were propped open to let in the balmy air.	درها باز نگه داشته شده بودند تا هوای خنک وارد شود	دەرەل ڤاز هێشتوویین تا هوای هنک بیاێەو نەو	Pehley	Pahleh	Southern Kurdish	EK	
but she declined availing herself of it	اما دختر با سر اشاره کرد که خواهد ایستاد.	بەڵم دوتەکە ڤە سەر ئاماژە دا ڤووسێە سەر پا.	Pehley	Pahleh	Southern Kurdish	EK	
took a series of large bites, which finished his first hunk of bread and butter	چند جرعه بزرگ چای نوشید و به این ترتیب کلک لقمه او را کند	چەن لێڤان گەپ چۆی خوارد و ئێچەنەیش لقەی ئەڤیش برد.	Pehley	Pahleh	Southern Kurdish	EK	
but to me it's an extra hour scrubbing!	اما برای من یک ساعت ساییدن اضافیه!	بەڵم ڤەر م یەک ساعەت سایەنن زیادییە.	Pehley	Pahleh	Southern Kurdish	EK	
I pinched my arms and sides to awake myself	بازوها و پهلوهای خود را نیشگون گرفتم	ئەژ باڵ و پەهلییەل خوەم قورینجک گرتم	Pehley	Pahleh	Southern Kurdish	EK	
ask about some socks.	من که جوراب لازم ندارم.	م ک گورەڤی نێخوازم	Pehley	Pahleh	Southern Kurdish	EK	
from the indulgence of our passions, and	که ناشی از افراط در احساسات است	ک ڤەخاتر ئفرات دە ئحساساتە	Pehley	Pahleh	Southern Kurdish	EK	
one of the upper teachers	صدای یکی از آن سه معلم عالی رتبه بود.	دەنگ یەکێ ئەژ ئەو سێ ماموستای پایە بەرزە بی	Pehley	Pahleh	Southern Kurdish	EK	
whether or not the sun is to be divided and portioned out	آیا باید نشان آفتاب را که رقیب بر سینه خود منقوش دارد با شمشیر به دو نیم کرد	ئایا ڤاسا نشۆن ئەفتەو ک ڕەقیب ئەڵ ڕی سینەی خوەی ئەوردیە ئەگەرد شمشێر کردە دوو کوت؟	Pehley	Pahleh	Southern Kurdish	EK	
to saddle them	زینش بک نه	تا زینۆن بکەرێ	Pehley	Pahleh	Southern Kurdish	EK	
I thought you would be hopeless	انتظار داشتم ناامید باشید	چەوەڕێ بیم بێ ئمێد بوون	Pehley	Pahleh	Southern Kurdish	EK	
looked at it a moment	یک لحظه به آن نگاه کرد	یەک لەحەزە سەیری کرد	Pehley	Pahleh	Southern Kurdish	EK	
I'm saying nothing.	من هیچی نگفتم.	م هیچ نەڤتم	Pehley	Pahleh	Southern Kurdish	EK	
to contradict this statement	که این شایعه را تکذیب نمایید.	ک ئێ شایعە ڕەد بکەرن	Pehley	Pahleh	Southern Kurdish	EK	
then pushed the paper a little way from him	آنگاه کاغذ را اندکی از خود دور کرد	ئێمداڵ قاخەسە کەمێ ئەژ خوەی دیر کرد	Pehley	Pahleh	Southern Kurdish	EK	
as an unqualified fact because no one shared her doubts.	زیرا دید که هیچ کس در شک و تردید او با وی سهیم نیست.	ڤەرخاتر یە ک دی هیچکەس دە شک و گۆمۆن ئەگەری همڤیر نیە	Pehley	Pahleh	Southern Kurdish	EK	
only fastening one of my legs with a chain, near my bed	تنها یکی از پاهایم را با زنجیر به تخت خواب بستند	تەنیا یەکێ ئەژ قولەلم ئەگەرد زەنجیر ڤە تەخت خەو ڤەسین	Pehley	Pahleh	Southern Kurdish	EK	
I beseech you to let me bring him here.	التماست می کنم که بگذاری اینجا بیاورمش.	لاڕکم ئەڵەت ک بیلی بیارمەی دەیرە	Pehley	Pahleh	Southern Kurdish	EK	
I must have, I suppose.	گمانم جوابش مثبت باشد.	گۆمۆن کەرم جواوی مسبەت بوو	Pehley	Pahleh	Southern Kurdish	EK	
to enjoy the sport of the search.	در لذت و هیجان این کشف شریک آنان گردم.	دە لەزەت و کەیف ئی کەشفە ئەگەردۆن همبەش کردم	Pehley	Pahleh	Southern Kurdish	EK	
when he's had the impudence to show it at the last.	آن هم وقتی با پررویی تا نزدیک مردنش صبر کرد.	ئەڤەیش ڤەختێ ڤە ڕیداری تا نزیک مەردمی چەوەڕێ مەن.	Pehley	Pahleh	Southern Kurdish	EK	
these noises meant no more than the chiming of a dull clock in the distance, marking the hours of the night.	این صدا معنای دیگری جز طنین آرام ساعتی که از دور وقت را اعلام کند نداشت.	ئێ دەنگە ڤاتای ترێ جگا ئەژ دەنگ ئارۆم ساعەتێ ک ئەژ دیر زەمۆن ئەشێ نەداشت.	Pehley	Pahleh	Southern Kurdish	EK	
I'll cure myself of this.	خودم را از این حال علاج کنم.	خوەم ئەژ ئێ ڤەزە فک بکەرم.	Pehley	Pahleh	Southern Kurdish	EK	
she loved him	دوستش داشته باشد	دووسی باشتوو	Pehley	Pahleh	Southern Kurdish	EK	
I stick out my hand and hail a taxi	تاکسی صدا زدم	تاکسی دەنگ کردم	Pehley	Pahleh	Southern Kurdish	EK	
that the tunnel is of magical origin and can only be closed magically.	گفتیم که تونل منشأ جادویی داره و فقط با جادو بسته می شه.	ڤتیم ک توونڵەکە سەرچەوەی جادوویی دیرێ و تەنیا ئەگەرد جادوو ڤەسە دوو.	Pehley	Pahleh	Southern Kurdish	EK	
but if he robs his fellows there is no honor in him	کسی که از برادرش چیزی بدزدد هرگز شرف ندارد.	کەسێ ک ئەژ برانگەی چیئێ بدزێ هیچڤەخت شەرەف نێرێ.	Pehley	Pahleh	Southern Kurdish	EK	
I am dreadfully afraid.	از این موضوع سخت نگرانم.	ئەژ ئێ بابەتە فرە دڵنگەرۆنم	Pehley	Pahleh	Southern Kurdish	EK	
upstairs almost all the rooms were finished.	اشک وب بالایی تقریبا تمام شده بود.	تەبەقەی بۆنین ڤە نزیکییەو گرد ئتاقەل تەمۆم بین.	Pehley	Pahleh	Southern Kurdish	EK	
whom they found in the cloisters in conversation with one of the nuns	او را در رواق صومعه یافتند که با یکی از زنان راهبه به صحبت مشغول بود	ئەڤی دە ڕەواق سوومعە پەیداکردن ک ئەگەرد یەکێ ئەژ ژنەل ڕاهبە داشت دەمەتەقە دکرد.	Pehley	Pahleh	Southern Kurdish	EK	
the house lay before us.	خانه رو به رویمان قرار داشت.	ماڵەکە دە ڕیڤەڕیمۆن بی.	Pehley	Pahleh	Southern Kurdish	EK	
I desire that thou seat thyself here at my side and in the company of these worthy people	من میل دارم که تو همین جا در جوار من و در مصاحبت این نیک مردان بنشینی	م دووس دیرم ک تو دەیرە و دە لای م و دە جەرخەی ئێ جوانمێردلە بنیشی.	Pehley	Pahleh	Southern Kurdish	EK	
that was his style	سبک او این بود	شێڤاز ئەڤی یە بی.	Pehley	Pahleh	Southern Kurdish	EK	
they hardly heeded this detail.	واقع آنست که چندان توجه با ین تفصیل نکردند.	ڕاستین یەسە ک ئیقەرە سەرینجە نەدا ئێ پرسە.	Pehley	Pahleh	Southern Kurdish	EK	
one single soldier left behind	سرباز دیگری جلوتر بود.	سەرڤاز ترێ ئەونواتر بی.	Pehley	Pahleh	Southern Kurdish	EK	
was folded one over another.	تا شده بود.	تا بوویی.	Pehley	Pahleh	Southern Kurdish	EK	
he's not a hero!	یک قهرمان بزرگ نیست	قەرەمۆن گەپێ نیە.	Pehley	Pahleh	Southern Kurdish	EK	
indispensable to hostesses.	کمک حالی واجب برای بانوان میزبان.	دەسمەتیدەر هەڤەجەدارێ ڤە ژنەل مێزبان.	Pehley	Pahleh	Southern Kurdish	EK	
a doublebarreled shotgun clutched in both hands.	اسلحه دولول را بادو دستش محکم گرفته بود.	تفەنگ دوولیلە ئەگەرد دوو دەسی سفت گرتوویی.	Pehley	Pahleh	Southern Kurdish	EK	
I believe absolutely in my own free will and my own power to accomplish and that is the belief that moves mountains.	من کام لا به آزادی اراده و توانایی خودم برای دست یابی به موفقیت معتقدم.	م تەمۆمەن ڤە ئازادی هزر و توانای خوەم ڤەر سەرکەفتن بیین بەوڕمەندم.	Pehley	Pahleh	Southern Kurdish	EK	
there are a good many hours between this and to morrow	از حالا تا فردا وقت بسیار است	ئەژ ئێمکە تا سوو ڤەخت فرەو.	Pehley	Pahleh	Southern Kurdish	EK	
I didn't recognize the male voice, fierce and deep	صدای خشم آلود و عمیق مردانه را نشناختم.	دەنگ تووڕەیی و قیل پیاوۆنە نەشناختم.	Pehley	Pahleh	Southern Kurdish	EK	
bright world to somewhere where everything was stupid and confused.	که باید از این جهان روشن و خوب به مکانی برود که در آنجا همه چیز تاریک و آشفته و درهم برهم است.	ک ڤاسا ئەژ ئێ دنیای ڕووشن و خووە ڤەرەو جایێ بچوو ک دەورە هەمەچی تەریک و شت شێڤیایەو.	Pehley	Pahleh	Southern Kurdish	EK	
it probably smelled good to everyone else.	قاعد تا به نظر بقیه بوی خوبی بود.	قاعدەتەن ڤە لای بەقییە بووی خوویێ بی.	Pehley	Pahleh	Southern Kurdish	EK	
as we said	همان طوری که گفتیم	هێ ئەوجوورە ک ڤتیمن.	Pehley	Pahleh	Southern Kurdish	EK	
I assured him that this whole globe of earth must be at least three times gone round before one of our better female _Yahoos_ could get her breakfast, or a cup to put it in.	ارباب را مطمئن کردم که یک کشتی دست کم باید سه دور این کره زمین را بپیماید تا بتواند چاشت یکی از ما بهتران یعنی یک یاهوی مؤنث یا شراب او را فراهم کند و تنها در این صورت اجازه دارد که وارد بندرگاه شود.	سەرووک دڵقایم کردم ک یەک کەشتی لانیکەم ڤاسا سێ دەور ئێ بازنەی زەمینە ئەڵبێ تا بتۆنێ نۆن یەکێ ئەژ ئێمە بیتر ڤاتە یەک گلە ئۆهی مایینە یا شەراو ڤە دەس بیارێ و تەنیا دەی حاڵەتە ئەجازە دیرێ ک بیاێە نەو بەندەرگا.	Pehley	Pahleh	Southern Kurdish	EK	
when I got round to him, not he.	من وقتی بالای سرش رفتم	م ڤەختێ چیمە بۆن سەری.	Pehley	Pahleh	Southern Kurdish	EK	
I think anything out of the ordinary routine of life well worth reporting.	به نظر من هر چیزی خارج از روال معمولی زندگی ارزش اطلاع دادن را دارد.	ڤە ڕای منەو هەرچیێ ئەودەر ئەژ چەرخەی هەمیشەیی ژیان نرخ زانیاری داین دیرێ.	Pehley	Pahleh	Southern Kurdish	EK	
I heard a rustling there.	صدای خش خشی از داخل اشکاف شنیدم.	دەنگ خشەخشێ ئەژ دەورە ئژنەفتم.	Pehley	Pahleh	Southern Kurdish	EK	
he carried nothing but his revery, however.	هیچ بار جز بار تخیلات خود بر سر نداشت.	هیچ بارێ جگا ئەژ بار خەیاڵەل خوەی دە سەر ناشت.	Pehley	Pahleh	Southern Kurdish	EK	
but that he had it and peace completeand secure.	بلکه به آن ایمان و آن آرامش و اطمینان دست یافته است.	بەڵکەم ک ڤەو ئیمۆن و ئەو ئارامش و ئەو دڵقایمییە ڕەسییە.	Pehley	Pahleh	Southern Kurdish	EK	
she and I were alone.	من تک و تنها پهلوی او بودم.	م تەک و تەنیای دە لای بیم	Pehley	Pahleh	Southern Kurdish	EK	
I may count on you	من به شما اطمینان دارم.	م ڤە ئێڤە بەوڕ دیرم.	Pehley	Pahleh	Southern Kurdish	EK	
replied the man	مرد جواب داد	پیا جواو دا.	Pehley	Pahleh	Southern Kurdish	EK	
kissed each of the two large tears.	هر یک از دو قطره اشک بزرگ را بوسید	هەر دک ئەو ئەسرەل قەڤینە ماچ کرد.	Pehley	Pahleh	Southern Kurdish	EK	
I'm the servant girl.	من دختر کلفت.	م دوت دڵدارێکم.	Pehley	Pahleh	Southern Kurdish	EK	
I stare at her	او را کمی برانداز کردم.	کەمێ چەو ئەڵەی خڕ دام.	Pehley	Pahleh	Southern Kurdish	EK	
I bet it is.	راستی هم که.	مەرج دنم ک خوەیە.	Pehley	Pahleh	Southern Kurdish	EK	
for his madness is amusing	دیوانگی او مفرح است بر خلاف این یکی	شێتییەکەی موفەڕەحە ڤەچواشەی ئێ یەکە.	Pehley	Pahleh	Southern Kurdish	EK	
I wasn't in a very good mood	حال و روزم خوب نبود	حاڵ و ڕووزم خوو نەڤی،	Pehley	Pahleh	Southern Kurdish	EK	
they would not be able to spare enough warm bodies to man the plows.	تا نیروهایشان را تحکیم بخشند و در آوریل یا مه سال بعد.	تا ئازەل دە ئاپریل یا مەی ساڵ تر پتەوترەو بکەرن.	Pehley	Pahleh	Southern Kurdish	EK	
a great readiness to be pleased with other people.	زود از هر کسی خوشش بیاید.	زی ئەژ هەرکەسێ خوەشی بیاێ.	Pehley	Pahleh	Southern Kurdish	EK	
when he laid his hand upon my arm.	وقتی دست روی بازوی من نهاد	ڤەختێ دەس نا ئەڵسەر باڵم	Pehley	Pahleh	Southern Kurdish	EK	
but as far as I know the facts, I can't.	اما تا آنجا که من از ین امور اطلاع دارم این عمل سهل و ساده نیست.	بەڵم تا ئوورە ک م بزۆنم ئێ کارە ساف و سادە نیە.	Pehley	Pahleh	Southern Kurdish	EK	
surprised everyone by joining in the conversation about mushrooms.	با شرکت در گفتگوی مربوط به قارچ همگان را به حیرت انداخت.	ڤە بەشداری دە دەمەتەقەی پێڤەندیدار ڤە خارچک گرد سڕ کرد.	Pehley	Pahleh	Southern Kurdish	EK	
I thought all this very pretty and engaging	این وضع به نظرم بسیار بدیع و زیبا رسید.	ئێ ڤەزە دە نوورگەی منەو فرە خوو و ڕەنگینە.	Pehley	Pahleh	Southern Kurdish	EK	
they sat down.	پس هر یک در محلی نشستند.	پەس هەر یەک دە جایێ نیشتن.	Pehley	Pahleh	Southern Kurdish	EK	
that he was so to regard it.	او باید این انتصاب را به مین نحو تلقی کند.	ک ئەڤی فرە دە ڤەر چەوی بی.	Pehley	Pahleh	Southern Kurdish	EK	
I just remembered that today's my birthday.	یه دفعه یادم افتاد امروز روز تولد مه.	یەکدەفعە کەفتە ڤیرم ئیمڕوو ڕووژ ڤەدی یەتنمە.	Pehley	Pahleh	Southern Kurdish	EK	
it's no use now.	الآن بی فایده است.	ئێمکە بێ فایدەو.	Pehley	Pahleh	Southern Kurdish	EK	
don't touch me don't!	دست به من نزن ین	دەسەم نین.	Pehley	Pahleh	Southern Kurdish	EK	
I apologise if I seemed critical.	معذرت می خوام اگه سرزنش کننده به نظر رسیدم.	بوەخشی ئەر سەرزەنشکەر یەتمە ڤەر چەو.	Pehley	Pahleh	Southern Kurdish	EK	
listening to their footsteps dying away.	تا این که صدای پایشان کاملاً دور شد.	تا یە ک دەنگ گومناینۆن تەمامەن دیر بی.	Pehley	Pahleh	Southern Kurdish	EK	
waited for the portrait hole to open.	جلوی حفره منتظر ماند تا در باز شود.	نوای کوناکە چەوەڕێ مەن تا دەرە ڤاز بوو.	Pehley	Pahleh	Southern Kurdish	EK	
if by any devilishness of desperation possible, seize the ship.	اگر ممکن شود با هر شیطنت زاییده از یأسی کشتی را تسخیر کنند	ئەگەر بتۆنێ دەس ڤە هەر کار گەنێ ڤەرێ تا کەشییە ڤاگیر بکەرێ.	Pehley	Pahleh	Southern Kurdish	EK	
I just want to have sex!	فقط دلم هوا تو کرده	تەنها دڵم کەفتیەسە هووڵت	Pehley	Pahleh	Southern Kurdish	EK	
I was in the box room at the time	آن موقع من توی انباری بودم	ئەوڤەختە م دە ئەمباری بیم.	Pehley	Pahleh	Southern Kurdish	EK	
so you will excuse me if I don't let you off homework today.	بنابراین امیدوارم منو ببخشی که نمی تونم تو رو از انجام تکالیف امروز معاف کنم.	کەڤاتە ئمێدڤارم بوەخشینەم ک نێتۆنم تو ئەژ کارەل ماڵ ئێمڕووژت فک بکەرم.	Pehley	Pahleh	Southern Kurdish	EK	
but once again, nothing came out of his mouth but a very large bubble.	اما این بار هم صدایی از دهانش خارج نشد و فقط یک حباب بسیار بزرگ از دهانش بیرون آمد.	ئەمانێ ئێ گلە هەم دەنگێ ئەژ دەمی نەت ئەودەر و تەنیا حوباب گەپێ ئەژ دەمی یەتەو دەر.	Pehley	Pahleh	Southern Kurdish	EK	
fastened one end of the rope tightly and firmly round it	یک سر طناب را محکم به آن بست	یەک سەر تەنافە محکەم ڤەس ڤێ.	Pehley	Pahleh	Southern Kurdish	EK	
I never even looked for where they were venting the tank!	مخزن روپیداکنم هیچ وقت به فکرم نرسید محل تخلیه.	من هیچڤەخت ئەو جایێ ک تانکرە خاڵی دکردن فێر نەکردم.	Pehley	Pahleh	Southern Kurdish	EK	
recently occupied and temporarily used.	به ظاهر اخیرا و به صورت موقت مورد استفاده قرار گرفته بود.	ڤە شێڤاز تازەگی و ڤە شێڤاز کاتی ئەژەی کەڵک گیریایی.	Pehley	Pahleh	Southern Kurdish	EK	
I don't like to lie	من دوست ندارم دروغ به گم	م دووس نێرم دروو بەشم.	Pehley	Pahleh	Southern Kurdish	EK	
suddenly the elevator seemed no more than telephone booth size, then coffin size.	به نظرش رسید که اطاقک آسانسور به کوچکی باجه تلفن و بعد به کوچکی یک تابوت شد.	ئێچە بی ڤەری ک ئتاقەل ئاسانسوور چەنە باجەی تلیفۆن و دماتر چەنە قەورێ کوچک بوویی.	Pehley	Pahleh	Southern Kurdish	EK	
she dropped to the cushioned seat with a little cry.	ربرتا با جیغ کوتاهی خود را روی صندلی نرم بلم انداخت.	ڕۆبرتا ڤە کێژەی کوچکێ خوەی خس ئەڵ سەر ڕینیشەی بڵم.	Pehley	Pahleh	Southern Kurdish	EK	
so now you know.	بهتر است تو هم این را بدانی.	بێترە تونیش یە بزۆنی،	Pehley	Pahleh	Southern Kurdish	EK	
he had given orders to fit up, with my own assistance and direction.	او فرمان داده است که آن را بیا ری و راهنمائی من مجهز کنند.	ئەڤی فەرمان دایە ک بیارینەی و ڕێنمایی من مجەهەز بکەری.	Pehley	Pahleh	Southern Kurdish	EK	
so since we have really been friends for the last eleven years	زیرا شبهه نخواهید داشت که ده سال است که ما با هم دوست هستیم	ک ئیمە هێچنەیش یازدە ساڵە ک ئەگەرد یەک همڕییمن.	Pehley	Pahleh	Southern Kurdish	EK	
how she would love him become quite different	چگونه او را دوست خواهد داشت و چگونه تمام صفات و خصایل او کام لا تغییر خواهد یافت	چتەو ئەڤی دووس دیرێ و چتەو گرد سفەتەل و کردارەل خوویی گرد ئاڵێشت دوو.	Pehley	Pahleh	Southern Kurdish	EK	
took a little of the excitement out of me.	کمی از آن حالت خشم هیجان آمیز من کاست.	کەمێ ئەژ ئەو تووڕەیی هەیەجانی منە کەم کرد.	Pehley	Pahleh	Southern Kurdish	EK	
she is so very unreasonable.	خانم خیلی آدم نامعقولی است.	خانم فرە نامەعقووڵێکە.	Pehley	Pahleh	Southern Kurdish	EK	
then all the young clerks in town in a body	بعد تمام کارمندان جوان ادارات به اتفاق	دماتر گرد کارمەندەل جوان ئدارەل ڤە پێشیەت.	Pehley	Pahleh	Southern Kurdish	EK	
when the front door opened	که در کلبه باز شد	ڤەختێ دەر کوڵبە ڤاز بی.	Pehley	Pahleh	Southern Kurdish	EK	
because unexpected and from the person whose commendation she most valued.	زیرا هم خیلی غیرمنتظره و هم این که از طرف کسی بود که ستایش و تعریفش برای جو خیلی ارزش داشت.	ڤەریە ک هەم فرە یەکدەفەیی بی و هەم یە ک ئەژلایەن کەسێ بی ک هاندەری و هواخوازی ئەڤی ڤەری فرە ڤەنرخ بی.	Pehley	Pahleh	Southern Kurdish	EK	
they have for their venial offences whatthey call the coulpe.	برای گناهان کوچک مراسم اعتراف دیگری دارند موسوم به کیفر	ڤەر گوناهەل کوچک ڕێوڕەسم ئعترافگیری تری دیرن ڤە ناو کەیفەر.	Pehley	Pahleh	Southern Kurdish	EK	
