en_sentence	fa_sentence	translation	variety	county	orthography	translator	4345
she went into his room to announce her determination.	به اتاق کار ورانسکی رفت تا او را از تصمیم خود بیاگاهاند.	بورده ورانسکی اتاق دله تا وره از کاری که خانه هاکنه حالی هاکنه	Central Mazani	Babol	Farsi	Vol_1	
looking round, asked if somebody would light him down the dark stairs.	برگشت و پرسید کسی نخواهد آمد که راه را برایش روشن نماید.	دور بزو و بپرسیه که هیچکی ناخانه بیه راه ره وره نشون هاده	Central Mazani	Babol	Farsi	Vol_1	
time had only strengthened in her absence	زمان در هنگام غیبت او از خانه آن را بیشتر تقویت کرده بود	وقتی که خنه دنیبیه وشون ره وی	Central Mazani	Babol	Farsi	Vol_1	
overwhelm her with joy	او را غرق شادی کند.	وِره خِشحالی دِله غرق هاکنه	Central Mazani	Babol	Farsi	Vol_1	
do not move!	تکان هم نخورید.	شه جا پِر نِرس	Central Mazani	Babol	Farsi	Vol_1	
in spite of this one great deviation from the strict rule of right.	هرچند که در این مورد از راه راست کمی منحرف شده.	هرچند که اَتا کَمه اینتا کاره دِله از راه راست کج بورده	Central Mazani	Babol	Farsi	Vol_1	
I have told you my wish	من به شما آرزوی خود را گفتم.	مِن شِمِسه شه اَرمون ره باوتِمه	Central Mazani	Babol	Farsi	Vol_1	
pursued the unfortunate baronet	بارو نت بینوا را دنبال کرد	اونتا بیچاره بدبخت ره دِمّال هاکرده	Central Mazani	Babol	Farsi	Vol_1	
I heard him say so.	من این حرف را خودم شنیدم.	اینتا گَپ ره مِن شه بشنوسِّمه	Central Mazani	Babol	Farsi	Vol_1	
that vulture the very creature he creates.	آن کرکس همان موجود است که او خود آفریده است.	اونتا کرکس وِنه دستِ بِزا هسته	Central Mazani	Babol	Farsi	Vol_1	
rose at his usual easy hour the next morning	در ساعت معمول هر روز از خواب برخاست	هرروز سروقت پِرسِنه	Central Mazani	Babol	Farsi	Vol_1	
he confessed, it is true, that he had confided his idea to some of his friends	باز یل اعتراف کرد که این نقشه خود را با تنی چند از دوستان جا نیش در میان نهاده بود	دِواره پل اقرار شه نقشه ره با چند تا از شه رَفِقون جانجانیش درمیون بِشته	Central Mazani	Babol	Farsi	Vol_1	
if he himself had said that	مگر نه این که خودش گفته بود	مگه این نیه شه باوته	Central Mazani	Babol	Farsi	Vol_1	
then an indistinct muttering, as of a man between sleep and awake.	سپس صدای خمیازه آدمی که بین خواب و بیداری در تقلا بود بلند شد.	بعد ازون خروپف آدمی خو و ویشاری دله هی تقلا کِرده بلند بیّه	Central Mazani	Babol	Farsi	Vol_1	
then open them again.	سپس دوباره چشمانم را باز کردم	دِواره شه چشه بعدازون وا هاکردمه	Central Mazani	Babol	Farsi	Vol_1	
because he hadn't any aunt.	آخه او خاله ندا ره.	آخه وِ خاله ناینه	Central Mazani	Babol	Farsi	Vol_1	
the water was a flat calm.	مثل آینه صاف بود.	وِنه دل مثل آینه روشن هسّه	Central Mazani	Babol	Farsi	Vol_1	
looked into the cabin.	داخل اطاقک را نگاه کرد.	طاقچه دله ره هارشیه	Central Mazani	Babol	Farsi	Vol_1	
drew his companions back again, with the greatest caution and circumspection.	با وضعی بسیار احتیاط آمیز رفقای خود را عقب کشید.	شه رفقون ره خله یواش یواش عقب بکشیه	Central Mazani	Babol	Farsi	Vol_1	
he said he knew how better than me and he did, too, because he's used to camping.	گفت این کار را بهتر از من بلد است و بلد هم بود چون به زندگی در اردو عادت دارد.	باوته وه اینتا کاره مدون بهتر بلده چون وِ جمع دله زندگی هاکردن عادت داینه	Central Mazani	Babol	Farsi	Vol_1	
administered to a young girl!	که به او خورانده شده بود	ونه قالب هاکردنه	Central Mazani	Babol	Farsi	Vol_1	
it is a whole solar system on the march.	ریاست روحانی به مثابه یک منظومه شمشی است که در حرکت باشد.	مِلّاون گت گتی مثل اتا منظومه شمسی هسّه که همش در تلاطم درنه	Central Mazani	Babol	Farsi	Vol_1	
he will never trouble anyone in this country again.	دیگر هرگز در این کشور مزاحم کسی نخواهد شد.	دیگه این کشور دله هیچکس مزاحم نوونه	Central Mazani	Babol	Farsi	Vol_1	
his voice echoing in the dark passage.	صدایش در راهروی خلوت پیچید.	ونه ونگ و وار ساکت سالن دپیته	Central Mazani	Babol	Farsi	Vol_1	
inside and outside.	هم تو اندرون و هم در بیرونی.	هم دله هم دیّا	Central Mazani	Babol	Farsi	Vol_1	
instead of leaving the door fastened	به جای اینکه از در خارج شود	بجااینکه از در بیرون بوره	Central Mazani	Babol	Farsi	Vol_1	
he obeyed her shout and was silent.	بیمار اطاعت کرد و ساکت شد.	مریض قبول هاکرده حرف نزو	Central Mazani	Babol	Farsi	Vol_1	
it was again opened for the count.	در دوباره برای کنت باز شد.	دواره در کنتسه وا بَیّه	Central Mazani	Babol	Farsi	Vol_1	
but here she grew impatient with this legal verbiage, and said	در اینجا ارلاندو ازاطناب کلام آن بی حوصله شده بود و گفت	همینجه ارلاندو از پرکه تاریه وِ ونه حصله سر بورده	Central Mazani	Babol	Farsi	Vol_1	
which he had so impatiently awaited and to which	اهمیت بسیاری برای آن قایل بود شنید	ونسه خله اهمیت اشته ره بشنوسه	Central Mazani	Babol	Farsi	Vol_1	
I wish you wouldn't.	آرزو دارم که هرگز نروی.	مه ارمون هسه که هیچوقت نشویی	Central Mazani	Babol	Farsi	Vol_1	
the hoisters ran him high up to the top of the head	آن سه ملاح چنان به سرعت او را به بالای سر وال رساندند	اون سه ملوان اتی تن تن وره وال سر بالا بوردنه	Central Mazani	Babol	Farsi	Vol_1	
reflected that the very apparent insignificance of his aim would help him to success.	به این نتیجه رسید که ساده بودن هدفش ضامن موفقیت اوست.	بفهمسه که اگه ونه ارمون ساده بوشه باعث بونه موفق بووشه	Central Mazani	Babol	Farsi	Vol_1	
he had neither listened nor heard.	وی لفور نه گوش به حرف او داد و نه به طرف او نظری کرد	نا ونه گپ ره گوش هدا نا وره هارشیه	Central Mazani	Babol	Farsi	Vol_1	
his guitar case in one hand, his free thumb in his mouth.	جعبه گیتارش دریک دست و انگشت شصتش دردهانش بود.	ونه اتا دست دله حعبه گیتار و شست انگیس دهون دله دره	Central Mazani	Babol	Farsi	Vol_1	
therefore they were under the necessity of seeking a livelihood in other places.	از ای نرو ناگزیر بودند که معاش خود را در جاهای دیگر تأمین کنند.	محبور بیه شه خرج ره حاهای دیگه در بیاره	Central Mazani	Babol	Farsi	Vol_1	
unless I doctor it with a couple of sups of the old stuff	اگر با دو شیشه شراب کهنه به مداوای آن نپردازم	اگه من با ده تا پیاله قدیمی آب جوی جا وره دوا نکرومه	Central Mazani	Babol	Farsi	Vol_1	
his name and crime entered in the books himselfassigned to two assistants, who saw to it that	سپس او را برای استحمام و تراشیدن موی سر به دست دو مأمور سپردند.	بعد اونتا ده تا پاسبون حموم هاکردن و می بتاشینسه وره دست هدانه	Central Mazani	Babol	Farsi	Vol_1	
as well as his high blood relations with his family	همچنین به سبب خویشاوندی نزدیکش با این خانواده تصمیم گرفت	نزدیکی فامیل بودنسه همینجوری با اینتا خانواده تصمیم بیته	Central Mazani	Babol	Farsi	Vol_1	
the next moment she took to her heels and galloped away into the field.	بعد هم جستی زد و چهارنعل به طرف مزرعه تاخت.	بعدش بپرسه و چار نعل مزرعه ی ور بتاجسسه	Central Mazani	Babol	Farsi	Vol_1	
I fix my gaze on it alone	محو تماشای او است.	محو هارشین وه بیه	Central Mazani	Babol	Farsi	Vol_1	
that you may show the generosity of your kind heart.	تا شما سخاوت دل کریم خود را به ایشان نشان بدهید.	ول که شما شه گت دل ره وره نشون هادین	Central Mazani	Babol	Farsi	Vol_1	
let us go hence ere night come on and surprise us in these wilds.	تا پیش از آن که شب بر سر دست درآید و ما را در این بیغوله غافلگیر کند به راه خود برویم.	قبل این که شو برسه وا اماره ناخلوتی غافلگیر هاکنه شه راه ره ببریم بوریم	Central Mazani	Babol	Farsi	Vol_1	
I'll kill him.	این منم که او را خواهم کشت.	اینتا منمه که ونه وره کشمه	Central Mazani	Babol	Farsi	Vol_1	
I wish to know if, in demanding my signature	حال به ببینم اگر من عقد را امضا کردم	اسا بوینم ول که عقد ره مهر بزومه	Central Mazani	Babol	Farsi	Vol_1	
with as little appearance as possible of doing so.	بی آنکه این مراقبت را برملا کند.	اینتا مراقبت ره بدون این که برملا هاکنه	Central Mazani	Babol	Farsi	Vol_1	
I take a deep breath and stand up.	نفس عمیقی کشیدم و از جایم بلند شدم	اتا خاره نفس بکشیمه و شه جا پرسمه	Central Mazani	Babol	Farsi	Vol_1	
I won't go without finding out.	تا نفهمم نخواهم رفت!	تا نفهمسمه نشومه	Central Mazani	Babol	Farsi	Vol_1	
I will not stir.	از جایم تکان نخواهم خورد.	شه جا تکون نخرمه	Central Mazani	Babol	Farsi	Vol_1	
I've had a hellish time.	ساعاتی جهنمی را پشت سر گذاشتم.	ساعاتی جهنمی ره پشت سر بشتمه	Central Mazani	Babol	Farsi	Vol_1	
how we had a dispute about it.	چگونه ما بر سر آن کشمکش داشتیم	چیسسه اما ونسسه دعوا داشتمی	Central Mazani	Babol	Farsi	Vol_1	
this gentleman doesn't want to remain in my company or else he'd come at once.	پی وتر آلکزاندروویچ میل ندارد با من باشد و هر گاه من بروم او به طور قطع خواهد آمد.	دوست ناینه بی وتر آلکراندروویچ من دوم هر وخت من بوردمه وه انه	Central Mazani	Babol	Farsi	Vol_1	
her father's firm and equal.	صدای پای پدرش محکم و یکسان.	ونه پره لینگ صدا هم محکم به هم جور به	Central Mazani	Babol	Farsi	Vol_1	
because it's not fair for me to want you here.	چون انصاف نیست که من بخوام تو اینجا باشی.	انصاف نیه من بخوام تو اینجه دوی	Central Mazani	Babol	Farsi	Vol_1	
endeavoring to read her husband's inmost thoughts	نظری به شوهر کرد که تا قعر ضمیر او را ملاحظه نمود	شه مردی ره هارشیه تا ونه دل دله ره بوینه	Central Mazani	Babol	Farsi	Vol_1	
but hasn't got any magic powers.	ولی هیچ قدرت جادویی ندارن	اما هیچ چی وشون قد جادویی نایننه	Central Mazani	Babol	Farsi	Vol_1	
I'm afraid there are none.	بدبختانه سیگار نیست.	بد بختی سیگار دنیه	Central Mazani	Babol	Farsi	Vol_1	
those mustering none but young vigorous males, or bulls, as they are familiarly designated.	آن گونه که هیچ فردی را به جز نرهای جوان نیرومند که میان وال گیران به ورز و معروفند با خود ندارند.	وشون هیچ کس به جز نرمرهای جوون و قوی که وال گیران دله به زور اسم و رسم دار هسسنه شه همراه نایننه	Central Mazani	Babol	Farsi	Vol_1	
but in ablack shroud, of woollen, which was heavy in summer	اما سیاه کفنی پشمین داشتند که برای تابستان سنگین بود	وشون سیو کفن پشمی داشتنه که تابستونسسه سنگین به	Central Mazani	Babol	Farsi	Vol_1	
because she had been ill	زیرا بیمار بود	چون که مریض به	Central Mazani	Babol	Farsi	Vol_1	
there was the danger of falling over if you looked down into the abyss.	با خم شدن روی این سوراخ تاریک خطر سرنگون شدن در آن هست.	اگه تاریک سوراخ دله ول بون خطر خراب ببین دره	Central Mazani	Babol	Farsi	Vol_1	
for he had made up his mind	چه عزم جزم کرده بود	شه عزم ره چننه جزم هاکرده	Central Mazani	Babol	Farsi	Vol_1	
I have advised him to do that.	من به او توصیه کردم.	من وره سفارش هاکردمه	Central Mazani	Babol	Farsi	Vol_1	
the ever got jacked	تا حالا بهش دستبرد زده شده است	تا اسا وره دزد بزو	Central Mazani	Babol	Farsi	Vol_1	
to get rid of them!	می شه سرشان را برید.	وونه وشون سر ره بورینن	Central Mazani	Babol	Farsi	Vol_1	
I want the truth, the truth!	من میل دارم از حقیقت آگاه گردم حقیقت!	من خامه راستش ره وشون حالی هاکنم راستش ره	Central Mazani	Babol	Farsi	Vol_1	
the racers started.	مسابقه آغاز شد.	بوردکا شروع بیه	Central Mazani	Babol	Farsi	Vol_1	
I cleared my throat.	گلویم را صاف کردم.	شه گلی ره صاف هاکردمه	Central Mazani	Babol	Farsi	Vol_1	
has the last featuring blow at events.	ضربه نهایی بر وقایع در دست اوست.	اتفاق های دله آخرین ضربه ونه دست دله دره	Central Mazani	Babol	Farsi	Vol_1	
while he who is so of his own accord can leave off being one whenever he likes.	حال آنکه دیوانه اختیاری هر وقت که خواست از حال جنون بیرون خواهد آمد.	شفته های اختیاری هر وقت شه خاننه از شفته گری در اننه	Central Mazani	Babol	Farsi	Vol_1	
was passed by the two young people in schemes on the subject.	هر دو جوان به فکر همین موضوع افتادند.	اینتا گپسه هر ده تا جوون فکر هاکردنه	Central Mazani	Babol	Farsi	Vol_1	
where he had paused in the dark not many hours before to picture to himself on which of the rough stones of the street her feet had trodden	همان جا که سیدنی چندی پیش ایستاده بود تا لوسی را بر سنگفرش پیاده رو در حال قدم زدن مجسم کند	موقع راه بوردن سنگ فرش آدم روی دله فکر هاکنه	Central Mazani	Babol	Farsi	Vol_1	
he hid himself to weep.	او پنهان شده بود تا بگیرد.	وه قائم بیه تا بیره	Central Mazani	Babol	Farsi	Vol_1	
the gate firmly bolted behind him.	دروازه به شدت پشت سرش بسته شد.	ونه پشت سر دروازه قائم دوس بیه	Central Mazani	Babol	Farsi	Vol_1	
so she went into the water to wash off the sweat.	ناگزیر دخترک وارد دریا شد تا عرق تنش را بشوید.	کیجا وچه دریای دله مجبوری بورده تا شه تن عرق ره بشوره	Central Mazani	Babol	Farsi	Vol_1	
I never heard her speak	هیچ وقت حرف زدن او را ندیدم.	من ونه حرف بزوئن ره هیچ وقت ندیمه	Central Mazani	Babol	Farsi	Vol_1	
but it appeared that something new had come to birth in his soul as though he were vowing to himself that he would bear this trial.	ولی سوگند یاد کرده بود که تا آخرین نفس در مقابل نفس خویش ایستادگی کند	ولی تا آخرین لحظه قسم بخر ده شه نفس جا هرسسه	Central Mazani	Babol	Farsi	Vol_1	
although I did not much admire the conceit.	گرچه من از ین قیاس دور و دراز او چندان خوشم نی آمد.	مره از ونه مقایسه ی طول و درازش خش نموئه	Central Mazani	Babol	Farsi	Vol_1	
deserted from the front	جبهه را ترک کردند	جبهه ره ول هاکردنه	Central Mazani	Babol	Farsi	Vol_1	
I told you he would.	حتم دارم که مست کرده بود.	حتم دایمه که وه مست هاکرده	Central Mazani	Babol	Farsi	Vol_1	
drawing a fortune a title	ثروتی را از دست داده	شه مال ره دست هدا	Central Mazani	Babol	Farsi	Vol_1	
where a ferryman was waiting to take him across the moat.	در آنجا راننده جسر در انتظارش بود تا از خندق عبورش دهد.	شوفر اونجه منتظر به تا وره از خندق رد هاکنه	Central Mazani	Babol	Farsi	Vol_1	
do you shut it.	تو این را ببند.	تو وره دون	Central Mazani	Babol	Farsi	Vol_1	
he had reached the end of the farther corridor, and	او به انتهای راهرو آن سمت رسیده بود	وه اونوره رواق سر برسیه	Central Mazani	Babol	Farsi	Vol_1	
whence I saw him at the top of the stile looking back into the next field on the right hand	از آنجا دیدم که او بر فراز پلکان پرچین برآمده و رو بس وی کشتزاری که در سمت راست است کرده است	از اونجه بدیمه که پله های بالا پرچیم هاکردنه رو به دشتی که راست ور دیه هاکرده	Central Mazani	Babol	Farsi	Vol_1	
so I didn't say anything.	پس چیزی نگفتم.	اسا هیچ چی نئوتمه	Central Mazani	Babol	Farsi	Vol_1	
I'll have this out with you.	باید حسابی را با تو تسویه کنم.	ونه شه حساب ره ته جا تسویه هاکنم	Central Mazani	Babol	Farsi	Vol_1	
deciphering of those scored parchments which thirty years among men and women had rolled tight in his heart and brain.	بخواند که طی گذشت سی سال زندگی در بین زنان و مردان آن قدر بر قلب و ذهنش سنگینی کرده بود.	بخونسسه که بعد سی سال زندگی هاکردن میون مردن و زنان دله زندگی هاکردن ونه دل و جان دله سنگینی هاکرده	Central Mazani	Babol	Farsi	Vol_1	
drove her home.	او را با اتومبیل به خانه رساند.	وره ماشین جا خنه برسیننه	Central Mazani	Babol	Farsi	Vol_1	
I doubt if he's gotten that far yet in fact, I'm sure of it.	البته فقط یکی دو تا از اونها رو برای تفریح راه میندازه.	البته اتا ده تا وشون ره تفریحسسه راه دم هدانه	Central Mazani	Babol	Farsi	Vol_1	
I'm very glad.	من هم خیلی خوشحالم.	من هم خله خشحالمه	Central Mazani	Babol	Farsi	Vol_1	
thought I could make out the bird by her bright plumage	آن طوطی را از بال و پر درخشانش باز شناختم	طوطی ره از ونه بال و پر روشن دواره بشناسیمه	Central Mazani	Babol	Farsi	Vol_1	
went to work to get his verses	مشغول حفظ کردن اشعارش شد.	شه شعرها ره داشته حفظ کرده	Central Mazani	Babol	Farsi	Vol_1	
be represented as a partner in his own cure.	شریک او در مداوای بیماری خود باشد.	شه دوای دله وره شریک هاکرده	Central Mazani	Babol	Farsi	Vol_1	
I am out of spirits.	هیچ حالش را ندارم.	ونه حال ره هیچ چی نایمه	Central Mazani	Babol	Farsi	Vol_1	
you, gentlemen, bring yourselves to!	شما آقایان هم بنشینید!	شما مردن هم هنیشین	Central Mazani	Babol	Farsi	Vol_1	
the old woman coming into the room	پیرزن چون وارد اتاق شد	پیرزنا خنه دله بموئسه	Central Mazani	Babol	Farsi	Vol_1	
to avoid betraying that he knew she was about.	باز هم نشان بدهد خبر ندارد بکی آن جاها است.	دواره خانه که بوه اتا نفر اونجه دره ره خور ناینه	Central Mazani	Babol	Farsi	Vol_1	
he is so very agreeable.	از بس که آدم جذابی بود.	از بس خله آدمه جذابی به	Central Mazani	Babol	Farsi	Vol_1	
I know that well!	من خودم اینو می دونم.	من شه دوممه اینتا ره	Central Mazani	Babol	Farsi	Vol_1	
if it had been favourable to the boy.	هرگاه اطلاعات شما نشان دهنده خوبی و خوش ذاتی طفل بود	هر وخت که وچه خار و خش ذات هسه ره شما اطلاعات نشون هدا	Central Mazani	Babol	Farsi	Vol_1	
had not so much as altered one angle of his vest.	حتی یک گوشه زیر جامه او را هم نجنبانده بود.	حتی ونه پیرن گوشه ره هم تکون ندا	Central Mazani	Babol	Farsi	Vol_1	
I've got a notion, and I think it's a sound one.	من خودم یک فکری دارم که کاملاً بک ره.	من شه اتا فکر دایمه که خله نابه	Central Mazani	Babol	Farsi	Vol_1	
then the two young girls	سپس دو دختر جوان	بعد اون ده تا کیجای جوون	Central Mazani	Babol	Farsi	Vol_1	
put them safely in his pocket	آن را در جیبش گذاشت.	اون تا ره شه جیف دله بشته	Central Mazani	Babol	Farsi	Vol_1	
that sad past, which had been very niggardly of joy for her	همان گذشتهٔ اندوه یاری که برایش بسیار کم با شادی همراه بود	همون قدیم غم و غصّه ی دله هم ونسسه اتا کمی خشحالی داشته	Central Mazani	Babol	Farsi	Vol_1	
but I am always fond of children.	به طور کلی من به کودکان علاقه مفرطی دارم	به طور کلی من وچون ره خله علاقه دارمه	Central Mazani	Babol	Farsi	Vol_1	
you're like the weather cock on a roof.	مثل بادسنج روی بام	پشت بوم واسنج ره موننه	Central Mazani	Babol	Farsi	Vol_1	
sat down on the trail.	بر روی جاده نشست.	راه سر هنیشته	Central Mazani	Babol	Farsi	Vol_1	
said he to himself, and after that he did not meddle in business affairs.	راستوف پس از آن قضیه دیگر به امور مالی و اقتصادی خانواده خود مداخله نکرد.	راستوف دیگه شه خانواده ی کارهای پولی و مالی دله بعد از اون تا قضیه دخالت نکرده	Central Mazani	Babol	Farsi	Vol_1	
I don't know,' I said	سرم را با تأسف تکان دادم. نه.	شه سر ره با تاسف تکون هدامه نیه مگه؟	Central Mazani	Babol	Farsi	Vol_1	
it would help me	این کتاب به هم کمک می کنه	اونتا خانه که مره کمک هاکنه	Central Mazani	Babol	Farsi	Vol_1	
so far as it will affect you.	نه از برای من بلکه از برای خودت.	نا بخاطره من ول که بخاطره خودت	Central Mazani	Babol	Farsi	Vol_1	
stood, livid and trembling, before us.	از جا پرید و برافروخته و لرزان جلو ما ایستاد.	شه جا بپرسه و امه جلو عصبانی و تن لرزه هرسسا	Central Mazani	Babol	Farsi	Vol_1	
I sneaked off to the private bar to have a pint or two before dinner.	یواشکی به طرف بار مخصوص مهمان رفتم و یکی دو پیمانه سر کشیدم.	قائمکی بار مخصوص مهمون پلی بوردمه و اتا ده تا پیمونه سر بکشیمه	Central Mazani	Babol	Farsi	Vol_1	
went up the hill and out of sight.	از سربالائی بالا رفت و از نظر ناپدید شد.	سربالایی بالا بورده و دید جا گوم بییه	Central Mazani	Babol	Farsi	Vol_1	
I'll tell you as soon as she's safely away,	به محض اینکه به سلامت از اینجا دور شد بهت می گم	به محض این که به سلامتی این جه ی جا بورده شما ره گمه	Central Mazani	Babol	Farsi	Vol_1	
even as the hairs on my arms began to shrivel.	حتی زمانی که موهای روی بازوانم شروع به فر خوردن کرد.	حتی وقتی که مه بازوی جلوی می شروع هاکرده به فربخردن	Central Mazani	Babol	Farsi	Vol_1	
I didn't go upthere with her with any intention of killing her.	من نبردمش اونجا که بکشمش.	من وره اونجه نوردمه که بکوشم	Central Mazani	Babol	Farsi	Vol_1	
our coincidence of feeling was soon discovered,	خیلی زود معلوم شدکه احساسات مشابهی دایم.	امه احساسات مثل هم هسسه خله زود معلوم بیه	Central Mazani	Babol	Farsi	Vol_1	
I shook my head.	سرم را تکان دادم.	شه سر ره تکون هدامه	Central Mazani	Babol	Farsi	Vol_1	
