en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
I quitted the chamber.	بدین قصد اتاق را ترک گفتم.	وازم ئارد جە ژوورەکؽ	Lhon	Biyare	Hawrami	HHH	
I read the note	من یادداشت را خواندم	تێبینییەکێم واناوؽ	Lhon	Biyare	Hawrami	HHH	
had come home.	اینک بازگشته بود.	ئامابێوە پەی یانەی	Lhon	Biyare	Hawrami	HHH	
I'd still got plenty of money in the bank, nearly two hundred quid	پول نسبتاً زیادی در حدود 200 پوند در بانک داشتم	هیشتای زەرێوە فرێم بانکەنە دەسکۆتەبێ، نزیکۆ دوی هەزار جونەیهو ئیستەرلینی	Lhon	Biyare	Hawrami	HHH	
you would make me weep, if such a thing were possible.	که از غصه نزدیک است که گریه کنم.	ئەگەر چیوؽ پێسە ئانەی کریایە، کارێ کەردێنی گرەوێنا	Lhon	Biyare	Hawrami	HHH	
we came to a long kind of building, made of timber stuck in the ground	به بنائی رسیدیم که از چوب ساخته بودند و الوار را در زمین فرو برده بودند	یاوایمێ بینێ بەرزە، زەمینەنە جە داری دروس کریابێ	Lhon	Biyare	Hawrami	HHH	
I mean real fighting.	منظورم جنگ واقعیه.	مەبەسم جەنگو حەقیقیا	Lhon	Biyare	Hawrami	HHH	
I opened the book at random, as she proposed	من همونطور که خودش خواسته بود کتابو واکردم.	کتێبەکێم هەرەمەکی کەردۆوە، پێسە ئانەی ئاﮆی پێشنیار کەردەبێنە	Lhon	Biyare	Hawrami	HHH	
lingered on the matting, that she might leave her husband quite free.	در آستانه در ایستاد تا شوهرش را آزاد بگذارد.	سەرو بەڕەکێ مەناوؽ، تا پیاکێش تەمام ئازاد جیا بازۆ	Lhon	Biyare	Hawrami	HHH	
I glanced over my shoulder	سرم را برگردانیدم	تەماشێوە سەرو شانام کەردە	Lhon	Biyare	Hawrami	HHH	
yes nothing more true	آری الماس را تمام به خودمان داد	بەڵی، چانەی ڕاستتەر نییا	Lhon	Biyare	Hawrami	HHH	
the old man is as surly as a dog.	پیرمرد اخلاق سگ را پیدا کرده است.	پیا پیرەکە ڕێک پێسە سەگییا	Lhon	Biyare	Hawrami	HHH	
we were soon skimming swiftly over a smooth sea.	ما به زودی قایق را روی دریای صاف و شفاف به حرکت درآوردیم.	ئیمە زوو سەرو دەریێوی هادئ لوایمێ	Lhon	Biyare	Hawrami	HHH	
I can't move in with you.	نمی تونم با تو همخونه به شم	من مەتاوو چەنی تو یاگێم فارۆوە	Lhon	Biyare	Hawrami	HHH	
the hour, the circumstances,the surroundings,were in keeping with it.	ساعت و اوضاع و احوال و دور و بر همه با این کار سازگار بود.	سەعاتەکؽ، بارودۆخەکؽ، دۆروبەرەکؽ، چەنەش مەگونجیۆ	Lhon	Biyare	Hawrami	HHH	
the doors were propped open to let in the balmy air.	درها باز نگه داشته شده بودند تا هوای خنک وارد شود	بەرەکێ کریاییەنە جیا ئاستیا بێ، تا با فێنکەکؽ بێ چوەر	Lhon	Biyare	Hawrami	HHH	
but she declined availing herself of it	اما دختر با سر اشاره کرد که خواهد ایستاد.	وەلێ ڕازی نەبێ سوودش ونە ورگیرۆ	Lhon	Biyare	Hawrami	HHH	
took a series of large bites, which finished his first hunk of bread and butter	چند جرعه بزرگ چای نوشید و به این ترتیب کلک لقمه او را کند	چن تیکێ گۆرێش وارد، تا نان و کەرەکێش تەمامنا	Lhon	Biyare	Hawrami	HHH	
but to me it's an extra hour scrubbing!	اما برای من یک ساعت ساییدن اضافیه!	وەلێ پەی من ئانە سەعاتێ ئەزافیەنە پەی پاک کەردەی	Lhon	Biyare	Hawrami	HHH	
ask about some socks.	من که جوراب لازم ندارم.	پرسیارو بەعزێ گۆرەوای کەرە	Lhon	Biyare	Hawrami	HHH	
one of the upper teachers	صدای یکی از آن سه معلم عالی رتبه بود.	یۆ جە مامۆسا گەورەکا	Lhon	Biyare	Hawrami	HHH	
to saddle them	زینش بک نه	پەی ئانەی زینشا کەری	Lhon	Biyare	Hawrami	HHH	
I thought you would be hopeless	انتظار داشتم ناامید باشید	پاسە ویر کەریناوە بؽ ئەمەل بی	Lhon	Biyare	Hawrami	HHH	
looked at it a moment	یک لحظه به آن نگاه کرد	لەحزێوە تەماشەم کەرد	Lhon	Biyare	Hawrami	HHH	
I'm saying nothing.	من هیچی نگفتم.	من هیچ مەواچو	Lhon	Biyare	Hawrami	HHH	
to contradict this statement	که این شایعه را تکذیب نمایید.	پەی دژایەتی کەردەو ئی لەدوانەیە	Lhon	Biyare	Hawrami	HHH	
then pushed the paper a little way from him	آنگاه کاغذ را اندکی از خود دور کرد	ئینجا وەرەقەکەش تزێ دورۆ فڕەدا	Lhon	Biyare	Hawrami	HHH	
as an unqualified fact because no one shared her doubts.	زیرا دید که هیچ کس در شک و تردید او با وی سهیم نیست.	پسە ڕاسیێ نا قابیلی وەرو ئانەی کەس هامبەشو گومانەکؽش نەبؽ	Lhon	Biyare	Hawrami	HHH	
only fastening one of my legs with a chain, near my bed	تنها یکی از پاهایم را با زنجیر به تخت خواب بستند	نزیکو یاگەکؽم، تەنیا قاچێوەم بەستەنۆ بە زنجیرێوە	Lhon	Biyare	Hawrami	HHH	
I beseech you to let me bring him here.	التماست می کنم که بگذاری اینجا بیاورمش.	داواتا ونە کەروو بازدێ بارووش ئیگؽ	Lhon	Biyare	Hawrami	HHH	
I must have, I suppose.	گمانم جوابش مثبت باشد.	مشوم بم، پاسە ویر کەروە	Lhon	Biyare	Hawrami	HHH	
to enjoy the sport of the search.	در لذت و هیجان این کشف شریک آنان گردم.	پەی ئانەی چێژ ورگیری جە وەرزشو گێڵاکؽ	Lhon	Biyare	Hawrami	HHH	
when he's had the impudence to show it at the last.	آن هم وقتی با پررویی تا نزدیک مردنش صبر کرد.	وەختێو ئی بێ حورمەتییەش کە بیەنش ئاخیرەنە نیشانشﮆا	Lhon	Biyare	Hawrami	HHH	
these noises meant no more than the chiming of a dull clock in the distance, marking the hours of the night.	این صدا معنای دیگری جز طنین آرام ساعتی که از دور وقت را اعلام کند نداشت.	ئی دەنگا جە دەنگو سەعاتێ ماتی زیاﮆ تەر نەبی، کە سەعاتەکاو شەوی دیار کەرێ	Lhon	Biyare	Hawrami	HHH	
I'll cure myself of this.	خودم را از این حال علاج کنم.	وێم چانەی علاج کەروو	Lhon	Biyare	Hawrami	HHH	
she loved him	دوستش داشته باشد	ئیﮆ ئاﮆ وەشەمسیۆ	Lhon	Biyare	Hawrami	HHH	
I stick out my hand and hail a taxi	تاکسی صدا زدم	دەسم درێژ کەروو و تەکسیێ گؽروو	Lhon	Biyare	Hawrami	HHH	
that the tunnel is of magical origin and can only be closed magically.	گفتیم که تونل منشأ جادویی داره و فقط با جادو بسته می شه.	کە ئی تونێلە ڕایؽ جادوویش هەنە و تەنیا بە نۆعێ جادوویی تاوی بەسیش	Lhon	Biyare	Hawrami	HHH	
but if he robs his fellows there is no honor in him	کسی که از برادرش چیزی بدزدد هرگز شرف ندارد.	وەلێ ئەگەر جە ڕەفیقەکێو وێش دزی کەرۆ ئانە هیچ شەرەفێوش نیا	Lhon	Biyare	Hawrami	HHH	
I am dreadfully afraid.	از این موضوع سخت نگرانم.	من فرە تەرسوو	Lhon	Biyare	Hawrami	HHH	
upstairs almost all the rooms were finished.	اشک وب بالایی تقریبا تمام شده بود.	تەقریبەن ژوورەکا و قاتو سەریەنە گرد تەمامیانێ	Lhon	Biyare	Hawrami	HHH	
whom they found in the cloisters in conversation with one of the nuns	او را در رواق صومعه یافتند که با یکی از زنان راهبه به صحبت مشغول بود	کە لە یۆ جە کۆشکەکێ وەختو موناقاشەکەردەی چەنی یۆ جە قەشەکێ ئؽستەنشاوؽ	Lhon	Biyare	Hawrami	HHH	
the house lay before us.	خانه رو به رویمان قرار داشت.	یانەکؽ وەردەممانە بؽ	Lhon	Biyare	Hawrami	HHH	
I desire that thou seat thyself here at my side and in the company of these worthy people	من میل دارم که تو همین جا در جوار من و در مصاحبت این نیک مردان بنشینی	حەزکەروو ئؽگەنە لاو من و ئی جەمعە لایقەی نیشیەری	Lhon	Biyare	Hawrami	HHH	
that was his style	سبک او این بود	ئانە ستایلش بؽ	Lhon	Biyare	Hawrami	HHH	
they hardly heeded this detail.	واقع آنست که چندان توجه با ین تفصیل نکردند.	بە زەحمەت گۆشا چا ووردەکاریەی بێ	Lhon	Biyare	Hawrami	HHH	
one single soldier left behind	سرباز دیگری جلوتر بود.	عەسکەرێ تاق مەنەن	Lhon	Biyare	Hawrami	HHH	
was folded one over another.	تا شده بود.	یۆ سەرو ئاﮆؽ تەری چەمابیەبؽ	Lhon	Biyare	Hawrami	HHH	
he's not a hero!	یک قهرمان بزرگ نیست	پاڵەوان نیا	Lhon	Biyare	Hawrami	HHH	
indispensable to hostesses.	کمک حالی واجب برای بانوان میزبان.	پەی مێماندارەکا زەرووریا	Lhon	Biyare	Hawrami	HHH	
a doublebarreled shotgun clutched in both hands.	اسلحه دولول را بادو دستش محکم گرفته بود.	تفەنگێ دووە لوولەیی کە بە هەردووە دەسش گێرتەبێش	Lhon	Biyare	Hawrami	HHH	
I believe absolutely in my own free will and my own power to accomplish and that is the belief that moves mountains.	من کاملا به آزادی اراده و توانایی خودم برای دست یابی به موفقیت معتقدم.	من بە تەمامی باوەرم بە ئیرادەو ئازادی و هێزو وێم هەنێ، ئانەیچ ئا هێزەن کە کەشەکا جمنۆ	Lhon	Biyare	Hawrami	HHH	
there are a good many hours between this and to morrow	از حالا تا فردا وقت بسیار است	بەینو ئینە و سەوای سەعاتێ فرێ عالی هەنێ	Lhon	Biyare	Hawrami	HHH	
I didn't recognize the male voice, fierce and deep	صدای خشم آلود و عمیق مردانه را نشناختم.	سۆت و نەرەکێم نەشناسا تن و قوڵ بی	Lhon	Biyare	Hawrami	HHH	
it probably smelled good to everyone else.	قاعد تا به نظر بقیه بوی خوبی بود.	ڕەنگا پەی ئاﮆی بﯢێ وەشی هەنی	Lhon	Biyare	Hawrami	HHH	
as we said	همان طوری که گفتیم	پێسە واتما	Lhon	Biyare	Hawrami	HHH	
when I got round to him, not he.	من وقتی بالای سرش رفتم	وەختێ یاوانؽ لاش	Lhon	Biyare	Hawrami	HHH	
I think anything out of the ordinary routine of life well worth reporting.	به نظر من هر چیزی خارج از روال معمولی زندگی ارزش اطلاع دادن را دارد.	قەناعەتم پاسەن هەرچیوؽ لوا بەرو ڕۆتینوو ژیانی لایەقو ڕاپۆرت کەردەیا	Lhon	Biyare	Hawrami	HHH	
I heard a rustling there.	صدای خش خشی از داخل اشکاف شنیدم.	چاگەنە دەنگو زەقەزەقێم ئەژنی	Lhon	Biyare	Hawrami	HHH	
he carried nothing but his revery, however.	هیچ بار جز بار تخیلات خود بر سر نداشت.	هەرچن، جیا جە زەیاڵو وێش چیوؽ تەرش ورنەگێرتەبێ	Lhon	Biyare	Hawrami	HHH	
but that he had it and peace completeand secure.	بلکه به آن ایمان و آن آرامش و اطمینان دست یافته است.	وەلێ کە ئاشتی و ئاسایشی کاملش بی	Lhon	Biyare	Hawrami	HHH	
she and I were alone.	من تک و تنها پهلوی او بودم.	من و ئاﮆی وێما تاقێنمؽ	Lhon	Biyare	Hawrami	HHH	
I may count on you	من به شما اطمینان دارم.	ڕەنگا سەرو توی حسابش کەروو	Lhon	Biyare	Hawrami	HHH	
replied the man	مرد جواب داد	پیاکە جوابش داﮆ	Lhon	Biyare	Hawrami	HHH	
kissed each of the two large tears.	هر یک از دو قطره اشک بزرگ را بوسید	هەردووە فرمێسکە گۆرەکێش ماچ کەرد	Lhon	Biyare	Hawrami	HHH	
I'm the servant girl.	من دختر کلفت.	من کناچە خزمەتکارەکێنا	Lhon	Biyare	Hawrami	HHH	
I stare at her	او را کمی برانداز کردم.	چەمێم سەرشانە	Lhon	Biyare	Hawrami	HHH	
I bet it is.	راستی هم که.	گرەو کەروونە پاسەنە	Lhon	Biyare	Hawrami	HHH	
for his madness is amusing	دیوانگی او مفرح است بر خلاف این یکی	وەرو ئانەی شێتیەکەش هەزەلییا	Lhon	Biyare	Hawrami	HHH	
I wasn't in a very good mood	حال و روزم خوب نبود	حاڵەو نەفسیم فرە عال نەبؽ	Lhon	Biyare	Hawrami	HHH	
when he laid his hand upon my arm.	وقتی دست روی بازوی من نهاد	وەختێ دەسش وست سەرو قۆڵیم	Lhon	Biyare	Hawrami	HHH	
but as far as I know the facts, I can't.	اما تا آنجا که من از ین امور اطلاع دارم این عمل سهل و ساده نیست.	وەلێ هەر ئننە کە ڕاسییەکا مزانوو، مەتاوو	Lhon	Biyare	Hawrami	HHH	
surprised everyone by joining in the conversation about mushrooms.	با شرکت در گفتگوی مربوط به قارچ همگان را به حیرت انداخت.	گرد تەعەجوبشا کەرد موناقاشەکەنە دەربارەو هەلچی	Lhon	Biyare	Hawrami	HHH	
I thought all this very pretty and engaging	این وضع به نظرم بسیار بدیع و زیبا رسید.	گرد فرە زەریف و سەرنجراکێشە بؽ	Lhon	Biyare	Hawrami	HHH	
they sat down.	پس هر یک در محلی نشستند.	ئاڵﮆی نیشتانێرە	Lhon	Biyare	Hawrami	HHH	
that he was so to regard it.	او باید این انتصاب را به مین نحو تلقی کند.	کە ئاﮆ بە نۆعێ بی کە ئاگاﮆرش بی	Lhon	Biyare	Hawrami	HHH	
I just remembered that today's my birthday.	یه دفعه یادم افتاد امروز روز تولد مه.	ئیسە ویرم کۆتەنۆ کە ئارۆ ڕووەو جە ئەﮆا بیەما	Lhon	Biyare	Hawrami	HHH	
it's no use now.	الآن بی فایده است.	ئیسە هیچ سوودێوش نیا	Lhon	Biyare	Hawrami	HHH	
don't touch me don't!	دست به من نزنین	دەس مەﮆە وەنەم مەکەرە!	Lhon	Biyare	Hawrami	HHH	
I apologise if I seemed critical.	معذرت می خوام اگه سرزنش کننده به نظر رسیدم.	ئەگەر ڕەخنەگێر ئامانێ وەرەچەم داواو عەفوەی کەروو	Lhon	Biyare	Hawrami	HHH	
listening to their footsteps dying away.	تا این که صدای پایشان کاملاً دور شد.	گۆشگێرتەی جە هەنگامەکێشا تا مرا	Lhon	Biyare	Hawrami	HHH	
waited for the portrait hole to open.	جلوی حفره منتظر ماند تا در باز شود.	چەمەروانو ئانەی بؽ تا ووڵەو پۆرترەیتەکەی کریۆوە	Lhon	Biyare	Hawrami	HHH	
I just want to have sex!	فقط دلم هوا تو کرده	تەنیا گەرەکما سێکسی کەروو	Lhon	Biyare	Hawrami	HHH	
I was in the box room at the time	آن موقع من توی انباری بودم	ئا وەختە ژووروو سەنوقەکؽ بێنا	Lhon	Biyare	Hawrami	HHH	
so you will excuse me if I don't let you off homework today.	بنابراین امیدوارم منو ببخشی که نمی تونم تو رو از انجام تکالیف امروز معاف کنم.	عەفوە کەرە ئەگەر ئارۆ پەی واجبەکا وازم چەنەت نارد	Lhon	Biyare	Hawrami	HHH	
but once again, nothing came out of his mouth but a very large bubble.	اما این بار هم صدایی از دهانش خارج نشد و فقط یک حباب بسیار بزرگ از دهانش بیرون آمد.	وەلێ جارێو تەر، جیا جە بڵقێ گۆرە دەمشەنە هیچی تەر دەمشەنە نائاما بەر	Lhon	Biyare	Hawrami	HHH	
fastened one end of the rope tightly and firmly round it	یک سر طناب را محکم به آن بست	سەرێو پەتەکێ تن تن دۆرشەنە بەست	Lhon	Biyare	Hawrami	HHH	
I never even looked for where they were venting the tank!	مخزن روپیداکنم هیچ وقت به فکرم نرسید محل تخلیه.	هەتا هیچ وەختێ دۆرشەنە نەگێڵام، چکۆ هەوافارای تانکیەکێ کەرا	Lhon	Biyare	Hawrami	HHH	
recently occupied and temporarily used.	به ظاهر اخیرا و به صورت موقت مورد استفاده قرار گرفته بود.	پی دماییەی داگیر کریان و بە نۆعێ موئاقاتی بەکارشا ئاردەن	Lhon	Biyare	Hawrami	HHH	
I don't like to lie	من دوست ندارم دروغ بگم	من حەزم جە دروێ نیا	Lhon	Biyare	Hawrami	HHH	
she dropped to the cushioned seat with a little cry.	ربرتا با جیغ کوتاهی خود را روی صندلی نرم بلم انداخت.	بە تۆزێ گرەوای کۆت سەروو کورسیە کوشنکریاکەی	Lhon	Biyare	Hawrami	HHH	
so now you know.	بهتر است تو هم این را بدانی.	وەرو ئانەی ئیسە مزاندؽ	Lhon	Biyare	Hawrami	HHH	
he had given orders to fit up, with my own assistance and direction.	او فرمان داده است که آن را بیا ری و راهنمائی من مجهز کنند.	ئەمرش کەردەبێ وێش گونجیۆ، بە هامکاری و ئاراستەو وێم	Lhon	Biyare	Hawrami	HHH	
so since we have really been friends for the last eleven years	زیرا شبهه نخواهید داشت که ده سال است که ما با هم دوست هستیم	وەرو ئانەی بەراسی جە یانزە ساڵ وەڵتەرەنە ڕەفیقێنمؽ	Lhon	Biyare	Hawrami	HHH	
how she would love him become quite different	چگونه او را دوست خواهد داشت و چگونه تمام صفات و خصایل او کام لا تغییر خواهد یافت	چەنی ئاڵیش وەشەمسیۆنە بە تەمامی جیاوازە ب	Lhon	Biyare	Hawrami	HHH	
she is so very unreasonable.	خانم خیلی آدم نامعقولی است.	فرە نا مەنتقییا	Lhon	Biyare	Hawrami	HHH	
then all the young clerks in town in a body	بعد تمام کارمندان جوان ادارات به اتفاق	دماتەر گرد گەنجە نووسەرەکاو شارەکەی بە یەک جەستە	Lhon	Biyare	Hawrami	HHH	
when the front door opened	که در کلبه باز شد	وەختێ بەرەو وەڵی کریاوؽ	Lhon	Biyare	Hawrami	HHH	
because unexpected and from the person whose commendation she most valued.	زیرا هم خیلی غیرمنتظره و هم این که از طرف کسی بود که ستایش و تعریفش برای جو خیلی ارزش داشت.	وەرو ئانەی چەمەروان کریای نیا و جە کەسێ کە پێشنیارەکێش فرەتەرین قیمەتش هەن	Lhon	Biyare	Hawrami	HHH	
they have for their venial offences whatthey call the coulpe.	برای گناهان کوچک مراسم اعتراف دیگری دارند موسوم به کیفر	ئاﮆی پەی تاوانی گولانەکێشا ئانەشا هەنؽ کە پەنەش ماچا ئا ژەن و پیایێ	Lhon	Biyare	Hawrami	HHH	
or man's countenance is no longer to be relied on.	یا هیچ اعتباری بر دلالت سیمای شخص نیست.	یا ڕووەو ئینسانی چی دما پەشتش پەنە مەبەسیۆ	Lhon	Biyare	Hawrami	HHH	
I take it you did not conceal the fact from him.	گمان کنم تو هم حقیقت را هیچ ازش پنهان نکردی.	من پاسەی مزانۆ تو ڕاسیت چەنەش نەشارتەنۆ	Lhon	Biyare	Hawrami	HHH	
but to each of us he has given the responsibility of NAVIGATION.	ولی او به ما مسئولیت راه یابی اعطا کرده است همه.	وەلێ پەی هەر یۆ جە ئیمە مەسئولیاتو گەشتیاریش دان	Lhon	Biyare	Hawrami	HHH	
come and see.	بیان و ببین.	ب و تەماشؽ کەرە	Lhon	Biyare	Hawrami	HHH	
ordered footmen to bring the others	به پیشکار دستور داد که بقیه را بیاورد	ئەمرش کەرد بە پیادەکا کە ئاﮆی تەری بارا	Lhon	Biyare	Hawrami	HHH	
I HAD led this life about a month	به همین منوال یک ماه گذشت	نزیکۆ مانگێ ئی ژیوایەم بەردەبێ ڕا	Lhon	Biyare	Hawrami	HHH	
it was easy to surmise where the good old man was gone.	حدس اینکه این نیک مرد کهن سال به کجا رفته است دشوار نبود.	گریمانەکەردەی ئاسانەبێ کە پیا پیرە عالەکؽ چکۆ نەمەنەن	Lhon	Biyare	Hawrami	HHH	
he did up a hundred francswhich he had in a cupboard, into a roll	ژان وال ژان در حدود صد فرانک پول سفید را که در یک گنجه گذشته بود	سەﮆ فرانکش تاکەکەنە بەر ئارد جە شێوەو ڕۆڵێوە بی	Lhon	Biyare	Hawrami	HHH	
I'll think about her.	تو فکرش هستم.	ویرش چەنە کەرۆوە	Lhon	Biyare	Hawrami	HHH	
I don't want your advice.	به نصیحت تو احتیاجی ندارم.	نەسیحەتو شمەم گەرەک نیا	Lhon	Biyare	Hawrami	HHH	
that gazing on it, in that full front view	که با خیره شدن در آن از دید	کە تەماشاکەردەێش چا مەنزەرە تەمامەو وەڵینەی	Lhon	Biyare	Hawrami	HHH	
we can succeed in disciplining anyone.	در تربیت هر شاگرد دیگری هم موفق خواهیم بود.	تاومێ جە ئەدەب کەردەی هەر کەسێ سەرکۆتەبێنمێ	Lhon	Biyare	Hawrami	HHH	
some in their own happiness	برخی از ذوق خود	بەعزێ جە وەشی وێشانە	Lhon	Biyare	Hawrami	HHH	
religion and agriculture more.	مذهب و کشاورزی بیشتر.	ئایین و زەراعەتی فرەتەر	Lhon	Biyare	Hawrami	HHH	
I tried all day two days.	کردم! دو روز تمام تلاش کردم.	بە درێژاییو دوێ ڕوێ هەوڵم دان	Lhon	Biyare	Hawrami	HHH	
if you persevere in doing well, these feelings will ere long appear so much the more evidently for their temporary suppression.	اگر تو به خوش رفتاری ادامه بدهی این احساسات نهفته فعلی خیلی زود ظاهر خواهند شد.	ئەگەر وێتگیری وەراوەرو هەرمانێو عالی، ئی هەستا فرە زیاتر بەرمشۆ پەی سەرکوتکەردەو کاتی	Lhon	Biyare	Hawrami	HHH	
I'm not at liberty to discuss my patients.	من حق ندارم درباره مسایل خصوصب بیمارانم با کسی صحبت کنم.	من حوڕ نیەنا باسو نەوەشەکام کەروو	Lhon	Biyare	Hawrami	HHH	
then licked some up on his tongue.	سپس اندکی از آن را با زبان لیسید.	دماتەر بەعزێوش سەرو زمانیش دان وەنە	Lhon	Biyare	Hawrami	HHH	
there were scarcely six months between them.	فاصله بین مرگ خواهر و برادر به شش ماه هم نرسید.	بە دەگمەن شش مانگ بەینشا بی	Lhon	Biyare	Hawrami	HHH	
I suppressed a sigh.	سعی کردم از آه کشیدن خودداری کنم.	ئاهێوەم شارتۆ	Lhon	Biyare	Hawrami	HHH	
then, when they had passed	وقتی رد شدند	دماتەر، وەختێ گوزەرشاکەرد	Lhon	Biyare	Hawrami	HHH	
I want him to go away	به نظر من بهتر است به جایی برود	من گەرەکما ئاﮆی دوورگنۆوە	Lhon	Biyare	Hawrami	HHH	
but he simply turned his head the other way	اما او سرش را به سوی دیگر برگرداند	وەلێ بە بەسیتی سەرش بە لایێوە تەری سووڕنا	Lhon	Biyare	Hawrami	HHH	
it would be difficult to say	اما معلوم نبود که	زەحمەتا واچمێ	Lhon	Biyare	Hawrami	HHH	
abutting it a small greengrocer's and next to that a tumble down tobacconist's.	کمی جلوتر یک دکان سبزی فروشی بود و در انتها یک دکه سیگار فروشی که در حال فرو ریختن بود.	پاڵو سەوزەورەشێوە گولانەی و تووتن ورەشێوی کۆتەی	Lhon	Biyare	Hawrami	HHH	
there came a sudden loud screech from behind him	صدای هوهوی بلندی از پشت سرش آمد	پەشتشۆ هاوارێوە بەهێز و ناکاوەنە ئاما	Lhon	Biyare	Hawrami	HHH	
as if waiting on a school bench to hear their final grades.	درست مثل دو شاگرد مدرسه که روی نیمکت کلاس نشسته و در انتظار جواب امتحان باشند.	پێسە ئانەی سەرو کورسیێ مەکتەبەنە چەمەڕوانو گۆشگێرتەی جە نمرەکا و وێشا کەرا	Lhon	Biyare	Hawrami	HHH	
I don't need to, of course, but one does miss it.	البته نیازی به خوردن ندارم ولی آدم یه وقتایی هوس می کنه یه چیزی به خوره.	حەتمەن گەرەکش نیا وەلێ ئینسان ویرش کەرۆ	Lhon	Biyare	Hawrami	HHH	
how sensible the sound was	این صدا چه معقول بود	دەنگەکؽ چن مەعقولە بؽ	Lhon	Biyare	Hawrami	HHH	
who answered him.	که جواب داد	کە وەڵامش داوە	Lhon	Biyare	Hawrami	HHH	
did just that, divorced her.	همین و طلاق جاری شد.	تەنها ئانەشە کەرد، جیێ بیۆوە	Lhon	Biyare	Hawrami	HHH	
then fell swamping back into the deep.	سپس با شدت به عمق آب بازگشت.	دماتەر بە تاڵاوی کۆتەنۆ دلو قووڵێوی	Lhon	Biyare	Hawrami	HHH	
they whispered to one another	روحانیون آهسته سخنی به یکدیگر گفتند.	چپێ کەرێنێ پەی یۆی	Lhon	Biyare	Hawrami	HHH	
