Em diçin!	We're going!
Kê ev kar ewqasî xweşik bi dawî kirîye?	Who has finished this work so beautifully?
Û hêdî yeeeee. Ez şelpan lê didim.	And it's slow. I slap him.
Piranîya stêran roj in, Pug, lê ew ji me gelekî dûr in.	Most stars are suns, Pug, but they are very far away from us.
Seg ji pirskirina pirsan hez dike. Û Pug?... Pug ji pirtûkan hez dike.	Seg likes to ask questions. And Pug?... Pug loves books.
Berf?	Snow?
Segî ji hiskirina pirtûkan hez kir. Hmmm	Segi loved the feel of books. Hmmm
Qepûşkekî ecêb e. Çavên wî li ser bistikan in!	It's a wonderful hat. His eyes are on the lips!
Û ji dansê hez dike.	And loves to dance.
Ew mirov qala çi dikin?	What are those people talking about?
Belê, kepçeno! Ev der tevlihev e. Wan borîyan deynin ser hev, wê xîzê hilgirin û vê herîyê rast bikin.	Yes, kapcheno! This place is complicated. Put those bars together, pick up that straw and fix this mess.
Himm Ah. Hewaya paqij bikişîne nava xwe. Çi aramî û bêdengîyeka xweş! Çi…	Hmm Ah. Breathe in fresh air. What a beautiful peace and quiet! What...
Çirçirk… Çîrokbêj… Aha… Çîrvanok!	Chirchirk... Storyteller... Aha... Chirvanok!
Na, tu ne li wir î.	No, you are not there.
Ew pir bixof bû Seg?	He was so scared Seg?
Bilindbûn û Têkçûna Romayê…	The Rise and Fall of Rome...
Li ser Ecêba Mezin e?	About the Greatest Surprise?
Rêbera Dapîra Pug ya Misira Antîk e.	Grandma Pug's Guide to Ancient Egypt.
Ev pirtûk di derheqê cihekê gelekî taybet da ye û navê wê jî…	This book is about a very special place and its name is...
Hemû bambûyên me xelas bûn.	All our bamboos were saved.
Seg ji..	Seg from..
Segmar tirsnak in, Zangoç Beg?	Segmar are scary, Zangoç Beg?
Lîstikê dest pê kir!	The game has begun!
Du Seg… û pitikek hene!	There are two Segs… and a baby!
Lê ev tê çi wateyê?	But what does this mean?
Li gor wan ne wisa ye.	According to them, it is not like that.
Ez hez dikim ku pal bidim û di nav bêdengî û aramîyê da pirtûkekê...	I like to curl up and read a book in peace and quiet...
Lê herî zêde û ji her tiştî bêhtir…	But most of all...
Em li ser keştîyekê ne, Seg!	We're on a ship, Seg!
Rast e, lê min rêyeka moderntir ya çêkirina wan dîtîye.	True, but I have found a more modern way of making them.
Min bi tenê çend kîvroşk dîtin.	I only saw a few rabbits.
Îcar tu dê alî min bikî?	So will you help me?
Erê! Ev rekoreka nû ye!	Yes! This is a new record!
Lê niha min pir germ e.	But now I'm very hot.
Lê neheqî li wan tê kirin.	But they are treated unfairly.
Ez her tiştî xêz dikim!	I draw everything!
Himm! Gotinek heye… gotineka bisêhr… ew dê bi kêr were. Sîm Sala Bîm!	Hmm! There is a word... a magic word... it will come in handy. Sim Sala Bim!
Piçekî sar e.	It's a little cold.
Yan jî Cinawirê Kurikên Winda.	Or the Beast of the Lost Boys.
Ez dê vî qepûşkî bibim derve, ew dê li wir dilxweştir be.	I will take this hat outside, it will be happier there.
Ez behsan van tiştan dikim, Seg. Berê pirtûkxaneyek tunebû, çima niha yek heye?	I'm talking about these things, Seg. There was no library before, why is there one now?
Û te çalek vedaye.	And you have opened a hole.
Himm. Divê ez li vê yekê lêgerînê bikim.	Hmm. I have to look into this.
Ji kerema xwe çîrokeka din bixwîne, Seg?	Please read another story, Seg?
Dapîrê!	Grandma!
Hûn dê Gurê Xerab çawa biewiqînin?	How will you defeat the Bad Wolf?
Ew navên wan hevalên wî ne.	Those are the names of his friends.
Ser seran, ezbenî	Heads up, sir
De! De! De!	Mother! Mother! Mother!
Ez bi veşartina Xezînayê ra pir mijûl bûm.	I was too busy hiding the Treasure.
Tu baş dizanî ku rojnivîska te nabêje me di rê da çend sandwîç xwarin?	You do know that your diary doesn't say how many sandwiches we ate on the way?
Pîramus zilamekê şîrîn e.	Pyramus is a sweet man.
Min ji wê pirtûkê pir hez kir!	I loved that book so much!
Nexwe eger tu tiştên ku te îro kirine berepaşkî bikî, dibe ku tu wê dîsa bibînî.	Otherwise, if you reverse what you did today, you might see her again.
Li vê ecêbê!	In this wonder!
Malî ava, Heyv Beg. Em babûnekê bidin te, yanî, balonekê?	Mali ava, Heyv Beg. Shall we give you a balloon?
Em dê werin!	We will come!
Ev pirtûka şîîreên zarokan yên ji dem û deverên curbicur in û navê wê…	This is a book of children's poems from different times and places and its name is...
Ez qet naxwazim… Bibexşîne xanimê, gelo te Segmarek dîtîye?	I never want to... Excuse me, madam, have you seen a Segmar?
Hiii… tu dikarî ji min ra bixwînî?	Hiii... can you read it to me?
Aqilek hat min…	I got an idea...
Û ji bîr neke – sêhrbazekê baş sêhra xwe ji kesî ra nabêje. Dawî.	And don't forget - a good magician doesn't tell anyone about his magic. The end.
Silav, Kezîzerê!	Hello, Kezizer!
Kî dixwaze lîstika bêdengbûn û xweveşartinê bilîze?	Who wants to play the game of silence and concealment?
Aaa! Mûmyayên Misira Antîk.	Aaa! Ancient Egyptian mummies.
Tu qala sabîtkeran dikî?	Are you talking about stabilizers?
Li vê ecêbê! De em pirtûkeka li ser germtirîn cihê li dinyayê bixwînin. Ew dizanin xwe çawa hênik bikin. Em herin ser nêrdewanê, Seg.	In this wonder! Let's read a book about the hottest place in the world. They know how to relax. Let's go up the ladder, Seg.
Guh nede wan, Pug. Ew çend ramanên min yên belawela ne.	Don't listen to them, Pug. Those are just a few of my scattered thoughts.
Ez xwe digirim, Seg! Hewar eee!!!	I'm holding on, Seg! Wow!!!
Aah! Ew dilşad e. Bazdana me kir ku ew germ bibe. Ez jî germ bûm.	Aah! He is happy. Our running warmed him up. I was also hot.
Ez jî nizanim em li ku derê ne, Pug… lê bêhna masîyan ji vir tê.	I don't even know where we are, Pug...but it smells like fish.
Zehf ecêb e Kutik, lê bi qasî "masîyê sêld" yê ku bi rêya tirên xwe bi hevalên xwe ra dipeyive ne ecêb e!	Kutik is amazing, but not as amazing as the "fish" that talks to its friends through its tires!
Êdî ez dikarim li karê xeratîyê vegerim, Seg. Himm… Gelo ez dikarim texteyekê ceyranî çêbikim?	Now I can go back to carpentry, Seg. Hmm... Can I make a coffee table?
Gidî! Sê berazê biçûk, ew ji darikan xanîyekî lê dikin.	Go! Three little pigs, they build a house out of wood.
Tu hîn nizanî bê mirov çi diavêjin gilêşê.	You still don't know what people are throwing into the pot.
Hişekê min jî heye!	I have a mind too!
Şah Artur û Şovalyeyên wî yên Maseya Dirêj e.	It's King Arthur and his Knights of the Long Table.
Min ji wê pirtûkê pir hez kir. Û wê ji bo qedandina kostumê xwe yê qesrî fikrek da min. Lê pêşî ji min ra tiştekê giring lazim e.	I really liked that book. And she gave me an idea to finish my palace costume. But first I need something important.
Doris wêrek e!	Doris is brave!
Û hejmara ku piştî hejmara heftan tê.	And the number that comes after the number seven.
Ji deh deqîqeyan dirêjtir?	Longer than ten minutes?
… ez ji piçûktirîn pirtûka dinyayê hez dikim ku li ser pozê min disekine!	… I love the smallest book in the world that rests on my nose!
Lê kîjan bersiva rast e, Dapîra Pug?	But which is the right answer, Grandma Pug?
Ez ji pirtûkên hez dikim, ez rehetîya xwe dibînim têr dixwî---	I like books, I find comfort in eating well---
Ji bo xwedîkirina segekî serê pêşîn divê em bizanin bê nava segekî	In order to have a dog, we must first know what is inside a dog
Eger dijminên te hût bin?	If your enemies are hot?
Waa? Ez biceribînim?	Wow? Should I try?
Ew pir sar e?	Is it too cold?
Ev tiştanoka dawî ye, xortino – û bi tenê deqîqeyeka we maye!	This is the last thing, guys - and you only have a minute left!
Nexwe bila Suzana wê bilîze.	Otherwise, let Suzana play it.
Dilîzî?	Are you playing?
Seg! Seg! Li min binêre. Ez dikim ku erd pir bib…	seg! seg! look at me I make the earth abundant...
Roja Biskiwîtên Segan pîroz be!	Happy Dog Biscuit Day!
Belkî gaveka din were, lê belkî îşev neyê.	Maybe the next step will come, but maybe not tonight.
Ka ew keçika bi navê Kûmsorê? Ooo! Pîza pir xweş e.	What about the girl named Kumsor? Ooo! The pizza is very good.
Hûn dixwazin li fabrîkaya min bigerin? Ew dê niha vebe.	Do you want to visit my factory? It will open now.
Weyla. Ew zêde naşibe Segî.	Wow. He doesn't look much like Segi.
Hêvîdar im ne tirsnak be.	I hope it's not scary.
Riha herî dirêj. Şêlima herî giran.	The longest beard. The heaviest juice.
Hebû tune bû. Deverek hebû. Li wê deverê ajelên curbicur bi hev ra diman!	There was no. There was a place. In that area, various birds lived together!
Û niha jî lîstikeka din… Hii?	And now another game... Hii?
Pug, tu dikarî…	Pug, can you…
Ez li ser wêneyê dayîka xwe sond dixwim, rojekê ez dê bibim kaptan.	I swear on my mother's picture, one day I will be a captain.
Em ji bo alîkarîyê hene.	We are here to help.
Himm. Ah. Ooo! Aha! (kenîn) Ez li ser pênûsê rûniştime!	Hmm. Ah. Ooo! Aha! (laughter) I'm sitting on the pen!
Lê ez pir tenêêêêêêê bûm. Pir pir pir pir…	But I was very lonely. Very very very very…
Û ew careka din tenê nema. Dawî	And he was no longer alone. The end
Min ji wê pirtûkê pir hez kir. Wê li ser pêşkêşkirina lîstikeka bi nefsbiçûkî gelek tişt hînî min kirin.	I really liked that book. It taught me a lot about presenting a game with humility.
Tu hîleyan dikî, Tîna?	Are you playing tricks, Tina?
Pirtûka Dapîrê ya Rekoran e.	Grandmother's Book of Records.
Erê. Ew şopên tekerên min in. Min hemû kar kir. Ez karkerê herî baş yê vê qada lêkirinê me!	Yes. Those are my tire tracks. I did all the work. I am the best worker in this construction field!
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Seg, bi min alîyê çîrokê yê xerab di bîra wan de maye!	Seg, I think they remember the bad side of the story!
Hûn dixwazin bikevin lîstika min?	Do you want to join my game?
Em şevşevok in.	We are nocturnal.
Ah erê. Ez êdî bi kêfxweşî şelpeyan li boyaxê didim.	Ah yes. I'm now happily putting slops in the paint.
Ê ma Cemsera Bakur zêde ne sar e?	Isn't Cemsera North too cold?
Em jî ji bo wê xwarina xweş spas dikim.	We also thank you for the delicious meal.
Oxir be.	Bon voyage.
Maseyeka gilover? Min agir û pêt xwastin, ne mase!	A gilded table? I wanted fire and fire, not a table!
Bijî. Cereyan hat!	live Cerayan has arrived!
Li vê ecêbê! Dengê lorîkekê tê guhê min.	In this wonder! I hear the sound of a lorry.
Ez hatim, Pug.	I'm here, Pug.
Wekî ku ez ji vir qet neçûme.	Like I've never been here.
Erê, rast e. Min fam kir. Hûn bi tenê dixwazin pîramîd û mûmyayên xwe biparêzin! Eger ez nexşeya vir xêz bikim, bêhtir mirov dê werin û we aciz bikin.	Yes i agree. I understood. You just want to protect your pyramids and mummies! If I draw the map here, more people will come and bother you.
Yanî Du Rihî dê keştîyê bi dest bixe û wê baştir bi rê ve bibe.	That is, Du Rihi will win the ship and steer it better.
Off... Xwezî min bikarîya Çêlekê bidim qevastin. Lê ew pir ditirse.	Off... I wish I could give you a hook. But he is very afraid.
Spas dikim, Seg û Pug!	Thanks, Seg and Pug!
K-k-ketin?	W-k-went?
Ev pirtûk di derheqê her tiştê…	This book is about everything…
Pêşbirka Mezin ya Sêhrbazîyê ye.	It's the Great Magic Contest.
Bi rastî?	By the way?
Ez te baş dibînim, Pug.	I see you well, Pug.
Ez li jêr… hii nanêrim!	I don't look down... hii!
Te ew yek çawa kir, Pug?	How did you do that, Pug?
Wîîî! Birevin!	Whoa! Run away!
Seg, ez bi rastî dibêjim qey min li wir tiştek dît!	Seg, I really think I saw something there!
Dibe ku pêşî wê gotibe. Ihim!	Maybe she said it first. Oh!
Em hatin te xelas bikim, Dapîra Pug!	We came to save you, Grandma Pug!
Belkî em bikarin alî te bikin.	Maybe we can help you.
Bila dengê daristanê lê hebe! Ka werin.	Let there be the sound of the forest! Let's come
Tu li vê ecêbê! Kê digot ez dê wan dîsa bibînim? Ev Seg û Pug in.	You in this wonder! Who knew I would see them again? These are Seg and Pug.
Ji ber ku tu mejîyê xwe pir dixebitînî!	Because you are working your brain too much!
Ooo, tiştekê çawa, Dapîrê?	Ooo, what's up, Grandma?
(kenîn) Kamyonka biçûk û komîk!	(laughter) Small and funny truck!
Rojekê li Awisrtalyayê gelek pêşbaz ji bo ku bibînin bê yê lezgîntirîn kî ye pêşbirkek li dar xistibûn.	One day in Australia, many competitors had a competition to see who was the fastest.
Û eger tu rastîyan bidî hev, tu dikarî rastîyên nû çêbikî!	And if you combine facts, you can create new facts!
Li vê ecêbê!	In this wonder!
Himm! Li vê ecêbê!	Hmm! In this wonder!
Em ji bo peydakirina wan alî te bikin?	Can we help you find them?
Û hingê min şerê komeka şêlankaran kir û ew têk birin – bi perîkekê!	And then I fought a group of shenanigans and defeated them – with a wig!
Bavanan vekin! Lengeran rakin!	Open the doors! Raise the anchors!
Pênc ferên çi?	What are five things?
Seg! Seg! Tiştekê pir ecêb bi pirtûka min ya nû ya tarîfên xwarînê hatîye!	seg! seg! Something wonderful has come with my new recipe book!
Li bajêr … Bajarokê bi Navê Malîs … Aha! Çûyîna Binê Erdê.	In the city... the town called Malis... Aha! Going Underground.
Ev roja herî xweş ya jîyana min e.	This is the best day of my life.
Ez hewzekê avê yê nû çêdikim.	I am building a new swimming pool.
Min dît!	I found!
Ez dê hel bikim, Seg!	I will melt, Seg!
Hiihii! Min tiştek fam nekir.	Hiihi! I didn't understand anything.
Helbet Seg… Ev pel çawa ye?	Sure Seg… How is this file?
Silav, ez Seg im û ev jî Pug e.	Hi, I'm Seg and this is Pug.
Pir xweşik e, Pug. Ez ji pîzaya bisalam hez dikim.	Very cute, Pug. I love healthy pizza.
Were vir, Seg!	Come here, Seg!
Te jî bi nexşeya min lîst, Tîna?	Did you play with my map too, Tina?
Sihet xweş, hevalino.	Good health, friends.
Min ji wê pirtûkê pir hez kir!	I loved that book so much!
Em di nivê havîneka din ya xweş da ne, Pug.	We're in the middle of another great summer, Pug.
Min ji wê pirtûkê pir hez kir.	I really liked that book.
Dev ji sosîsan berde, Gurê Xerab….	Stop the sausages, Bad Wolf….
Uh-Oh	Uh-Oh
Ez leheng im?	Am I a hero?
Qey cinawirek gêzerên wê dixwe?	What monster eats her carrots?
Nexwe ez bi tenê nakevim nava kartonan?	I'm not the only one in cartoons?
Weyla. Ez dibêjim qey Pug dê şah bixe nava wêneyî!	Wow. I say that Pug will put the king in the picture!
Ez Seg im û ev jî Pug e. Lê min ne bawer e ku tu li me digerîyayî.	I'm Seg and this is Pug. But I'm not sure if you're looking for us.
Em ji korîdoran hez dikin?	Do we like corridors?
Bi min tiştekî ku bêhtir bi kêrî Şah Artur were jê ra bibin.	Take away from me something that will be more useful to Shah Artur.
Hiih? (çîreçîr)	Huh? (story)
Gidî… Pir xweş e!	Gidi... It's great!
Gelo Dapîra Pug jî li wê derê ye?	Is Grandma Pug there too?
De îcar em jî ji xwe ra tiştekî bixwin.	So let's eat something for ourselves.
Em dê ejdehayekî ji ku bînin, Seg?	Where are we going to get a dragon, Seg?
Hoop.	Hoop.
We dizanî ku cara pêşî Kutikekî xwe bi paraşûtê avêtîye?	Did you know that the first time a kitten jumped with a parachute?
Dibe ku li pirtûkxaneyê pirtûkek hebe ku vê yekê ji me ra bibêje.	Maybe there is a book in the library that will tell us this.
Ez kêfxweş im ku hûn li alîyê min in. Em dest pê bikin!	I'm glad you're on my side. Let's start!
Li vê ecêbê! Ew ne li vir in, lê tomareka kaxezan li vir e.	In this wonder! They are not here, but a file of papers is here.
A rast, Pug yekî durist e… dilsoz e… û pirûpir wêrek e.	Indeed, the Pug is honest... loyal... and very brave.
Çêlekê, bi me tu dikarî. Lê ji te ra xebat hewce ye,...	You can do it with us. But you need work,...
Ez ewrekî çêdikim.	I'm making a cloud.
Û wisa ye.	And so it is.
Jixwe ez jî li yeka wekî te digerîyam!	I was looking for someone like you!
Silav. Navê min Seg e û ev jî Pug e.	Hi there. My name is Seg and this is a Pug.
Ev pirtûk di derheqê du hevalan da ye ku dixwazin bi hev ra bilîzin û navê wê…	This book is about two friends who want to play together and it is called…
Xweş e, ne Pug? Em bi hezaran fersex di bin deryayê da ne û hûn jî tam di dema nivîsîna beşeka nû ya pirtûka min da hatin alîkarîyê.	Nice, isn't Pug? We are thousands of leagues under the sea and you came to the rescue just in time to write a new chapter of my book.
Vî devî tu caran gotineka xweş negot.	This mouth never said a nice word.
Ez nizanim Kutik, lê ew xweş xuya dibe.	I don't know about Kutik, but it looks good.
(bêhneka kûr) Çêkirina wê zehmetîyeka mezin bû.	(deep breath) It was a big challenge to make it.
Nexwe em li tiştekî din bifikirin. Lê vê carê em dê li ser vî girî nesekinin.	Let's think about something else. But this time we will not stop at this hill.
Bêhna macerayekê tê, Pug. Ka were.	Smells like an adventure, Pug. Come on.
Himm… Korbûn… Koremar… Aha! Korsan!	Hmmm… Blindness… Koremar… Aha! Pirates!
Lê kêfa herkesî jê ra hat…	But everyone enjoyed it...
Silav. Ez Seg im û ev jî Pug e. Bibexşîne, me tu hişyar kirî.	Hi there. I'm Seg and this is Pug. Sorry, we warned you.
Ev demeka dirêj e ku ez li pey tiştekî ecêb û neravekirî me. Cinawirê Lok Nesê!	For a long time I have been chasing something strange and inexplicable. Lok Nese monster!
Em herin ser nêrdewanê, Pug.	Let's go up the ladder, Pug.
Dema ku min ew xistin nava cilşokê. Şeş kurikên min hebûn, lê sê heb mane! Ew bi ku da çûne?	When I put them in the laundry room. I had six boys, but three are left! Where did they go?
Min ji wê pirtûkê pir hez kir!	I loved that book so much!
Xwezî min ew pir ji nêz ve nedîtina!	I wish I hadn't seen it too close!
Ev aferîde… mirov in!	These creatures are... people!
Nexwe ez dê ji te ra bînim.	Otherwise I will bring it to you.
Te çima dikir qîreqîr?	Why were you shouting?
Hêvîdar im Pug Birêz Pîkaso qanih kiribe ji bo wênesazîyê.	I hope Pug convinced Mr. Picasso to paint.
Yetî tune ye?	Don't have enough?
Tu amade yî ku kaşkaşka xwe dîsa biceribînî, Pug?	Are you ready to try your luck again, Pug?
Mîyaw mîyaw mîyaw yaw yaw oo mîyaw !	Meow meow meow meow yaw oo meow !
Li vê ecêbê! Niha jî ez dengê qurequrê dibihîzim.	In this wonder! Even now I can hear the sound of the crow.
Bi min ew dişibe cihekê gelekî xweştir.	To me it looks like a much nicer place.
Hûn kengî bixwazin werin, kerem bikin.	Please come whenever you want.
Hûh!	Huh!
Bêhnfirehî… Bêhntengî… Aha! Jihaldeketî.	Relaxation... Relaxation... Aha! Ignorance
Lê bi hev ra…	But together...
Eger tu aferîdeyekê biçûk bî, ev der dibe dinyayeka pir xeternak.	If you are a small creature, this can be a very dangerous world.
Li vir şahîyê li dar dixin?	Are you having a party here?
Hey! Her bijî!	Hey! Long live!
Na, ev bû!	No, it was!
E-ev Yetî ye?	Is this Yeti?
Min nekarî li ser şeklê wê, rengê wê û hejmara terîşên wê zû bi zû biryarê bidim. Lê bi ya te çawa çêbûye, Seg?	I couldn't make up my mind about its shape, its color and the number of its bristles. But how about you, Seg?
Bi tenê bipişike.	Just cough.
Şewqeya fermandayînê li serê wî hat!	The glow of commanding came upon him!
Em dê xwe veşêrin, majeste!	We will hide, majesty!
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Xwezî rêyek hebûya ku me bikarîya şev û roj bi hev ra bidîtina. Himm! Himm! Himm!	I wish there was a way we could see each other day and night. Hmm! Hmm! Hmm!
Çima beşeka asmên winda ye?	Why is part of the sky missing?
Ooo, di hundirê me da muzîk heye. Xwezî min gîtara xwe bianîya.	Oh, we have music inside of us. I wish I had brought my guitar.
Silav qepûşko.	Hi hat.
Çima ez Pug im û ne Seg im?	Why am I a Pug and not a Seg?
Spas dikim Segstêr Yek. Hûn bi xêr hatine laboratiwara min ya li fezayê.	Thank you Segstar One. Welcome to my laboratory in space.
Spas dikim… lê neyê. Erê, ez ji hevsengîyê ra ne jêhatî me, lê eger ez neceribînim, ez dê qet jêhatî nebim. (xwezî daqurtandin) Aaaa	Thank you...but don't come. Yes, I'm not good at balance, but if I don't try, I'll never be. (swallowing happily) Aaaa
Ez ji bo çapa nû ya Pirtûka Dapîra Pug ya Rekoran hatim lêgerînekê.	I came to search for the new edition of Grandma Pug's Book of Records.
Keştîya Kolîn noqî binê avê bû û wî xwe li ser giraveka biçûk ya gelekî dûr dît. Ew bi tenê bû.	Kolin's ship went under the water and he found himself on a small island far away. He was alone.
Te qet şerê pîrikan kirîye, birêz Kîsot?	Have you ever fought midwives, Mr. Quisot?
Ew der fabrîkayeka fantastîk ya biskiwîtçêker Bilî Barkir bû.	There was a fantastic factory of Biscuits maker Bili Barkir.
Belê çawa. Pirtûk bêhtir kêfa min tînin.	But how? Books bring me more pleasure.
Hebû tune bû, li asmanên bilind, gezîyêk difirîya, lê tiştek bi serê wî da hat	He was not there, there was a bird flying in the high sky, but something happened to him
Hii! Ez nagihimê! Ka hêdî!	Hey! I don't get it! Slow down!
